num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
7999,2012,Subaru,Legacy,2.5i PZEV,Sedan,automatic,4s3bmba63c3006891,pa,3.5,31667.0,gray,black,"jpmorgan chase bank,n.a.",14850,13600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
8000,2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba0ck567670,nv,3.8,5369.0,red,black,auto & truck direct,7750,6700,Fri Dec 19 2014 11:45:00 GMT-0800 (PST)
8001,2012,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcb68c3038515,ma,3.6,62305.0,gray,black,ge fleet services for itself/servicer,12700,12800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
8002,2012,Scion,xB,Base,Wagon,automatic,jtlze4fe7cj005931,nj,3.42451221808463,37125.0,black,black,advanced auto brokers llc,11350,10000,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
8003,2012,Ram,1500,Laramie,Crew Cab,automatic,1c6rd7ntxcs218194,ut,4.1,24080.0,black,black,primeritus remarketing / trugrocer fcu,32100,31000,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
8004,2012,Subaru,Impreza,2.0i Premium PZEV,Sedan,automatic,jf1gjac69ch015965,mo,2.1,54835.0,gray,black,the hertz corporation,13150,11501,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
8005,2012,Ram,1500,ST,Crew Cab,automatic,1c6rd7kt9cs176881,ga,2.7,25942.0,red,black,don jackson chrysler dodge jeep,24400,23000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
8006,2012,Subaru,Outback,2.5i Limited PZEV,Wagon,automatic,4s4brbjc7c3276905,oh,3.7,77518.0,blue,tan,ge fleet services for itself/servicer,15200,15700,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
8007,2012,Suzuki,SX4,LE Popular Package,Sedan,automatic,js2yc5a34c6304780,pr,3.0,17915.0,gray,beige,oriental bank,6750,6000,Tue Dec 30 2014 11:30:00 GMT-0800 (PST)
8008,2012,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,4s3bmbk64c3025965,pa,1.9,33107.0,black,beige,winner subaru/vw of dover,15750,12700,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
8009,2012,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,4s3bmbb60c3008659,nj,4.0,25021.0,gray,black,"jpmorgan chase bank,n.a.",14950,14400,Wed Jan 07 2015 09:15:00 GMT-0800 (PST)
8010,2012,Suzuki,SX4,LE,Sedan,automatic,js2yc5a34c6300521,nc,2.6,61129.0,white,beige,c&f finance company,4775,5000,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
8011,2012,Ram,3500,ST,Crew Cab,automatic,3c63drgl6cg107602,tx,2.7,104822.0,black,black,tdaf remarketing,25900,25750,Wed Dec 31 2014 10:15:00 GMT-0800 (PST)
8012,2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd6gt4cs255779,ga,3.4,63329.0,white,black,carworks inc,18100,18200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
8013,2012,Ram,1500,SLT,Regular Cab,automatic,3c6jd7ep8cg169309,mn,3.4,49300.0,white,gray,wheels ltd,15600,16100,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
8014,2012,Ram,1500,Sport,Quad Cab,automatic,1c6rd7ht8cs115125,pa,3.42451221808463,41215.0,black,—,twin willows ii inc,24900,23800,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
8015,2012,Suzuki,Grand Vitara,Premium,SUV,automatic,js3te0d20c4100897,pr,3.0,21279.0,white,beige,oriental bank,9775,8500,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
8016,2012,Ram,1500,ST,Quad Cab,automatic,1c6rd6ft4cs211931,fl,4.3,33257.0,red,black,gm financial,18250,20800,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
8017,2012,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,4s3bmbj67c3022981,oh,2.7,87364.0,gray,black,ari,10200,10500,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
8018,2012,Scion,iQ,Base,Hatchback,automatic,jtnjjxb01cj020632,fl,3.42451221808463,29642.0,silver,black,the auto site inc,8825,8500,Fri Dec 19 2014 09:25:00 GMT-0800 (PST)
8019,2012,suzuki,grand,v 4x2 ult advent,Sedan,automatic,js3te0d42c4100059,pr,3.8,87331.0,beige,black,oriental bank,7975,8000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
8020,2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba0ck563392,tx,4.8,29508.0,red,black,mercedes-benz financial services,6500,7000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
