num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
8999,2011,Chevrolet,HHR,LS,Wagon,automatic,3gnbaafw6bs598525,nc,1.9,68815.0,red,black,remarketing by ge/manheim north carolina,6550,4200,Mon Jan 05 2015 01:30:00 GMT-0800 (PST)
9000,2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e18bf250501,co,3.2,20233.0,gray,gray,gm financial,10600,9000,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
9001,2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek5b1228432,in,3.42451221808463,56067.0,gray,—,garlitch ford chrysler dodge jeep,8150,8700,Thu Dec 18 2014 10:10:00 GMT-0800 (PST)
9002,2011,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5em1b1141704,va,3.2,56580.0,burgundy,beige,prestige financial services,10500,9000,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
9003,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfwxbs520139,mo,3.5,71797.0,red,black,"consolidated asset recovery systems, inc.",6150,5000,Tue Dec 30 2014 11:00:00 GMT-0800 (PST)
9004,2011,Chevrolet,Equinox,LT2,SUV,automatic,2cnalpec9b6216488,pa,2.5,64445.0,silver,beige,maritime motors of fairfield inc,12100,10600,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
9005,2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e18bf167487,ne,3.7,68179.0,blue,gray,dm northwest inc,8200,8300,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
9006,2011,Chevrolet,Malibu,LTZ,Sedan,automatic,1g1ze5eu9bf150571,va,1.9,103201.0,white,black,primeritus remarketing / chesterfield impor,5900,5800,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
9007,2011,Chevrolet,Malibu,LT2,Sedan,automatic,1g1zd5e1xbf362033,pa,2.1,36235.0,gray,—,gm financial,10100,8800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
9008,2011,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx4b1169742,in,2.7,95737.0,white,gray,image fleet & lease sales llc,10250,9800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
9009,2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ekxb1262136,in,2.4,105618.0,black,gray,auto trakk llc,6100,4500,Wed Jan 21 2015 05:30:00 GMT-0800 (PST)
9010,2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek3b1328042,nc,2.7,64658.0,black,gray,santander consumer,7850,8200,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
9011,2011,Chevrolet,HHR,LS,Wagon,automatic,3gnbaafw4bs532684,tx,3.8,126063.0,gray,black,dt credit corporation,4650,4400,Tue Dec 30 2014 10:30:00 GMT-0800 (PST)
9012,2011,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu5bf352710,tx,3.6,36470.0,white,gray,wheels lt,9725,10000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
9013,2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e10bf200141,il,2.0,23003.0,black,black,ally,10450,9500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
9014,2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e14bf392194,pa,3.42451221808463,47170.0,silver,gray,west herr auto exchange inc,9350,9800,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
9015,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfw0bs512454,la,3.42451221808463,93773.0,gray,gray,american auto brokers inc,5225,6900,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
9016,2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5eu7bf358521,il,1.9,106928.0,silver,black,santander consumer,6575,5400,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
9017,2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e12bf257571,il,3.42451221808463,60117.0,gray,—,apple chevrolet inc,8750,8900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
9018,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfwxbs658201,mi,2.5,84611.0,gray,black,remarketing by ge/flagship credit acceptance,5825,3600,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
9019,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfw0bs599594,fl,2.8,67321.0,black,black,bartow ford co,6325,7600,Wed Dec 17 2014 13:55:00 GMT-0800 (PST)
9020,2011,Chevrolet,Tahoe,LT,SUV,automatic,1gnscbe01br134879,nv,4.1,90383.0,silver,black,prestige chrysler jeep dodge,20800,20000,Fri Dec 19 2014 11:45:00 GMT-0800 (PST)
9021,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfw1bs547360,nj,1.9,124223.0,silver,black,lester glenn buick,3075,3800,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
9022,2011,Chevrolet,Equinox,LT1,SUV,automatic,2gnaldec5b1223882,pa,3.42451221808463,38535.0,gray,—,big tree auto brokers,14100,14800,Fri Dec 19 2014 09:15:00 GMT-0800 (PST)
9023,2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek3b1263194,ca,3.7,60853.0,black,black,claremont toyota,7950,7500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
9024,2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e18bf366603,nv,2.9,80820.0,silver,beige,remarketing by ge/america first credit union,7575,9100,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
9025,2011,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldec5b6214705,ga,3.9,131158.0,gray,black,td auto finance,7075,7100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
9026,2011,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e1xbf232648,ut,3.8,46107.0,gray,gray,larry h. miller fleet lease,9200,8600,Wed Jan 07 2015 11:30:00 GMT-0800 (PST)
9027,2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek4b1138797,tx,2.0,92066.0,silver,gray,donlen corporation,6500,5600,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
9028,2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek6b1312792,fl,2.4,52857.0,white,gray,"enterprise fleet management exchange, inc.",8625,7100,Fri Jan 16 2015 01:25:00 GMT-0800 (PST)
9029,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfw7bs603298,fl,2.6,78641.0,blue,black,regional acceptance corporation / greenville,5850,5700,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
9030,2011,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e13bf105749,nc,2.7,68001.0,gray,gray,santander consumer,8200,8800,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
9031,2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e17bf368636,pa,4.0,22656.0,blue,gray,fiserv/usb dealer services northstar exchange,10400,11100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
9032,2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e12bf237517,nc,2.8,9832.0,beige,brown,remarketing by ge/manheim statesville,11150,10500,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
9033,2011,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e18bf355393,va,3.5,54516.0,brown,brown,gm financial,8775,8800,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
