num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
9999,2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac0bh063330,ne,3.9,87122.0,burgundy,black,dm northwest inc,9600,9400,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
10000,2011,Hyundai,Sonata,Limited PZEV,Sedan,automatic,5npec4ac6bh226448,pr,3.5,50804.0,silver,gray,oriental bank,11150,11600,Tue Dec 23 2014 11:30:00 GMT-0800 (PST)
10001,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7bm304664,tx,4.3,33518.0,white,beige,nissan infiniti lt,20200,22000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
10002,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap4bm603162,il,3.9,43994.0,blue,black,nissan infiniti lt,15150,15500,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
10003,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar2bm653477,mo,4.2,71017.0,gray,black,nissan infiniti lt,14350,14000,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
10004,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar4bm653805,nj,3.7,43627.0,gray,black,nissan infiniti lt,16250,15800,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
10005,2011,Infiniti,G Coupe,IPL,G Coupe,automatic,jn1cv6ek6bm211178,tn,2.9,36471.0,—,red,nissan infiniti lt,25800,26000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
10006,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9bm355567,tn,4.7,32106.0,white,black,nissan infiniti lt,19750,19600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10007,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar5bm452026,co,3.1,32361.0,blue,gray,infiniti financial services,17350,17500,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
10008,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe8bm951842,il,3.5,14511.0,burgundy,brown,nissan infiniti lt,26900,25600,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
10009,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2bm214899,ga,4.7,34672.0,black,black,nissan infiniti lt,20400,21400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
10010,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6bm405132,pa,4.1,17831.0,black,gray,nissan infiniti lt,21100,19800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
10011,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1bm410027,il,4.5,27976.0,black,black,nissan infiniti lt,20200,23200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10012,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar2bm408903,tn,5.0,28303.0,blue,gray,nissan infiniti lt,20100,19200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10013,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe1bm952539,fl,3.2,60591.0,black,black,nissan infiniti lt,20600,21800,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
10014,2011,Infiniti,G Coupe,IPL,G Coupe,automatic,jn1cv6ekxbm211622,il,3.5,37112.0,purple,red,nissan infiniti lt,25900,25000,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
10015,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar2bm654029,tx,4.2,40048.0,black,black,nissan infiniti lt,16850,17000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
10016,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe5bm953807,tn,4.7,32933.0,—,black,nissan infiniti lt,24500,24200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
10017,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5bm509268,tx,4.2,46236.0,gray,black,nissan infiniti lt,18650,19600,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
10018,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexbm952958,tn,4.9,33455.0,gray,black,nissan infiniti lt,24600,24800,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
10019,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar9bm653122,il,4.1,29995.0,black,black,nissan infiniti lt,17750,17800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10020,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxbm356663,co,4.8,30660.0,blue,black,infiniti financial services,19900,19600,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
10021,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8bm409635,il,4.6,29912.0,white,black,nissan infiniti lt,19950,21700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10022,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar6bm654003,tn,4.6,28126.0,black,black,nissan infiniti lt,17900,18000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10023,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar9bm653198,tn,3.8,49510.0,black,tan,nissan infiniti lt,15900,16000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
10024,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6bm411190,pa,4.1,28076.0,gray,black,nissan infiniti lt,20100,19000,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
10025,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6arxbm451146,pa,2.8,34154.0,black,black,nissan infiniti lt,17200,16000,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
10026,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2bm509227,tx,4.8,34283.0,black,beige,nissan infiniti lt,20100,19500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
10027,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek4bm214712,tn,4.8,16560.0,black,gray,nissan infiniti lt,22700,20000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10028,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar7bm410310,nj,3.7,11607.0,—,tan,nissan infiniti lt,21400,22250,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
10029,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8bm353969,pa,2.3,25477.0,black,gray,nissan infiniti lt,19900,15000,Thu Jan 22 2015 05:00:00 GMT-0800 (PST)
10030,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar4bm654372,il,4.5,21284.0,black,black,nissan infiniti lt,17700,18600,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
10031,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8bm305175,tx,3.7,45764.0,black,black,nissan infiniti lt,19000,21000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
10032,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2bm305026,tx,2.3,29293.0,silver,black,nissan infiniti lt,20600,17500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
10033,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm302652,wi,2.9,57419.0,black,gray,capital one auto finance,17950,17100,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
10034,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6arxbm451891,mo,2.1,37883.0,silver,black,nissan infiniti lt,16900,15200,Mon Dec 22 2014 11:00:00 GMT-0800 (PST)
10035,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe3bm951683,tn,2.6,32308.0,purple,black,nissan infiniti lt,24700,23100,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
10036,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm509297,tx,3.9,34651.0,gray,black,nissan infiniti lt,19400,20000,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
10037,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek7bm214686,ga,3.5,36739.0,gray,gray,nissan infiniti lt,20400,18600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
10038,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar3bm451909,mo,3.8,39629.0,white,tan,nissan infiniti lt,16750,16800,Mon Dec 22 2014 11:00:00 GMT-0800 (PST)
10039,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar7bm352246,nj,3.9,23742.0,black,black,nissan infiniti lt,20400,19200,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
10040,2011,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el0bm263401,pa,3.6,27854.0,white,black,nissan infiniti lt,21800,22500,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
10041,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar4bm450803,tn,4.4,38036.0,gray,black,nissan infiniti lt,16850,17000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
10042,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9bm509371,tx,4.4,38360.0,gray,black,nissan infiniti lt,18750,19800,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
10043,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2bm215311,tx,3.6,37808.0,white,black,nissan infiniti lt,20600,22400,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
10044,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6bm305045,tx,4.1,13777.0,blue,gray,nissan infiniti lt,21200,22700,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
10045,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar9bm653329,il,4.2,33453.0,gray,beige,nissan infiniti lt,17250,17100,Mon Dec 22 2014 13:00:00 GMT-0800 (PST)
10046,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar0bm356610,tn,4.8,25801.0,black,gray,nissan infiniti lt,20400,20800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10047,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar5bm451295,co,2.9,29616.0,silver,gray,infiniti financial services,17600,17200,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
10048,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9bm412981,tn,4.8,15864.0,gray,black,nissan infiniti lt,21400,22600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10049,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe2bm950461,tn,2.9,32068.0,gray,beige,nissan infiniti lt,24700,22600,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
10050,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3bm509110,ga,3.5,36550.0,gray,gray,nissan infiniti lt,18950,17400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
10051,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar2bm654192,il,3.3,35939.0,black,gray,nissan infiniti lt,17050,15700,Mon Dec 22 2014 13:00:00 GMT-0800 (PST)
10052,2011,Infiniti,G Coupe,IPL,G Coupe,automatic,jn1cv6ekxbm215203,il,4.3,22510.0,—,red,nissan infiniti lt,26800,26800,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
10053,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8bm411126,nj,3.9,18317.0,gray,gray,nissan infiniti lt,20800,19600,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
10054,2011,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el3bm264364,tn,5.0,11733.0,gray,black,nissan infiniti lt,23900,22400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
10055,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5bm300855,fl,4.2,86175.0,black,tan,gte fcu,16500,14000,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
