num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
12999,2010,Toyota,Tundra,Tundra Grade,Double Cab,automatic,5tfru5f11ax021201,tx,3.42451221808463,71508.0,white,—,all american chevrolet of killeen,14700,12500,Wed Dec 17 2014 10:20:00 GMT-0800 (PST)
13000,2010,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdyk4cc5as335926,pa,2.6,97458.0,blue,gray,ingersoll auto of danbury,11300,10700,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
13001,2010,Toyota,Corolla,S,Sedan,automatic,1nxbu4ee9az195904,az,3.42451221808463,115426.0,red,black,larry h miller toyota peoria,7825,7400,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
13002,2010,Toyota,Camry,SE,Sedan,automatic,4t1bf3ek8au068569,fl,1.9,70969.0,gray,gray,fiserv/crescent bank & trust,10300,7300,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
13003,2010,Toyota,Corolla,LE,Sedan,automatic,jtdbu4eexa9107949,fl,3.6,52962.0,gray,gray,nicholas financial inc/clearwater,8425,8900,Thu Dec 18 2014 15:01:00 GMT-0800 (PST)
13004,2010,Toyota,Corolla,Base,Sedan,automatic,2t1bu4ee0ac267509,il,3.42451221808463,69992.0,white,—,international imports llc,7925,5400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
13005,2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee3az202930,fl,3.4,76369.0,gray,gray,auto trakk llc,7775,7200,Thu Dec 18 2014 15:40:00 GMT-0800 (PST)
13006,2010,Toyota,Sequoia,Platinum,SUV,automatic,5tddy5g18as033848,mi,3.5,76194.0,black,brown,grace motors,27400,26300,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
13007,2010,Toyota,Prius,III,Hatchback,automatic,jtdkn3du6a0014785,mo,2.4,40710.0,black,gray,toyota financial services,12450,11400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
13008,2010,Toyota,Corolla,Base,Sedan,manual,2t1bu4ee7ac440460,tx,1.9,54970.0,gray,gray,santander consumer,7625,6000,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
13009,2010,Toyota,Yaris,Base,Sedan,automatic,jtdbt4k3xa4078729,oh,3.6,39592.0,blue,black,toyota financial services,7875,8100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
13010,2010,Toyota,Sequoia,SR5,SUV,automatic,5tdby5g17as026820,pa,3.6,59188.0,red,beige,west lawn motor co,24300,25500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
13011,2010,Toyota,Camry,XLE V6,Sedan,automatic,4t1bk3ek9au604182,co,3.8,67344.0,blue,black,fisher kia,12300,12600,Wed Dec 17 2014 11:45:00 GMT-0800 (PST)
13012,2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee1az255240,fl,2.5,103968.0,black,gray,regional acceptance corporation / greenville,7025,6200,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
13013,2010,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee3ac458096,az,1.9,61766.0,gray,gray,remarketing by ge/nextgear capital,8175,7000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
13014,2010,Toyota,Sequoia,SR5,SUV,automatic,5tdbw5g16as028161,tn,3.1,106560.0,white,gray,toyota financial services,20500,19300,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
13015,2010,Toyota,Corolla,S,Sedan,automatic,1nxbu4ee7az265299,mo,3.42451221808463,207420.0,blue,—,jay wolfe toyota scion of west county,6525,7200,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
13016,2010,Toyota,Tundra,Tundra Grade,CrewMax Cab,automatic,5tfey5f15ax074308,tx,3.42451221808463,147472.0,black,gray,jerry's gm,14600,14500,Fri Dec 19 2014 14:00:00 GMT-0800 (PST)
13017,2010,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee0ac380571,tx,2.5,87166.0,white,gray,san antonio credit union,7500,5800,Wed Dec 17 2014 00:00:00 GMT-0800 (PST)
13018,2010,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee7ac309478,ga,3.4,64653.0,gray,gray,germain toyota of sarasota,8050,6600,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
13019,2010,Toyota,Corolla,Base,Sedan,automatic,1nxbu4ee7az175036,tn,2.6,100663.0,silver,gray,navy fcu,6875,5500,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
13020,2010,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee1ac321321,ga,2.9,46346.0,silver,gray,td auto finance,8625,7400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
13021,2010,Toyota,Corolla,Base,Sedan,automatic,2t1bu4ee5ac275055,on,3.4,85968.0,red,gray,ancaster toyota,6150,8500,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
13022,2010,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek0au540294,fl,3.5,188694.0,green,beige,regional acceptance corporation / greenville,6450,8000,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
13023,2010,Toyota,Corolla,S,Sedan,automatic,1nxbu4ee7az241505,ga,3.8,101698.0,white,black,wells fargo dealer services,8125,9200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
13024,2010,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee5ac484764,pa,2.3,122652.0,black,black,toyota financial services,7625,6900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
13025,2010,Toyota,Corolla,S,Sedan,automatic,1nxbu4ee8az269944,mn,2.3,96824.0,red,black,wells fargo dealer services,8225,6800,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
13026,2010,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfhw5f16ax119078,az,3.42451221808463,52363.0,brown,beige,s e r autobrokers llc,28300,31000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
13027,2010,Toyota,Corolla,Base,Sedan,automatic,2t1bu4ee5ac532005,fl,1.9,42660.0,gray,gray,santander consumer,8225,6000,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
13028,2010,Toyota,Venza,Base,Wagon,automatic,4t3bk3bb2au032335,pa,4.4,45092.0,red,beige,peter stallone auto sales inc,17100,18200,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
13029,2010,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee1ac461966,pa,3.9,50074.0,white,tan,world omni financial corporation,9500,10600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
13030,2010,Toyota,Corolla,Base,Sedan,automatic,1nxbu4ee7az266775,ga,3.42451221808463,113694.0,beige,tan,stone mountain toyota & scion,6775,5900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
13031,2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee2az224384,fl,1.9,76461.0,white,gray,fiserv/independent bank,7800,5800,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
13032,2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee5az367443,il,2.7,43937.0,gray,gray,fifth third bank,8700,9100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
13033,2010,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek8au066997,fl,1.9,150119.0,red,gray,east coast financial,7700,5300,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
13034,2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee1az298105,mn,3.4,94787.0,blue,gray,burnsville toyota,7200,7200,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
13035,2010,Toyota,Corolla,S,Sedan,manual,1nxbu4ee9az238797,pa,3.42451221808463,99781.0,gray,black,toyota financial services,8200,5900,Fri Dec 19 2014 08:29:00 GMT-0800 (PST)
13036,2010,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee8ac498920,az,2.0,90247.0,red,black,toyota motor sales usa inc,8375,7700,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
13037,2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee7az307860,az,1.9,78120.0,red,gray,tustin community bank,7650,6900,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
13038,2010,Toyota,Tundra,Tundra Grade,Double Cab,automatic,5tfcw5f10ax009928,co,3.42451221808463,89049.0,white,gray,bob penkhus volvo mazda inc,17050,17500,Wed Dec 17 2014 11:45:00 GMT-0800 (PST)
13039,2010,Toyota,Tundra,Tundra Grade,Double Cab,automatic,5tfru5f17ax021624,fl,3.42451221808463,74143.0,white,gray,ford of port richey,14500,16800,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
13040,2010,Toyota,Corolla,S,Sedan,automatic,1nxbu4ee3az254610,nc,3.2,91546.0,gray,black,north state acceptance,8225,8400,Mon Dec 29 2014 09:30:00 GMT-0800 (PST)
13041,2010,Toyota,Corolla,S,Sedan,manual,2t1bu4ee9ac327822,az,2.1,76840.0,silver,black,remarketing by ge/flagship credit acceptance,8675,8000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
13042,2010,Toyota,RAV4,Base,SUV,automatic,2t3jf4dv5aw069912,pa,2.0,78280.0,silver,gray,nawi leasing inc,10850,10500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
13043,2010,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdyk4cc0as315809,nc,3.1,89867.0,black,gray,kernersville chrysler dodge jeep,13600,12800,Mon Feb 09 2015 01:00:00 GMT-0800 (PST)
13044,2010,Volvo,XC60,3.2,SUV,automatic,yv4960dz8a2064191,pa,4.0,22889.0,black,black,randy ford inc,21700,20900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
13045,2010,Volkswagen,Routan,SE,Minivan,automatic,2v4rw3d18ar272691,va,3.7,55796.0,gray,gray,shirlie slack mitsubishi,10500,10500,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
13046,2009,Audi,A4,2.0T quattro,Convertible,automatic,waudf48h79k011464,pa,3.42451221808463,53400.0,silver,—,kelemen carrs,16850,17800,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
13047,2010,Volvo,XC60,3.2,SUV,automatic,yv4982dz7a2120949,il,3.0,73935.0,red,beige,ally,15100,14000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
13048,2010,Volkswagen,Jetta,Wolfsburg Edition PZEV,Sedan,automatic,3vwra7aj7am030435,tx,3.1,69271.0,black,black,"vw credit, inc/pilot",8675,8200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
