num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
13999,2009,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc46e99u054365,ga,3.2,92628.0,black,black,young motors llc,10600,13000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
14000,2009,Honda,Civic,Si,Coupe,manual,2hgfg21579h702483,il,3.42451221808463,121881.0,silver,—,chicago auto sales inc,8225,7500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
14001,2009,Honda,Odyssey,LX,Minivan,automatic,5fnrl38259b033662,il,3.42451221808463,259908.0,silver,—,motorcars express,2125,3400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
14002,2009,Honda,Accord,LX,Sedan,automatic,1hgcp26389a035819,il,2.3,70457.0,silver,gray,"ahfc/honda lease trust/hvt, inc.",8500,8800,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
14003,2009,Hyundai,Accent,GLS,Sedan,automatic,kmhcn46cx9u333461,il,2.5,93947.0,blue,beige,wells fargo dealer services,3275,4300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
14004,2009,Hyundai,Sonata,GLS PZEV,Sedan,automatic,5npet46c89h486059,az,3.42451221808463,85355.0,white,beige,good car company inc,5675,4800,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
14005,2009,Jaguar,XF,Supercharged,Sedan,automatic,sajwa07c791r12141,pa,4.0,40024.0,black,red,dodge of paramus inc,20700,20000,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
14006,2009,Hyundai,Elantra Touring,Base,Hatchback,automatic,kmhdc86e69u037193,tx,3.42451221808463,131251.0,red,tan,jerry's hyundai,4450,5400,Fri Dec 19 2014 14:00:00 GMT-0800 (PST)
14007,2009,Hyundai,Sonata,GLS V6,Sedan,automatic,5npet46f89h504411,va,1.9,36764.0,silver,gray,pinnacle financial group,6575,2000,Thu Feb 05 2015 01:20:00 GMT-0800 (PST)
14008,2009,Honda,Pilot,Touring,SUV,automatic,5fnyf48949b010007,pa,2.5,93776.0,silver,blue,bmw of sterling,15900,14800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
14009,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c29h451016,nv,1.9,66937.0,silver,gray,bmw alphera/alphera financial services,6225,4800,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
14010,2009,Honda,Pilot,Touring,SUV,automatic,5fnyf48959b008847,ma,2.6,155030.0,silver,gray,remarketing by ge/manheim new england,11500,10900,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
14011,2009,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc46e49u025288,nj,1.0,1.0,gold,beige,lester glenn buick,14450,2200,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT)
14012,2009,Hyundai,Santa Fe,GLS,SUV,automatic,5nmsg13d89h260314,va,3.5,109248.0,blue,gray,"jpmorgan chase bank,n.a.",7350,7000,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
14013,2009,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38619b010009,fl,3.5,53410.0,silver,gray,first investors servicing corp,14050,15400,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
14014,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c09h461771,va,2.1,162501.0,gray,beige,shirlie slack mitsubishi,3375,2900,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
14015,2009,Honda,Fit,Sport,Hatchback,automatic,jhmge88459s011257,tx,2.9,92488.0,blue,black,hertz remarketing,6725,6000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
14016,2009,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d99u668887,ma,3.3,144729.0,gray,gray,boch new to you superstore,3900,3500,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
14017,2009,Hyundai,Genesis,4.6,Sedan,automatic,kmhgc46f49u058672,fl,3.5,65730.0,blue,tan,leesburg volkswagen,14550,14000,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
14018,2009,Jeep,Grand Cherokee,Limited,SUV,automatic,1j8gr58k59c554257,il,3.42451221808463,109554.0,black,—,tyson motor corporation,11700,12200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
14019,2009,Honda,Pilot,Touring,SUV,automatic,5fnyf48939b016932,va,3.5,131588.0,burgundy,black,ourismans rockmont chevrolet,13050,13500,Mon Dec 29 2014 09:20:00 GMT-0800 (PST)
