num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
14999,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcek19j081315379,tx,3.42451221808463,168757.0,white,black,mission chevrolet ltd,10000,7200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
15000,2008,Chevrolet,Avalanche,LS,Crew Cab,automatic,3gnec12j68g162433,nv,4.1,144789.0,—,black,888 motors,10750,10900,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
15001,2008,Chevrolet,Aveo,LS,Sedan,automatic,kl1td56628b113370,ny,3.42451221808463,93619.0,silver,—,edward oshea,2800,3300,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
15002,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16368r173595,il,2.9,94703.0,white,gray,first merit bank,15750,14800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
15003,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcek19j981160685,ny,3.42451221808463,76885.0,black,gray,romeo chevrolet buick gmc llc,14700,15900,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
15004,2008,Chevrolet,Silverado 2500HD,LTZ,Crew Cab,automatic,1gchk23k08f142394,ut,3.42451221808463,171444.0,white,—,larry h. miller toyota,11050,9700,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
15005,2008,Chevrolet,Silverado 2500HD,Work Truck,Extended Cab,automatic,1gchc29k48e126029,tx,1.9,150852.0,white,gray,fleet lease disposal,6550,6000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
15006,2008,Chevrolet,Aveo,Aveo5 Special Value,Hatchback,manual,kl1td66668b087085,nc,2.3,72387.0,orange,gray,regional acceptance corporation / greenville,2725,2900,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
15007,2008,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,1gcec140x8z100739,mn,3.42451221808463,111179.0,yellow,black,all cars inc,8075,4500,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
15008,2008,Chevrolet,Silverado 3500HD,LT1,Crew Cab,automatic,1gcjk33698f115043,tx,3.42451221808463,90205.0,silver,black,sunland park chrysler dodge jeep ram,26800,23750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
15009,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16358j106548,ny,3.42451221808463,98226.0,blue,—,edward oshea,16800,12800,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
15010,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfk16328g176185,tx,2.7,124760.0,black,beige,brunson auto sales,15850,16400,Wed Dec 31 2014 10:10:00 GMT-0800 (PST)
15011,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcek13m181104520,ca,3.42451221808463,113959.0,black,—,aaero sweet company,15000,17750,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
15012,2008,cadillac,srx,awd v6 awd,Sedan,automatic,1gyee637680115131,mi,3.9,80617.0,silver,—,santander consumer,9800,8400,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
15013,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcek19008z185702,mn,3.42451221808463,139379.0,white,gray,luther brookdale honda,12050,10500,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
15014,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,3gcec13j38g262352,tx,3.42451221808463,130429.0,blue,—,country auto mart llc,11950,11300,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
15015,2008,Chevrolet,Avalanche,LS,Crew Cab,automatic,3gnec12028g305062,tx,3.42451221808463,156285.0,burgundy,gray,honda cars of mckinney,10300,9900,Fri Dec 19 2014 11:00:00 GMT-0800 (PST)
15016,2008,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnfk12388g218963,fl,2.5,97232.0,burgundy,beige,autonation nissan clearwater,16700,14000,Tue Jan 06 2015 01:15:00 GMT-0800 (PST)
15017,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16398j212064,wi,2.9,144684.0,gray,gray,dupaco community credit union,14450,12200,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
15018,2008,Chevrolet,Suburban,2500 LT,SUV,automatic,3gngk26k18g255557,az,1.9,215050.0,black,black,bank of america,6550,8100,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
15019,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfc16008g116764,az,3.42451221808463,95663.0,red,—,freeway chevrolet,13650,13300,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
15020,2008,Chevrolet,Aveo,Aveo5 Special Value,Hatchback,automatic,kl1td666x8b112957,la,3.42451221808463,52017.0,white,—,giles nissan,3150,3200,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
15021,2008,Cadillac,STS,V6,Sedan,automatic,1g6dw67v980106739,tx,1.0,453041.0,silver,black,fiserv/security national automotive accept corp,4125,1800,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
15022,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,3gcec13j48g225102,ca,3.6,69929.0,blue,black,certified preowned ford&lincoln/mercury dlr unit,15900,18500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
15023,2008,Cadillac,Escalade,Base,SUV,automatic,1gyfk63818r173505,wi,3.42451221808463,102400.0,black,—,highland park truck & auto center inc,20300,18350,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
15024,2008,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,1gcec19c68z270812,ga,3.6,105993.0,blue,beige,1st choice automotive corp,10100,11800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
15025,2008,Chevrolet,Silverado 2500HD,LTZ,Crew Cab,automatic,1gchk23688f175193,mn,3.0,165124.0,blue,black,bellmobile inc,21000,15100,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
15026,2008,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,2gcek13j881319804,nc,2.9,143139.0,burgundy,black,primeritus remarketing/dai,15250,14500,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
15027,2008,Chevrolet,Impala,LT,Sedan,automatic,2g1wt58n489133062,az,3.42451221808463,149561.0,silver,—,freeway chevrolet,3225,3000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
15028,2008,Chevrolet,Impala,LT,Sedan,automatic,2g1wt58k489286109,ga,3.42451221808463,118877.0,beige,beige,ga auto top,4975,4900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
15029,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58kx81216163,va,3.42451221808463,115716.0,silver,—,superior wholesalers inc,4250,4100,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
15030,2008,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al58f987191477,mi,2.0,169182.0,black,gray,santander consumer,1875,1700,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
15031,2008,Chevrolet,HHR,LT,Wagon,automatic,3gnda53p98s614013,pa,3.42451221808463,90816.0,orange,—,doan chevrolet llc,5400,5000,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
