num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
16999,2007,BMW,3 Series,335i,Sedan,automatic,wbavb73547ky61578,pa,3.7,96313.0,blue,beige,daniel thomas sales,9350,9400,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
17000,2007,BMW,5 Series,525i,Sedan,automatic,wbane53547cw67705,ga,3.42451221808463,126362.0,black,tan,global imports,7500,7500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
17001,2007,BMW,3 Series,328i,Coupe,automatic,wbawb33527p130759,pa,2.3,97625.0,gray,black,bmw of sterling,9725,8900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
17002,2007,BMW,X3,3.0si,SUV,automatic,wbxpc93447wf07750,fl,3.42451221808463,97168.0,white,tan,luxury cars outlet,10150,9500,Fri Dec 19 2014 09:20:00 GMT-0800 (PST)
17003,2007,BMW,M6,Base,Convertible,automatic,wbsek93537cs32606,tx,3.1,59789.0,black,black,leif johnson ford,25500,20100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
17004,2007,BMW,7 Series,760Li,Sedan,automatic,wbahn03597dd98856,wi,2.0,128127.0,black,gray,remarketing by ge/nextgear capital,8450,12000,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
17005,2007,BMW,3 Series,328xi,Sedan,automatic,wbavc935x7k030594,mi,2.5,131737.0,gold,tan,erhard bmw of farmington hills,6425,6400,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
17006,2007,BMW,3 Series,328xi,Sedan,automatic,wbavc93527k032453,pa,3.42451221808463,107797.0,gray,—,bmw of sterling,7800,6720,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
17007,2007,BMW,3 Series,328i,Sedan,automatic,wbava33507pg50945,or,3.0,83296.0,gray,tan,andrews fcu,8950,7000,Tue Feb 24 2015 03:31:00 GMT-0800 (PST)
17008,2007,BMW,5 Series,530xi,Sedan,automatic,wbanf73597cu27994,nj,2.9,142197.0,blue,gray,burns kull inc,6900,7000,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
17009,2007,BMW,7 Series,750Li,Sedan,automatic,wbahn83587dt76391,fl,3.7,103853.0,gray,tan,david j leahy jr,10850,11000,Thu Jan 15 2015 08:00:00 GMT-0800 (PST)
17010,2007,BMW,X3,3.0si,SUV,automatic,wbxpc93447wf15167,nv,3.9,75790.0,gray,black,prestige chrysler jeep dodge,11700,10700,Fri Dec 19 2014 11:45:00 GMT-0800 (PST)
17011,2007,BMW,3 Series,335i,Sedan,automatic,wbavb73567pa88876,ga,3.5,107394.0,silver,gray,ride rite automobiles llc,8700,9600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
17012,2007,BMW,X3,3.0si,SUV,automatic,wbxpc93427wj01933,ga,4.4,85870.0,white,tan,global imports,10950,12600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
17013,2007,BMW,5 Series,530xi,Sedan,automatic,wbanf73587cu28408,mo,3.1,119648.0,gray,black,tdaf remarketing,7850,9800,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
17014,2007,BMW,3 Series,328i,Sedan,automatic,wbava33507pv66525,va,1.9,120442.0,blue,tan,ourismans rockmont chevrolet,6975,5900,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
17015,2007,BMW,7 Series,750Li,Sedan,automatic,wbahn83517dt68942,va,3.42451221808463,105065.0,black,—,hendrick honda woodbridge,9750,11700,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
17016,2007,BMW,X3,3.0si,SUV,automatic,wbxpc93407wf03971,ca,3.3,97377.0,white,beige,arrowhead auto group inc,10100,11400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
17017,2007,BMW,3 Series,328xi,Coupe,automatic,wbawv53597p077433,pa,3.42451221808463,66041.0,black,—,salerno duane infiniti llc,11350,11600,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
