num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
17999,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fahp34n67w244027,fl,3.42451221808463,66290.0,black,—,arrigo dodge chrysler jeep ram ft pierce,4300,2400,Thu Dec 18 2014 09:00:00 GMT-0800 (PST)
18000,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fafp34n57w213195,in,1.9,119002.0,red,gray,santander consumer,2725,3300,Thu Dec 18 2014 10:10:00 GMT-0800 (PST)
18001,2007,Ford,Fusion,S,Sedan,automatic,3fahp06z87r245343,tx,1.9,109632.0,gray,gray,dt credit corporation,3350,3800,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
18002,2007,Ford,Ranger,XLT,SuperCab,automatic,1ftzr45e17pa81634,mi,2.8,49897.0,silver,black,runde chevrolet inc,12600,10700,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
18003,2007,Ford,Focus,ZX5 SES,Hatchback,automatic,1fahp37n17w261989,il,2.3,98694.0,black,black,wells fargo dealer services,3825,3200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
18004,2007,Ford,Freestyle,SEL,Wagon,automatic,1fmdk05157ga32274,on,3.42451221808463,186091.0,red,—,brampton powersports/brampton used,1900,3650,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
18005,2007,Ford,Mustang,Deluxe,Coupe,manual,1zvft80n975292379,nc,3.4,126986.0,black,black,dt credit corporation,5625,5900,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
18006,2007,Ford,Freestyle,Limited,Wagon,automatic,1fmdk06107ga19883,nj,3.42451221808463,109168.0,black,—,gold coast auto brokers inc,3675,4400,Wed Dec 17 2014 09:00:00 GMT-0800 (PST)
18007,2007,Ford,Mustang,Deluxe,Coupe,automatic,1zvft80nx75198768,fl,3.42451221808463,142413.0,black,black,the auto group collection inc,5000,5800,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
18008,2007,Ford,Ranger,XL,Regular Cab,manual,1ftyr10d67pa65079,ny,3.42451221808463,183743.0,gray,gray,affinity auto sales,2700,1900,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
18009,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fahp34n27w134267,co,1.9,76565.0,white,gray,santander consumer,4075,4300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
18010,2007,Ford,F-150,King Ranch,SuperCrew,automatic,1ftrw14517fb31947,pa,3.8,72933.0,black,black,nextgear capital,18300,17400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
18011,2007,Ford,Fusion,SE,Sedan,automatic,3fahp01157r151602,oh,1.9,95228.0,blue,black,wells fargo dealer services,5250,4200,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
18012,2007,Ford,Focus,ZX3 S,Hatchback,automatic,1fafp31n37w207559,nv,3.42451221808463,68323.19579679874,silver,—,kars forever,2600,4700,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
18013,2007,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftsx20p57eb38563,mn,3.42451221808463,141193.0,white,gray,freeway ford llc,5100,4000,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
18014,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fafp34nx7w183305,in,2.6,158254.0,white,tan,fiserv,1575,1800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
18015,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u77a214219,oh,1.9,1.0,gray,gray,wells fargo dealer services,5100,1200,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
18016,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z37r241943,nj,2.9,204818.0,silver,black,lester glenn buick,1775,2500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
18017,2007,Ford,Mustang,Deluxe,Coupe,automatic,1zvft80nx75344683,nc,1.9,134404.0,black,black,north state acceptance,5150,5600,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
18018,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u17a136973,nc,3.2,143473.0,gray,gray,dt inventory,1950,1800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
18019,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z57r171460,nc,2.4,165272.0,red,black,crossroads ford lincoln of sanford inc,2300,2900,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
18020,2007,Ford,F-150,XL,Regular Cab,automatic,1ftrf12w17kd53455,fl,3.42451221808463,129298.0,white,gray,aubreys auto sales inc,4250,4800,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
18021,2007,Ford,Focus,ZX3 S,Hatchback,manual,1fahp31n27w247284,fl,1.9,111783.0,white,black,fiserv/capital communications fcu,2275,1700,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
18022,2007,Ford,Freestyle,Limited,Wagon,automatic,1fmdk061x7ga32544,fl,3.42451221808463,98827.0,red,beige,global auto group inc,4175,5000,Thu Dec 18 2014 10:50:00 GMT-0800 (PST)
18023,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z47r168047,ca,3.1,100471.0,red,black,claremont toyota,4200,4400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
18024,2007,Ford,Focus,ZX5 SES,Hatchback,automatic,1fahp37n17w314027,mi,4.4,83251.0,black,black,dt credit corporation,4450,4100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
18025,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07157r112242,nc,1.4,129237.0,beige,beige,dt credit corporation,3875,4400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
18026,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fahp34nx7w199870,ny,2.7,70987.0,burgundy,beige,ford-lincoln dealer program,4475,2900,Wed Feb 04 2015 01:20:00 GMT-0800 (PST)
18027,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z47r220891,az,3.42451221808463,102099.0,silver,gray,rollit motors incorporated,4150,4200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
18028,2007,Ford,Five Hundred,SEL,Sedan,automatic,1fafp24117g109319,il,1.9,80354.0,beige,beige,wells fargo dealer services,4425,4700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
18029,2007,Ford,F-150,XLT,SuperCab,automatic,1ftpx14v07fa70157,pa,2.7,120085.0,gray,gray,wheel sport center inc,8950,7500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
18030,2007,Ford,Fusion,SE,Sedan,automatic,3fahp01127r193774,ny,3.5,90745.0,gray,black,wheels r us inc,5200,5300,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
18031,2007,Ford,Focus,ZX5 SES,Hatchback,automatic,1fahp37n47w264031,mo,1.9,84084.0,white,gray,meridian remarketing,3675,2800,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
18032,2007,Ford,Taurus,SEL Fleet,Sedan,automatic,1fafp56u27a152045,oh,1.9,91761.0,silver,black,santander consumer,3550,2050,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
18033,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u37a206795,nc,2.0,91249.0,gray,gray,united fcu,3450,3400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
18034,2007,Ford,Mustang,Deluxe,Coupe,automatic,1zvht80n175216177,ga,2.6,132093.0,blue,gray,wells fargo dealer services,5375,6500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
18035,2007,Ford,Fusion,SE,Sedan,automatic,3fahp07z67r181172,ny,3.42451221808463,103251.0,gray,gray,mjn,3950,4000,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
18036,2007,Ford,Fusion,SE,Sedan,automatic,3fahp01137r165014,ny,3.42451221808463,75171.0,black,gray,browns ford of amsterdam inc,6250,6100,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
18037,2007,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftsw21p17ea27641,mn,2.7,121768.0,white,gray,select lane,14300,13900,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
18038,2007,Ford,Focus,ZX4 ST,Sedan,manual,1fafp38z27w291169,fl,3.42451221808463,73230.0,silver,red,ford of ocala,4100,4000,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
18039,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u07a176820,ca,3.42451221808463,103344.0,silver,—,arrowhead auto group inc,2975,3400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
18040,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u67a175025,tx,3.42451221808463,81677.0,burgundy,gray,rlb investments,3600,4400,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
18041,2007,Ford,Taurus,SE Fleet,Sedan,automatic,1fafp53u67a126066,va,2.0,129309.0,turquoise,gray,dt inventory,2225,600,Thu Dec 18 2014 08:50:00 GMT-0800 (PST)
18042,2007,Ford,F-150,XLT,SuperCab,automatic,1ftpx14v27kd24958,tx,1.2,179476.0,white,gray,united acceptance,5450,3700,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
18043,2007,Ford,Taurus,SEL Fleet,Sedan,automatic,1fafp56u47a140706,co,2.8,88172.0,white,gray,wells fargo dealer services,3650,4000,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
18044,2007,Ford,Mustang,Deluxe,Coupe,automatic,1zvft80n075281741,nc,2.4,163634.0,silver,gray,regional acceptance corporation / greenville,3850,3200,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
18045,2007,Ford,Fusion,S,Sedan,manual,3fahp06z97r185590,mn,3.42451221808463,100575.0,silver,tan,longs auto place inc,4000,4200,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
18046,2007,Ford,Focus,ZX3 S,Hatchback,manual,1fafp31n97w290883,fl,1.0,109217.0,red,gray,auto trakk llc,2775,1500,Thu Dec 18 2014 13:25:00 GMT-0800 (PST)
18047,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fahp34n27w179564,nj,1.9,196030.0,red,gray,lester glenn ford,1200,300,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
18048,2007,Ford,Focus,ZX4 SE,Sedan,automatic,1fahp34n97w197852,mi,3.42451221808463,158494.0,red,black,cueter chrysler jeep dodge llc,2075,1350,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
