num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
18999,2007,Nissan,Xterra,X,SUV,automatic,5n1an08u97c512664,nv,1.9,90346.0,black,gray,remarketing by ge/america first credit union,7500,5400,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
19000,2007,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18u57c638143,ga,3.42451221808463,127214.0,silver,gray,alpha international,6650,7100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
19001,2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552471197559,fl,3.42451221808463,110219.0,white,tan,off lease only inc,4075,3400,Thu Dec 18 2014 10:35:00 GMT-0800 (PST)
19002,2007,Nissan,Xterra,X,SUV,automatic,5n1an08u77c521752,fl,2.5,164777.0,red,gray,coggin nissan,4100,2600,Thu Dec 18 2014 12:45:00 GMT-0800 (PST)
19003,2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58n474263728,ne,3.42451221808463,178960.0,blue,black,woodhouse sioux city inc,2325,2600,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
19004,2007,Nissan,Xterra,X,SUV,automatic,5n1an08u57c544169,fl,2.0,67920.0,silver,gray,nicholas financial inc/clearwater,8500,7300,Thu Dec 18 2014 15:01:00 GMT-0800 (PST)
19005,2007,Pontiac,G6,GT,Convertible,automatic,1g2zh36n774122513,ny,3.42451221808463,99277.0,blue,tan,rays wholesale auto sales llc,5825,3800,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
19006,2007,Pontiac,Solstice,Base,Convertible,manual,1g2mb35b07y106911,nj,4.1,51405.0,red,black,lucas dodge inc,7400,8000,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
19007,2007,Nissan,Sentra,2.0,Sedan,automatic,3n1ab61e37l682285,tx,3.42451221808463,150375.0,white,gray,sunland park chrysler dodge jeep ram,3225,3400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
19008,2007,Nissan,Quest,3.5 S,Minivan,automatic,5n1bv28u77n117659,az,3.42451221808463,90559.0,red,—,yates buick gmc inc,5225,5200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
19009,2007,Nissan,Xterra,X,SUV,automatic,5n1an08w47c541880,il,3.42451221808463,144023.0,black,—,fletcher jones automotive ent,5950,5500,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
19010,2007,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab61e07l722483,nv,1.9,91812.0,gray,beige,bmw alphera/alphera financial services,4425,4400,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
19011,2007,Pontiac,G6,GT,Coupe,automatic,1g2zh18n174118460,pa,1.9,71867.0,white,black,fiserv/crescent ida,5000,2800,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
19012,2007,Nissan,Murano,SL,SUV,automatic,jn8az08t17w507249,tx,3.42451221808463,92622.0,gray,tan,hiley buick gmc,8125,8000,Fri Dec 19 2014 11:00:00 GMT-0800 (PST)
19013,2007,Nissan,Pathfinder,SE Off-Road,SUV,automatic,5n1ar18w37c610519,ny,3.42451221808463,63455.0,silver,gray,the johnson dealerships inc,8900,9700,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
19014,2007,Nissan,Murano,SL,SUV,automatic,jn8az08t57w505648,la,3.42451221808463,176581.0,black,—,j. p. thibodeaux nissan,4700,3300,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
19015,2007,Pontiac,G6,GT,Convertible,automatic,1g2zh36nx74100022,nj,2.8,107209.0,black,gray,hamilton honda,5350,3700,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
19016,2007,Nissan,Xterra,S,SUV,automatic,5n1an08w27c538914,pa,1.9,135399.0,blue,gray,criswell chrysler jeep dodge,6425,4700,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
19017,2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58n174150786,mi,4.6,111501.0,black,gray,kevins marysville auto sales inc,4325,6100,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
19018,2007,Pontiac,G6,GT,Convertible,automatic,1g2zh36n474270652,mi,2.1,71281.0,white,tan,lafontaine cadillac buick gmc inc,7500,7850,Thu Jan 22 2015 01:20:00 GMT-0800 (PST)
19019,2007,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w77c615027,nj,3.42451221808463,113587.0,gray,—,awn sales ltd,6850,7200,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
19020,2007,Pontiac,G5,GT,Coupe,automatic,1g2an15b777123340,mn,3.2,116218.0,silver,black,remarketing by ge/westconsin credit union,4525,3200,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
19021,2007,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18u87c606402,fl,2.4,165388.0,gray,beige,parks toyota of deland,6375,4100,Wed Jan 28 2015 01:25:00 GMT-0800 (PST)
19022,2007,Nissan,Titan,SE,Crew Cab,automatic,1n6ba07a07n208118,fl,3.42451221808463,89702.0,gray,gray,fleet services remarketing inc,10200,10700,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
19023,2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58n374101685,nv,1.0,141942.0,white,black,time finance co,3425,800,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
19024,2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58b474143983,mi,3.42451221808463,113653.0,gray,gray,lafontaine chrysler dodge jeep,3550,2400,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
19025,2007,Nissan,Titan,SE,Crew Cab,automatic,1n6ba07b17n202871,va,3.42451221808463,125976.0,gray,—,sheehy nissan of manassas,9900,10000,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
19026,2007,Pontiac,G6,GT,Convertible,automatic,1g2zh36n974135053,fl,4.2,109911.0,blue,—,nicholas financial inc/clearwater,5225,6800,Thu Dec 18 2014 15:01:00 GMT-0800 (PST)
19027,2007,Pontiac,G6,GT,Sedan,automatic,1g2zh58n174216346,mi,3.42451221808463,98820.0,—,tan,dean sellers ford,4900,4800,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
19028,2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552271101072,ny,1.9,112111.0,silver,gray,honor finance corporation,3900,1400,Thu Jan 22 2015 01:15:00 GMT-0800 (PST)
19029,2007,Pontiac,G6,GT,Convertible,automatic,1g2zh36n874190187,az,3.4,57238.0,silver,black,onesource/southwest remarketing,7975,9300,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
19030,2007,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc13e37l393425,nc,2.1,112951.0,red,tan,dt credit corporation,3975,3200,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
19031,2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552571164019,la,3.42451221808463,116061.0,brown,—,big w's auto sales & rent to own,3900,2400,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
19032,2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552071175459,la,3.42451221808463,108806.0,gray,black,volunteers of america,4125,750,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
19033,2007,Nissan,Xterra,X,SUV,automatic,5n1an08w47c510404,il,3.42451221808463,117159.0,beige,—,fletcher jones automotive ent,7525,6700,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
19034,2007,Nissan,Sentra,2.0,Sedan,automatic,3n1ab61e57l639275,in,3.42451221808463,120738.0,red,gray,duramax motors inc,3875,3100,Wed Dec 17 2014 13:15:00 GMT-0800 (PST)
19035,2007,Nissan,Xterra,X,SUV,automatic,5n1an08w07c529659,mo,3.42451221808463,130280.0,silver,—,merriam leasing & rental,6150,5900,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
19036,2007,Nissan,Xterra,S,SUV,automatic,5n1an08wx7c525361,tx,3.42451221808463,118167.0,white,—,jack key motor co of alamogordo llc,7375,5400,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
19037,2007,Pontiac,Grand Prix,GT,Sedan,automatic,2g2wr554671114192,mi,3.2,218684.0,gray,black,enterprise veh exchange/rental,1475,1500,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
19038,2007,Nissan,Quest,3.5 S,Minivan,automatic,5n1bv28u77n114096,wa,3.42451221808463,1.0,gray,—,best auto limited,5275,1000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
19039,2007,Nissan,Quest,3.5 S,Minivan,automatic,5n1bv28u97n106050,nj,3.42451221808463,116838.0,gray,—,royalton auto enterprises inc,4150,2850,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
19040,2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552271219462,mi,3.42451221808463,64366.0,silver,black,dean sellers ford,5575,6000,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
19041,2007,Nissan,Xterra,X,SUV,automatic,5n1an08w17c503135,wi,3.42451221808463,147223.0,black,gray,boucher nissan,5700,5600,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
19042,2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58n374120141,va,2.4,140246.0,blue,black,virginia select auto,3550,2100,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
19043,2007,Nissan,Pathfinder,SE,SUV,automatic,5n1ar18w77c615027,nj,3.42451221808463,1.0,gray,—,awn sales ltd,10600,2600,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
19044,2007,Nissan,Versa,1.8 SL,Sedan,automatic,3n1bc11e77l399795,oh,3.1,88052.0,silver,black,remarketing by ge/columbus metro fcu,3850,5100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
