num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
21999,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e559137620,ga,1.9,118534.0,gold,beige,automobile acceptance corp,2375,1900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
22000,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e659377033,wa,3.4,95640.0,gray,gray,lexus of tacoma at fife,2750,3200,Tue Dec 30 2014 13:20:00 GMT-0800 (PST)
22001,2005,Chevrolet,Avalanche,1500 LS,Crew Cab,automatic,3gnek12z25g167701,ny,3.42451221808463,137923.0,blue,gray,heritage toyota,8600,3350,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
22002,2005,Chevrolet,Avalanche,1500 LS,Crew Cab,automatic,3gnek12zx5g191275,oh,2.6,100191.0,black,gray,wells fargo dealer services,11900,8500,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
22003,2005,Chevrolet,Silverado 2500HD,Base,Extended Cab,automatic,1gchk29u45e307342,mn,3.5,95302.0,white,gray,oneok partners,12500,9000,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
22004,2005,Chevrolet,Silverado 2500HD,LT,Crew Cab,automatic,1gchk232x5f812769,tx,3.42451221808463,156058.0,silver,—,fairway ford henderson,15350,15700,Mon Dec 22 2014 10:00:00 GMT-0800 (PST)
22005,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e659208131,ma,3.42451221808463,123370.0,blue,tan,auto drive one,2275,1000,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
22006,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e359241460,ny,3.42451221808463,119369.0,blue,gray,denooyer chevrolet inc,2375,1800,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
22007,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e459217099,oh,2.1,132231.0,silver,gray,car now acceptance co/columbus,2325,650,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
22008,2005,Chevrolet,Colorado,Z85 LS Base,Crew Cab,automatic,1gcds136558108978,ga,3.2,129016.0,red,gray,wells fargo dealer services,7625,7100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
22009,2005,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg25v251147299,va,3.42451221808463,154457.0,white,—,beach bound auto sales llc,3950,3800,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
22010,2005,Chevrolet,Express,3500,Van,automatic,1gahg35u751170832,nv,2.1,120560.0,silver,gray,"high country auto center, inc.",5350,6800,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
22011,2005,Chevrolet,Silverado 2500HD,LS,Crew Cab,automatic,1gchk23ux5f842100,wa,3.2,96641.0,white,black,larson chrysler jeep dodge,10800,17400,Wed Jan 14 2015 06:20:00 GMT-0800 (PST)
