num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
24999,2004,Suzuki,Verona,EX,Sedan,automatic,kl5vm52l54b113439,fl,3.42451221808463,160965.0,blue,gray,zimmerman auto brokers inc,800,1350,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
25000,2004,Pontiac,Grand Prix,GT1,Sedan,automatic,2g2wp522941106754,mi,3.42451221808463,129969.0,silver,gray,lafontaine chrysler dodge jeep,2200,3200,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
25001,2004,Pontiac,Grand Prix,GT2,Sedan,automatic,2g2ws522941159713,ny,3.42451221808463,98686.0,silver,gray,fuccillo nissan of latham,3800,2400,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
25002,2004,Saturn,ION,2,Sedan,automatic,1g8aj52f84z226797,mn,3.42451221808463,156989.0,red,gray,cash 4 clunkers llc,1075,1300,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
25003,2004,Saturn,ION,1,Sedan,automatic,1g8ag52f94z128702,ny,3.42451221808463,69909.0,black,gray,fuccillo kia,1625,1100,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
25004,2004,Saturn,VUE,Base,SUV,manual,5gzcz23d84s871329,nc,4.6,101197.0,white,gray,parkway automotive group,1750,2500,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
25005,2004,Toyota,Camry,SE,Sedan,automatic,4t1be32k84u301703,fl,2.4,158864.0,black,tan,lauderdale bmw of fort lauderdale,4500,2500,Fri Feb 13 2015 01:35:00 GMT-0800 (PST)
25006,2004,Pontiac,Grand Am,SE1,Sedan,automatic,1g2nf52e54m515721,il,3.42451221808463,132746.0,gray,—,grossinger toyota north,1825,1950,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
25007,2004,Saturn,VUE,Base,SUV,automatic,5gzcz63464s895619,mi,3.42451221808463,118515.0,red,tan,crest ford flat rock inc,2950,2500,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
25008,2004,Pontiac,Grand Prix,GT1,Sedan,automatic,2g2wp542341240186,oh,1.2,176961.0,silver,black,aex credit services,1825,500,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
25009,2004,Saturn,ION,2,Coupe,automatic,1g8an12f34z153934,wi,3.42451221808463,75455.0,silver,blue,classic motorcars inc,2350,3900,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
25010,2004,Toyota,4Runner,SR5,SUV,automatic,jtebt14r840034977,in,3.6,105600.0,black,gray,remarketing by ge/manheim louisville,7475,8700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
25011,2004,Suzuki,XL-7,EX,SUV,automatic,js3tx92v044104705,nc,2.2,206815.0,beige,tan,primeritus remarketing/dai,1150,2100,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
25012,2004,Porsche,Cayenne,Tiptronic,SUV,automatic,wp1aa29p14la23612,wa,3.42451221808463,122036.0,green,—,prudent autodeals inc,5850,3600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
25013,2004,Pontiac,Grand Prix,GT1,Sedan,automatic,2g2wp522641102953,il,3.42451221808463,1.0,black,black,chignoli auto sales inc,3325,1500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
25014,2004,Pontiac,Montana,Base,Minivan,automatic,1gmdu03e54d264788,on,3.42451221808463,138697.0,brown,—,bowman's auto sales,625,550,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
25015,2004,Toyota,Camry Solara,SLE V6,Coupe,automatic,4t1ca38p24u002078,tx,3.42451221808463,188072.0,black,gray,petrie auto sales inc,2250,2600,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
25016,2004,Toyota,4Runner,Limited,SUV,automatic,jtezu17r740032130,ga,2.3,206353.0,gray,gray,gwinnett place honda,5550,5300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
25017,2004,Toyota,4Runner,Limited,SUV,automatic,jtebu17r140041990,pa,2.8,101565.0,gold,tan,charles & son auto sls inc,9250,8100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
25018,2004,Toyota,Camry,XLE,Sedan,automatic,4t1be32k24u845002,tx,2.3,159580.0,black,gray,bmw of arlington,3675,5000,Thu Dec 18 2014 00:00:00 GMT-0800 (PST)
25019,2004,Saab,9-3,Arc,Convertible,manual,ys3fd75y446011570,fl,3.42451221808463,99422.0,blue,tan,tropical chevrolet,2925,1100,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
25020,2004,Saab,9-3,Arc,Convertible,automatic,ys3fd79y446013328,tx,3.42451221808463,87460.0,black,gray,boardwalk volkswagen,3375,2700,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
