num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
25999,2003,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc73e63u466069,tx,3.42451221808463,90664.0,silver,gray,honda cars of mckinney,2575,2800,Fri Dec 19 2014 11:00:00 GMT-0800 (PST)
26000,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18903b126887,nj,2.9,164405.0,blue,gray,hamilton honda,2125,1350,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
26001,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18983b122926,mi,3.42451221808463,166107.0,gold,beige,lafontaine toyota kia suzuki scion,2075,2150,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
26002,2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e03m324275,on,3.42451221808463,204711.0,black,black,gateway chevrolet inc,2150,2800,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
26003,2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e33m015092,nv,3.42451221808463,104618.0,silver,—,las vegas auto sports,4775,4600,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
26004,2003,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc13d53u367599,fl,2.1,85832.0,burgundy,gray,courtesy kia of brandon,2725,2600,Thu Dec 18 2014 16:20:00 GMT-0800 (PST)
26005,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18903b068232,ma,1.9,145006.0,silver,gray,boch toyota/scion south,2275,1500,Thu Feb 05 2015 10:30:00 GMT-0800 (PST)
26006,2003,Honda,Element,EX,SUV,automatic,5j6yh185x3l013420,fl,3.42451221808463,255823.0,orange,—,arrigo dodge chrysler jeep ram sawgrass,2325,3000,Thu Dec 18 2014 09:00:00 GMT-0800 (PST)
26007,2003,Honda,CR-V,LX,SUV,automatic,jhlrd78413c002292,ny,3.42451221808463,126109.0,silver,gray,trident motorcar,4500,3550,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
26008,2003,Honda,Odyssey,EX,Minivan,automatic,5fnrl18683b022492,il,3.42451221808463,158573.0,silver,—,grossinger chevrolet inc,2150,2100,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
26009,2003,Honda,CR-V,EX,SUV,automatic,jhlrd78883c038757,il,3.42451221808463,139446.0,red,—,mc grath honda,4525,4300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
26010,2003,Hyundai,Elantra,GT,Sedan,automatic,kmhdn45d23u615941,wi,3.42451221808463,164740.0,blue,tan,wilde toyota,950,1800,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
26011,2003,Honda,CR-V,LX,SUV,automatic,shsrd68473u108510,fl,3.2,74122.0,silver,black,holman honda of fort lauderdale,4900,5800,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
26012,2003,Honda,Element,EX,SUV,automatic,5j6yh28553l022340,ga,2.8,147419.0,green,black,nalley honda,4150,4200,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
26013,2003,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc73d43u558983,ny,3.42451221808463,193625.0,black,gray,krystal motors car corp,1350,950,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
26014,2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e13m323670,nj,2.0,163981.0,gray,black,carvant financial llc,3425,2900,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
26015,2003,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc73d93u530161,il,3.42451221808463,114586.0,black,—,exclusive motor cars inc,2475,1650,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
26016,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18943b087043,la,3.42451221808463,198207.0,blue,—,team honda,1675,800,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
26017,2003,Infiniti,I35,Base,Sedan,automatic,jnkda31a73t110455,az,3.42451221808463,95424.0,gray,gray,coulter infiniti,4000,4600,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
26018,2003,Infiniti,G35,Base,Coupe,automatic,jnkcv54e43m205074,tx,1.9,63733.0,white,gray,navy federal credit union,8625,6100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
26019,2003,Honda,Civic,LX,Sedan,automatic,2hges16613h611335,pa,3.0,103206.0,burgundy,beige,peoples credit company inc,3000,2300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
26020,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18943b011600,pa,3.42451221808463,97170.0,gold,—,kelemen carrs,2900,3600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
26021,2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51ex3m328916,nj,3.42451221808463,92464.0,white,—,auto leader,4925,4500,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
26022,2003,Jaguar,X-Type,2.5,Sedan,automatic,sajea51d53xd13241,nj,2.8,73800.0,silver,black,lester glenn buick,2575,3700,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
26023,2003,Hyundai,Tiburon,GT,Hatchback,automatic,kmhhn65f93u005808,tx,3.42451221808463,105114.0,red,black,durant toyota,1950,2000,Fri Dec 19 2014 14:00:00 GMT-0800 (PST)
26024,2003,Honda,Civic,LX,Sedan,manual,1hges15543l000050,fl,2.0,169645.0,red,beige,coggin honda of st. augustine,2200,2100,Thu Dec 18 2014 13:00:00 GMT-0800 (PST)
26025,2003,Honda,Civic,LX,Coupe,automatic,1hgem22503l024995,ga,1.5,147880.0,silver,black,automobile acceptance corp,2450,2300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
26026,2003,Honda,Civic,LX,Coupe,automatic,1hgem21503l816937,on,3.42451221808463,175801.0,blue,—,napat limited,1675,1450,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
26027,2003,HUMMER,H2,Base,SUV,automatic,5grgn23u63h119914,pa,2.7,145634.0,gray,gray,tri boro fcu,11750,9900,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
26028,2003,HUMMER,H2,Base,SUV,automatic,5grgn23u33h110815,il,3.42451221808463,101098.0,black,—,chignoli auto sales inc,13650,10200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
26029,2003,Honda,CR-V,EX,SUV,automatic,jhlrd78893c018520,az,3.42451221808463,155805.0,silver,—,chapman honda,4200,5100,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
26030,2003,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35h93a850146,fl,4.9,131084.0,silver,black,enterprise vehicle exchange / rental / tulsa,1800,750,Fri Feb 20 2015 09:25:00 GMT-0800 (PST)
26031,2003,Infiniti,QX4,Base,SUV,automatic,jnrdr09y13w306108,wa,3.42451221808463,115160.0,black,beige,e-z auto buy incorporated,4325,3400,Wed Dec 17 2014 14:15:00 GMT-0800 (PST)
26032,2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e73m005102,va,1.9,187401.0,silver,black,pra receivables management llc,3025,2600,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
26033,2003,Honda,Civic,LX,Coupe,automatic,1hgem22573l035069,tx,3.42451221808463,169490.0,black,black,honda cars of mckinney,2075,1800,Fri Dec 19 2014 11:00:00 GMT-0800 (PST)
26034,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18023b055810,ca,3.42451221808463,173058.0,white,—,foreign car center,2250,2000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
26035,2003,Isuzu,Axiom,S,SUV,automatic,4s2ce58x134603618,tx,2.0,145173.0,red,—,united acceptance,1525,950,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
26036,2003,Jaguar,S-Type,3.0,Sedan,automatic,sajea01t23fm67550,mi,3.42451221808463,74329.0,blue,gray,lafontaine cadillac buick gmc inc,3075,2950,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
26037,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18063b045507,tx,3.42451221808463,210460.0,black,gray,autonation honda lewisville,1800,1800,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
26038,2003,Hyundai,Accent,GL,Sedan,automatic,kmhcg45c33u462807,tx,3.42451221808463,106705.0,green,gray,jerry's hyundai,975,1400,Fri Dec 19 2014 14:00:00 GMT-0800 (PST)
26039,2003,Hyundai,Santa Fe,LX,SUV,automatic,km8sc13d03u440992,nv,3.42451221808463,107021.0,gold,—,centennial hyundai,2425,2900,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
26040,2003,Honda,Odyssey,EX,Minivan,automatic,5fnrl18693b105557,fl,3.42451221808463,104212.0,gray,gray,zimmerman auto brokers inc,2825,3300,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
26041,2003,Jaguar,S-Type,3.0,Sedan,automatic,sajea01t13fm60413,ga,2.1,123019.0,gray,black,nalley bmw,2350,1800,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
26042,2003,Infiniti,G35,Base,Sedan,automatic,jnkcv51e93m309998,pa,2.0,78573.0,silver,black,nawi leasing inc,5225,4500,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
26043,2003,Hyundai,Elantra,GT,Sedan,automatic,kmhdn45d93u682603,ut,3.42451221808463,158511.0,silver,—,the car doctors,1025,950,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
