num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
33999,2013,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng9eb8da504057,pa,3.42451221808463,19758.0,black,black,mercedes-benz financial services,54500,47700,Fri Dec 19 2014 08:31:00 GMT-0800 (PST)
34000,2013,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wddjk7da0df019067,ga,4.4,11753.0,black,black,the hertz corporation,74000,72100,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
34001,2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,wddhf8jb0da716063,pa,3.42451221808463,27277.0,—,off-white,mercedes-benz financial services,32600,30000,Fri Dec 19 2014 08:31:00 GMT-0800 (PST)
34002,2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,wddhf8jb1da673479,pa,3.5,22127.0,black,black,concours motors inc,29200,29600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
34003,2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,wddhf8jb3da666016,tx,2.8,23302.0,black,off-white,mercedes-benz financial services,33300,32250,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
34004,2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,wddhf8jb5da719752,pa,2.5,30023.0,gray,black,mercedes-benz financial services,29300,27200,Fri Jan 09 2015 08:29:00 GMT-0800 (PST)
34005,2013,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,wdcgg5hbxdf995865,tx,3.9,14596.0,—,beige,mercedes-benz financial services,30000,32250,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
34006,2013,Mitsubishi,Lancer Sportback,GT,Hatchback,automatic,ja32x8hw8du002667,il,4.2,7774.0,black,black,"mmca, inc",12850,12500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34007,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc167706,pa,3.9,55044.0,white,gray,nissan-infiniti lt,12150,11500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34008,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc169663,fl,4.5,34605.0,blue,black,tfp international inc,13050,13400,Thu Dec 18 2014 10:20:00 GMT-0800 (PST)
34009,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc113161,pa,4.4,21098.0,gray,gray,nissan-infiniti lt,14400,17100,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
34010,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dc206115,pa,3.7,22216.0,white,black,nissan-infiniti lt,14550,13400,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34011,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dc166535,tx,2.8,39913.0,gray,black,avis corporation,13000,12000,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
34012,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc200132,pa,4.2,6717.0,—,black,nissan-infiniti lt,15650,14900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34013,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc196874,fl,3.7,45122.0,white,black,tfp international inc,12550,13000,Thu Dec 18 2014 10:20:00 GMT-0800 (PST)
34014,2013,Mitsubishi,Outlander Sport,ES,SUV,automatic,4a4ar3au1de023995,mn,4.1,19008.0,silver,black,onemain rem/network sales and leasing,12600,13900,Thu Jan 15 2015 02:45:00 GMT-0800 (PST)
34015,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc201983,mo,4.2,27202.0,gray,black,nissan-infiniti lt,14150,16000,Mon Dec 22 2014 11:00:00 GMT-0800 (PST)
34016,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc902407,nv,4.1,30125.0,white,black,enterprise veh exchange/rental,13300,14300,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
34017,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn544792,ne,3.8,42012.0,gray,black,enterprise vehicle exchange/davenport,12750,12500,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
34018,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dc100887,il,3.6,47448.0,blue,tan,wells fargo dealer services,15250,15200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34019,2013,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu0du011094,il,2.8,23931.0,black,black,"mmca, inc",9975,9400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34020,2013,Mitsubishi,Lancer,DE,Sedan,manual,ja32u1fu5du009058,pr,4.2,37097.0,beige,black,oriental bank,8875,7500,Tue Dec 30 2014 11:30:00 GMT-0800 (PST)
34021,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc155133,pa,4.5,17782.0,silver,black,nissan-infiniti lt,14850,14000,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34022,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn473154,co,4.2,15272.0,black,black,nissan-infiniti lt,14950,15300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
34023,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dc204168,fl,1.9,47035.0,silver,black,tfp international inc,12450,11400,Thu Dec 18 2014 10:20:00 GMT-0800 (PST)
34024,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dc144308,pa,3.9,26565.0,white,black,td auto finance,14300,14500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34025,2013,Mitsubishi,Lancer,DE,Sedan,automatic,ja32u1fuxdu002977,pr,3.2,18104.0,white,black,oriental bank,9475,7300,Tue Dec 30 2014 11:30:00 GMT-0800 (PST)
34026,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep2dc267390,tn,4.3,23201.0,gray,gray,nissan north america inc.,14800,16200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34027,2013,Mitsubishi,Lancer Evolution,GSR,Sedan,manual,ja32w8fv4du011783,pa,4.3,24134.0,white,black,"mmca, inc",26000,26100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34028,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc174516,pa,3.3,10622.0,black,black,nissan-infiniti lt,15400,13400,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34029,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc253093,tn,4.5,36121.0,—,black,nissan motor acceptance corporation,13500,13800,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
34030,2013,Mitsubishi,Lancer Evolution,GSR,Sedan,manual,ja32w8fv3du018319,ca,2.5,17414.0,gray,black,j/r motors,26500,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
34031,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn494831,pa,3.6,37960.0,silver,black,avis corporation,13050,12900,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
34032,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc188531,fl,3.4,92411.0,black,black,ari,11400,10200,Wed Jan 07 2015 15:10:00 GMT-0800 (PST)
34033,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdn440525,nj,3.7,30771.0,black,gray,wheels exchange llc,13500,12500,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
34034,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dc200346,pa,3.7,27243.0,gray,black,nissan-infiniti lt,14150,13900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34035,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dc154946,tn,2.6,16206.0,silver,black,nissan-infiniti lt,14500,12400,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
34036,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dc129626,il,2.8,40876.0,black,black,nissan-infiniti lt,13150,12400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34037,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep9dc184572,az,3.5,41023.0,silver,black,avis corporation,13150,13500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
34038,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn528495,tn,4.1,18676.0,—,tan,nissan north america inc.,14800,17400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34039,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc152144,tn,4.8,15903.0,beige,tan,nissan-infiniti lt,15000,18400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34040,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn581970,pa,3.8,25622.0,black,black,nissan-infiniti lt,14300,13100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34041,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc259284,az,3.9,36679.0,gray,black,merchants leasing,13000,12700,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
34042,2013,Mitsubishi,Outlander,SE,SUV,automatic,ja4jt3aw0du020760,oh,4.3,41578.0,black,black,avis corporation,14400,14800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
34043,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn443396,tn,4.9,5823.0,white,tan,nissan-infiniti lt,15750,20600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34044,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc123505,pa,3.9,4429.0,black,black,nissan-infiniti lt,15850,14200,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34045,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep6dc219178,ca,2.7,38525.0,red,black,avis corporation,13150,13400,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
34046,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn464523,il,4.3,18397.0,blue,black,nissan-infiniti lt,14800,13200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34047,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dc157713,pa,4.0,29231.0,black,black,nissan-infiniti lt,14000,13700,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34048,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc168853,pa,3.7,11339.0,black,black,nissan-infiniti lt,15200,13700,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
34049,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dc155728,oh,4.2,19498.0,beige,tan,nissan-infiniti lt,14500,13700,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
34050,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dc160118,pa,4.8,20306.0,white,black,nissan-infiniti lt,14650,14000,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34051,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn412800,ny,3.42451221808463,46643.0,red,gray,new deal used cars,12750,11600,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
34052,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dc157039,pa,4.3,25047.0,—,black,nissan-infiniti lt,14300,13700,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34053,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dc126043,tn,5.0,6364.0,—,gray,nissan-infiniti lt,15550,14500,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
34054,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn497509,wa,3.4,38482.0,gray,black,avis corporation,13150,13200,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
34055,2013,Mitsubishi,Lancer,DE,Sedan,automatic,ja32u1fu7du003259,pr,3.9,19706.0,black,black,oriental bank,9575,9600,Tue Dec 23 2014 11:30:00 GMT-0800 (PST)
34056,2013,Nissan,Juke,S,Hatchback,automatic,jn8af5mr4dt213356,fl,2.0,1.0,silver,black,enterprise veh exchange/rental,15150,2200,Tue Jun 23 2015 02:30:00 GMT-0700 (PDT)
34057,2013,Mitsubishi,Outlander Sport,ES,SUV,automatic,4a4ap3au0de009124,pr,3.1,20182.0,black,black,oriental bank,12350,12000,Tue Dec 30 2014 11:30:00 GMT-0800 (PST)
34058,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dc252233,ga,2.3,34531.0,black,black,nissan motor acceptance corporation,13650,11200,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
34059,2013,Mitsubishi,Outlander,SE,SUV,automatic,ja4jt3aw0du020189,az,3.7,32929.0,white,black,avis corporation,15100,15300,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
34060,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap1dn426755,mn,3.4,70305.0,gray,black,the hertz corporation,11250,10500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
34061,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn524336,ca,4.0,38551.0,silver,black,avis corporation,13000,13500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
34062,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc156203,pa,4.7,24665.0,black,black,nissan-infiniti lt,14150,13400,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
34063,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dc922615,co,4.1,15072.0,black,black,bellco fcu,14150,15300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
34064,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc261106,az,3.7,40286.0,gray,black,merchants leasing,12800,12300,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
34065,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dc272072,pa,4.3,18143.0,black,black,nissan-infiniti lt,14850,14000,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34066,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep8dc909160,tn,4.6,12852.0,burgundy,gray,nissan north america inc.,15800,17200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34067,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc141306,pa,2.8,25535.0,—,black,nissan-infiniti lt,14300,12800,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34068,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep3dc189153,az,3.8,38487.0,silver,black,avis corporation,13250,13500,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
34069,2013,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep6dc906421,tn,4.9,8419.0,silver,black,nissan north america inc.,16200,16800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
34070,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn546008,wa,3.6,40415.0,black,black,avis corporation,13150,13400,Wed Jan 14 2015 04:50:00 GMT-0800 (PST)
34071,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap6dc916880,pa,4.6,17428.0,white,black,nissan-infiniti lt,14800,13800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
34072,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dc167432,tx,1.9,65559.0,red,black,the hertz corporation,11650,10100,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
34073,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn560725,pa,4.3,5844.0,white,black,nissan-infiniti lt,15750,14600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
34074,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn525286,nj,1.9,21827.0,—,black,nissan motor acceptance corporation,14350,12200,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
