num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
34999,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f66cc002443,pa,4.1,25883.0,white,beige,"ahfc/honda lease/trust/hvt, inc. eot acuras",19250,19800,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
35000,2012,Acura,TL,Base,Sedan,automatic,19uua8f26ca018704,pa,3.7,45361.0,gray,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18000,17300,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
35001,2012,Acura,TL,SH-AWD w/Advance Package,Sedan,automatic,19uua9f71ca005103,pa,3.4,34918.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",25200,23100,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
35002,2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f83cc011022,pa,3.7,27960.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18300,18700,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
35003,2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl1ca063389,tx,3.5,33249.0,black,black,vw credit,20300,20400,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
35004,2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca025691,pa,3.6,32670.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18900,18600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
35005,2012,Audi,A5,2.0T Premium,Convertible,automatic,waujfafh3cn000228,fl,4.1,32586.0,white,beige,prestige motorcar imports inc,26200,27400,Thu Jan 08 2015 10:30:00 GMT-0800 (PST)
35006,2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,wauggafc4cn059395,pa,3.6,41693.0,black,beige,wiz leasing inc,28900,30250,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
35007,2012,Acura,TSX,Special Edition,Sedan,manual,jh4cu2e82cc015418,pa,3.7,28313.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18300,17900,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
35008,2012,Acura,TL,Base,Sedan,automatic,19uua8f22ca014228,pa,2.0,24984.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",19600,16700,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
35009,2012,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h32ch515903,pa,4.3,37733.0,gray,gray,rite cars inc,29300,29300,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
35010,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f47cc004698,pa,3.42451221808463,32884.0,black,—,luxury fleet serv inc,16950,16500,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
35011,2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f5xca016433,ga,4.3,38253.0,white,beige,"ahfc/honda lease/trust/hvt, inc. eot acuras",20700,21400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
35012,2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca006132,pa,4.5,29041.0,white,black,all state motor inc,18900,19700,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
35013,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f46cc006460,pa,2.7,35393.0,gray,beige,kentland car co inc,26400,25200,Thu May 28 2015 06:15:00 GMT-0700 (PDT)
35014,2012,Acura,RDX,Technology Package,SUV,automatic,5j8tb1h5xca005042,pa,3.8,49964.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",22500,21300,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
35015,2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f84cc002751,ga,3.5,37162.0,red,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",17650,18200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
35016,2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f51ca010925,pa,3.42451221808463,34583.0,black,—,luxury fleet serv inc,21300,20900,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
35017,2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl9cn005782,ca,4.5,34232.0,black,beige,audi san diego,20400,21750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
35018,2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5sh3e7202463,in,4.8,13864.0,silver,gray,gm financial,11700,11800,Thu Dec 18 2014 10:10:00 GMT-0800 (PST)
35019,2014,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,3gnal3ek8es587417,ne,4.2,16551.0,silver,black,galyen leasing inc,15500,15900,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
35020,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7128497,nc,3.7,35577.0,gray,black,avis corporation,13050,13000,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
35021,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb8e7334933,ga,2.1,7210.0,gray,black,wells fargo dealer services,12950,10800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
35022,2014,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek7es553538,il,3.42451221808463,26007.0,blue,—,gurley leep buick gmc cadillac gm giant,16050,16200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
35023,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb1e7119775,az,3.8,34334.0,silver,black,avis corporation,13100,12900,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
35024,2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5sh3e7405451,pa,4.4,5312.0,black,black,gm financial,12300,12800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
35025,2014,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,3gnal2ek4es592172,sc,2.0,19687.0,silver,black,enterprise veh exchange/rental,14350,10500,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
35026,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7103230,az,3.5,33477.0,silver,black,avis corporation,13100,13500,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
35027,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8e7389618,tx,3.42451221808463,7426.0,green,tan,mid city mcandrew motors,14200,14500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
35028,2014,Chevrolet,Corvette Stingray,Base,Convertible,automatic,1g1ya3d76e5119280,pa,5.0,3035.0,white,black,ford-lincoln dealer program,57300,56900,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
35029,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb1e7375646,co,4.3,14695.0,red,black,western financial & leasing inc,12600,12300,Wed Dec 17 2014 11:45:00 GMT-0800 (PST)
35030,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb1e7337800,tx,4.6,21571.0,red,black,texas auto brokers,13350,14000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
35031,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9148731,ga,3.2,17219.0,gray,black,bank of america,21400,19600,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
35032,2014,Chevrolet,Equinox,LS,SUV,automatic,2gnalaek6e6357457,nc,4.9,4755.0,silver,black,santander consumer,17300,17400,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
35033,2014,Chevrolet,Camaro,SS,Coupe,automatic,2g1fk1ej4e9121485,va,3.42451221808463,17694.0,black,gray,avis rac system/pv holding corp,25000,30200,Thu Dec 18 2014 11:50:00 GMT-0800 (PST)
35034,2014,Chevrolet,Camaro,SS,Coupe,manual,2g1fs1ew6e9257550,pa,3.42451221808463,6687.0,red,—,hillside trading llc,27100,26500,Fri Dec 19 2014 09:15:00 GMT-0800 (PST)
35035,2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5shxe7117782,az,2.8,21199.0,red,gray,first investors servicing corp,11300,9300,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
35036,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb5e7295167,tx,4.0,12292.0,black,red,enterprise vehicle exchange/hapeville,12800,6500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
35037,2014,Chevrolet,Equinox,LT,SUV,automatic,1gnflfek3ez110789,ga,4.9,23056.0,red,black,j m wholesale,20000,20200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
35038,2014,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek4es621908,nv,4.1,21046.0,silver,gray,enterprise veh exchange/rental,17250,16700,Fri Jan 09 2015 12:00:00 GMT-0800 (PST)
35039,2014,Chevrolet,Corvette Stingray,Base,Convertible,automatic,1g1yd3d76e5123191,pa,3.42451221808463,1438.0,white,—,adcock brothers inc,59000,58000,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
35040,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb9e7231529,sc,4.8,24582.0,white,—,dab auto world & leasing,13500,12300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
35041,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb3e7114597,az,3.6,32685.0,white,gray,avis corporation,11700,12000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
35042,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7119332,fl,3.9,39454.0,charcoal,black,avis corporation,13350,13500,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
35043,2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5sh2e7175563,az,3.4,7922.0,gold,gray,"jpmorgan chase bank,n.a.",12050,11600,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
35044,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb2e7121504,az,3.6,35784.0,silver,black,avis corporation,13450,13600,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
35045,2014,Chevrolet,Corvette Stingray,Base,Coupe,automatic,1g1yd2d76e5000517,mi,5.0,5269.0,blue,brown,remarketing by ge/michigan schools & govt cu,49200,51500,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
35046,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb9e7112353,nc,3.9,41509.0,silver,black,avis corporation,11550,11200,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
35047,2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5sh3e7306385,in,4.8,14302.0,black,gray,gm financial,11650,11700,Thu Dec 18 2014 10:10:00 GMT-0800 (PST)
35048,2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sbxe7407918,sc,1.0,11446.0,red,—,enterprise vehicle exchange / tra / rental / tulsa,15150,11100,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
35049,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb6e7273520,tx,3.7,23706.0,red,black,texas auto brokers,12350,13000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
35050,2014,Chevrolet,Cruze,LS,Sedan,manual,1g1pb5sg5e7194368,pa,2.5,7121.0,green,gray,gm financial leasing,12300,10800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
35051,2014,Chevrolet,Equinox,LS,SUV,automatic,2gnalaek3e6220069,nc,1.0,19708.0,white,black,ge fleet services for itself/servicer,16200,3900,Tue Dec 30 2014 08:30:00 GMT-0800 (PST)
35052,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb7e7112643,mn,3.5,40276.0,red,black,avis corporation,11600,11600,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
