num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
35999,2012,Ford,F-350 Super Duty,XLT,Crew Cab,automatic,1ft8w3dt3ceb35097,ut,2.7,108229.0,red,gray,excell auto center,26400,24900,Wed Jan 07 2015 11:30:00 GMT-0800 (PST)
36000,2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbss3bl6cdb12749,ca,3.7,54429.0,white,gray,"ford motor credit company,llc",16250,14500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36001,2012,Ford,F-350 Super Duty,XLT,Crew Cab,automatic,1ft8w3dt2ceb40369,nv,2.8,35619.0,white,gray,stream llc dba stream remarketing solutions,34700,32750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
36002,2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbss3bl1cdb25134,ut,2.2,156656.0,white,gray,alamo leasing co,13100,6700,Wed Jan 28 2015 03:30:00 GMT-0800 (PST)
36003,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7cba70793,ca,4.2,44697.0,white,blue,"ford motor credit company,llc pd",18400,19500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36004,2012,Ford,E-Series Van,E-150,E-Series Van,automatic,1ftne1ew7cdb36455,tx,3.9,42361.0,white,gray,ge fleet services for itself/servicer,16400,14700,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
36005,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d77cka06049,mi,4.9,43762.0,blue,black,"ford motor credit company,llc",13350,14300,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
36006,2012,Ford,Edge,SE,SUV,automatic,2fmdk3gc2cba22707,tx,3.5,28104.0,—,black,"ford motor credit company,llc",15800,15100,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
36007,2012,Ford,E-Series Van,E-350 Super Duty,E-Series Van,automatic,1ftse3el2cda38129,fl,3.42451221808463,53888.0,white,gray,k d kelley auto sales,12850,15600,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
36008,2012,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew5cda45254,pa,1.9,44093.0,white,gray,"wheels of fortune auto, inc",14750,12500,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
36009,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d73cka56687,tn,2.0,110266.0,—,black,"ford motor credit company,llc",8050,5000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
36010,2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e72ckc05475,mi,4.4,53487.0,blue,black,"ford motor credit company,llc",13600,12900,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
36011,2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbss3bl1cda29486,pa,2.7,43936.0,black,gray,ford-lincoln dealer program,17000,17500,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
36012,2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e73cka74251,nc,1.9,39689.0,red,—,regional acceptance corporation / greenville,15750,9800,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
36013,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d74cka44550,oh,2.8,65144.0,gray,gray,flexco fleet services,10900,9800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
36014,2012,Ford,Escape,XLS,SUV,automatic,1fmcu0c72ckc20013,ny,3.4,81547.0,black,gray,ge fleet services for itself/servicer,9000,8000,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
36015,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3j94cba22480,mi,3.42451221808463,5858.0,silver,tan,crest ford inc,23300,19500,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
36016,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jcxcba60212,ca,4.3,41530.0,gray,black,"ford motor credit company,llc pd",18700,19500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36017,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d78cka21563,mi,2.9,48640.0,silver,black,"ford motor credit company,llc",12450,10900,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
36018,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc9cba08411,ca,3.8,51869.0,black,black,"ford motor credit company,llc pd",17700,17500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36019,2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e79ckb41161,mi,4.7,24357.0,white,black,"ford motor credit company,llc",16700,17000,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
36020,2012,Ford,Edge,SE,SUV,automatic,2fmdk3gc0cba37660,ca,2.9,36414.0,brown,black,"ford motor credit company,llc pd",15400,13200,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36021,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3j92cba82189,ca,4.5,44883.0,silver,beige,"ford motor credit company,llc pd",18550,19900,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36022,2012,Ford,Edge,SEL,SUV,automatic,2fmdk4jc6cba67731,il,4.1,21947.0,black,black,"ford motor credit company,llc",22000,23400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
36023,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d7xcka07261,mo,4.8,29691.0,gray,gray,"ford motor credit company,llc",14250,15400,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
36024,2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbne3bl6cda91308,mi,1.9,23434.0,white,gray,ford motor credit company,15750,10000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
36025,2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbne3bl3cdb31540,pa,3.0,56821.0,silver,gray,union leasing exchange llc,13950,12000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
36026,2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbne3bl9cda79265,pa,3.0,53661.0,silver,gray,union leasing exchange llc,14000,14400,Tue Jan 13 2015 01:30:00 GMT-0800 (PST)
36027,2012,Ford,Escape,Limited,SUV,automatic,1fmcu0eg4ckc16168,tx,4.5,46763.0,—,gray,"ford motor credit company,llc",15300,15800,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
36028,2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e76ckb12135,ca,4.5,53017.0,black,black,"ford motor credit company,llc pd",14000,16700,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
36029,2012,Ford,F-350 Super Duty,King Ranch,Crew Cab,automatic,1ft8w3bt2ceb33618,tx,4.1,59229.0,white,brown,shamaley ford,39500,37250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
36030,2012,Ford,Edge,SE Fleet,SUV,automatic,2fmdk4gc2cba93928,pa,3.6,95756.0,black,black,ge fleet services for itself/servicer,12100,12800,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
36031,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc1cba46134,ca,4.4,48382.0,white,beige,"ford motor credit company,llc pd",18050,17600,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
