num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
37999,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb4cf882497,tx,3.6,34062.0,black,black,mercedes-benz financial services,23100,22000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
38000,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug1c1590821,tx,2.6,48966.0,green,black,the hertz corporation,9075,7800,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
38001,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c51ct263832,tx,3.8,27044.0,blue,black,avis corporation,13750,13000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
38002,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb5cf770761,pa,3.42451221808463,32087.0,black,black,mercedes-benz financial services,23300,21000,Fri Dec 19 2014 08:31:00 GMT-0800 (PST)
38003,2012,Lincoln,Navigator,Base,SUV,automatic,5lmjj2j53cel03877,tx,3.42451221808463,51824.0,gray,black,seth wadley ford lincoln mercury,29400,30000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
38004,2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh2c5m37328,nc,2.7,58189.0,blue,black,dt credit corporation,9375,9500,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
38005,2012,Mazda,CX-9,Touring,SUV,automatic,jm3tb3cv5c0333659,pa,2.3,33016.0,gray,black,"jpmorgan chase bank,n.a.",20800,18600,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38006,2012,Mazda,CX-9,Grand Touring,SUV,automatic,jm3tb2da1c0353493,fl,3.42451221808463,20756.0,red,gray,ford of ocala,23500,24400,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
38007,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c59ct540730,pa,3.1,39841.0,red,black,avis corporation,12450,10800,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
38008,2012,Mazda,Mazda5,Grand Touring,Minivan,automatic,jm1cw2dl3c0116325,pa,2.7,13082.0,black,black,"jpmorgan chase bank,n.a.",15800,14800,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38009,2012,Lincoln,Navigator,Base,SUV,automatic,5lmjj2j56cel01296,mi,4.5,48179.0,black,black,"ford motor credit company,llc",29800,31300,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
38010,2012,MINI,Cooper Clubman,Base,Hatchback,manual,wmwzf3c51ct268120,az,4.7,33726.0,white,black,earnhardt,12800,13700,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
38011,2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh9c5m23815,pa,3.9,41190.0,white,beige,"jpmorgan chase bank,n.a.",10950,11400,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38012,2012,Mazda,6,s Touring Plus,Sedan,automatic,1yvhz8eb2c5m21964,la,3.6,74289.0,black,black,"jpmorgan chase bank,n.a.",10150,11200,Wed Jan 14 2015 03:00:00 GMT-0800 (PST)
38013,2012,MINI,Cooper Countryman,Base,Wagon,manual,wmwzb3c59cwm29520,fl,3.8,37252.0,silver,black,lauderdale bmw of fort lauderdale,16350,16000,Fri Jan 16 2015 01:35:00 GMT-0800 (PST)
38014,2012,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1v81c1574660,ny,3.9,21070.0,black,black,"fusion auto finance,llc",10800,11500,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
38015,2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh6c5m42659,il,2.0,44762.0,silver,black,santander consumer,10400,8900,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
38016,2012,Mazda,CX-9,Grand Touring,SUV,automatic,jm3tb3dv9c0334358,pa,3.3,41816.0,white,beige,"jpmorgan chase bank,n.a.",22300,22000,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38017,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gcxcr808992,mi,3.8,39087.0,blue,beige,"ford motor credit company,llc",14150,14100,Thu Dec 18 2014 09:00:00 GMT-0800 (PST)
38018,2012,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1ly2c0140985,az,1.9,62896.0,silver,black,"jpmorgan chase bank,n.a.",6825,5000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
38019,2012,Mazda,CX-9,Sport,SUV,automatic,jm3tb3bv1c0340514,pa,4.1,50113.0,black,black,bergen auto enterprises llc,13800,12500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38020,2012,Mazda,Mazda3,i Grand Touring,Sedan,automatic,jm1bl1w85c1615600,ny,3.7,36316.0,gray,tan,"fusion auto finance,llc",12750,13200,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
38021,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c5xct541126,tx,3.8,32198.0,green,black,avis corporation,13850,12900,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
38022,2012,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl6c0104169,ga,3.6,67988.0,red,beige,wells fargo dealer services,8425,7900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
38023,2012,Lincoln,Navigator,Base,SUV,automatic,5lmjj2h54cel07006,tx,5.0,40978.0,—,tan,"ford motor credit company,llc",27700,31800,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
38024,2012,Mazda,Mazda3,s Touring,Hatchback,automatic,jm1bl1l53c1521872,pr,3.9,30768.0,blue,black,scotiabank de puerto rico,12500,12000,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
38025,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1uf8c1521602,fl,2.8,62971.0,white,black,mazda of wesley chapel,8075,8900,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
38026,2012,MINI,Cooper Countryman,S ALL4,Wagon,automatic,wmwzc5c54cwl56985,pa,3.3,25000.0,blue,black,bmw mini financial services,20500,18500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
38027,2012,MINI,Cooper Clubman,S,Hatchback,manual,wmwzg3c5xcty31470,tx,4.2,31871.0,red,black,capital eurocars inc,17000,15000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
38028,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1uf6c1521730,fl,3.9,34088.0,gray,black,"jpmorgan chase bank,n.a.",9825,9800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
38029,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug1c1552358,pa,1.9,37762.0,silver,black,"jpmorgan chase bank,n.a.",9475,8400,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38030,2012,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl8c0100303,pr,3.0,48159.0,gray,black,oriental bank,9475,11000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
38031,2012,Mazda,Mazdaspeed3,Touring,Hatchback,manual,jm1bl1l43c1519742,pa,2.9,49287.0,gray,black,"fusion auto finance,llc",14450,13700,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
38032,2012,Mazda,Mazdaspeed 3,Touring,Hatchback,manual,jm1bl1l30c1652370,fl,4.6,36349.0,black,black,rob lambdin's university dodge,14950,15400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
