num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
42999,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g56bnn28751,nv,3.4,45888.0,black,tan,financial services remarketing (lease),18950,17500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43000,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g5xbnn81291,nv,3.5,40098.0,white,beige,financial services remarketing (lease),19650,19500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43001,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g53bnn81410,nv,4.3,31753.0,white,black,financial services remarketing (lease),20700,21000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43002,2011,BMW,3 Series,335i xDrive,Coupe,automatic,wbakf9c56be620227,nv,3.4,42360.0,black,black,financial services remarketing (lease),23800,22500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43003,2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c58ba801972,fl,4.4,25447.0,white,black,fields bmw,21100,21000,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
43004,2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c53be681393,fl,3.5,60966.0,blue,beige,tdaf remarketing,16200,16200,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
43005,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g55bnm75698,nv,4.3,17771.0,blue,beige,financial services remarketing (lease),22200,22500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43006,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c58ba443826,nv,3.9,19403.0,gray,black,financial services remarketing (lease),22000,22000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43007,2011,BMW,3 Series,335i,Convertible,automatic,wbadx7c5xbe261295,fl,4.2,46834.0,blue,gray,american bank auto liquidators,25800,25600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
43008,2011,BMW,3 Series,335i,Convertible,automatic,wbadx7c55be581303,fl,4.1,27710.0,black,brown,summer enterprises of miami inc,28500,29700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
43009,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c51ba445305,nv,4.1,34738.0,black,tan,financial services remarketing - stock in,19900,20500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43010,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c5xbf126814,pa,3.42451221808463,38763.0,gray,—,falcon autohaus inc,19550,21250,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
43011,2011,BMW,5 Series,528i,Sedan,automatic,wbafr1c58bds36837,nv,4.2,48397.0,gray,black,financial services remarketing - stock in,24500,25500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43012,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk7c59ba975213,nv,4.4,27036.0,red,beige,financial services remarketing - pickup,21200,22250,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43013,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g59bnm84520,nv,4.3,28381.0,blue,black,financial services remarketing (lease),19800,20000,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
43014,2011,BMW,3 Series,335i xDrive,Sedan,automatic,wbapl5c57ba742285,md,2.5,58314.0,red,black,amber auto,20900,18200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
43015,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c53bf123768,nv,4.2,30718.0,blue,black,financial services remarketing (lease),20200,20250,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
43016,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g51bnn28172,nv,3.8,38976.0,black,black,financial services remarketing (lease),19800,20500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43017,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk7c54bf195901,nv,3.9,32623.0,black,black,financial services remarketing - pickup,20600,19500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43018,2011,BMW,3 Series,335i xDrive,Coupe,automatic,wbakf9c58be261849,nv,4.1,37331.0,gray,black,financial services remarketing (lease),24500,25000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43019,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g50bnm79951,nv,4.2,24674.0,white,beige,financial services remarketing - pickup,21300,21500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43020,2011,BMW,3 Series,328i,Convertible,automatic,wbadw7c52be728132,nv,3.0,27634.0,blue,beige,financial services remarketing - pickup,26400,24900,Wed Dec 31 2014 00:00:00 GMT-0800 (PST)
43021,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g57bnn30265,nv,4.2,33403.0,white,beige,financial services remarketing - pickup,20500,21000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43022,2011,BMW,3 Series,335i,Sedan,automatic,wbapm5g54bnn00781,ca,3.6,18179.0,gray,black,nova auto sales inc,25300,25250,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
43023,2011,BMW,3 Series,335i xDrive,Coupe,automatic,wbakf9c52be620306,nv,4.2,49730.0,red,beige,financial services remarketing (lease),22800,22500,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
43024,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g51bnm84379,nv,5.0,49227.0,white,beige,financial services remarketing - pickup,17400,18500,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
43025,2011,BMW,3 Series,335i xDrive,Sedan,automatic,wbapl5g5xbnn23906,nv,4.2,29943.0,black,black,financial services remarketing (lease),24900,25000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43026,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g50bnm82641,nv,3.5,14249.0,gray,beige,financial services remarketing - pickup,20500,19500,Thu Feb 19 2015 14:00:00 GMT-0800 (PST)
43027,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g50bnn80974,nv,4.3,24145.0,gray,black,financial services remarketing (lease),21600,20750,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43028,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g52bnn27421,nv,4.1,33919.0,white,tan,financial services remarketing (lease),19900,20000,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
43029,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g5xbnn31720,nv,3.5,24189.0,white,black,financial services remarketing (lease),21600,20500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43030,2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g59bnm82749,nv,4.5,24573.0,gray,gray,financial services remarketing - pickup,21300,22500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43031,2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c51be677309,fl,3.6,50103.0,black,beige,tdaf remarketing,17850,18600,Tue Dec 30 2014 09:00:00 GMT-0800 (PST)
43032,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk7c57bf087255,nv,3.1,39065.0,blue,black,financial services remarketing - pickup,19800,18750,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43033,2011,BMW,3 Series,335i xDrive,Sedan,automatic,wbapl5g56bnn22915,nv,4.4,30670.0,black,beige,financial services remarketing - pickup,23800,23500,Thu Jan 22 2015 06:30:00 GMT-0800 (PST)
43034,2011,Cadillac,Escalade ESV,Premium,SUV,automatic,1gys4jef1br368244,nv,3.9,79431.0,black,black,las vegas motorcars llc,30200,31500,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
43035,2011,Cadillac,Escalade ESV,Premium,SUV,automatic,1gys4jef9br176716,ca,2.9,49846.0,off-white,tan,high bid trading co inc,35200,36500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
43036,2011,BMW,5 Series,535i,Sedan,automatic,wbafr7c52bc804038,ca,3.42451221808463,57803.0,black,—,l m auto wholesale,25800,24500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
43037,2011,BMW,M3,Base,Sedan,manual,wbspm9c58be202498,nv,3.8,50180.0,—,black,financial services remarketing (lease),36700,35700,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43038,2011,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c57bl661151,nv,3.7,60340.0,gray,black,financial services remarketing - pickup,27400,29000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43039,2011,Cadillac,CTS,Luxury,Sedan,automatic,1g6dg5ey5b0143329,oh,3.9,32948.0,beige,tan,whitewater motors inc,17600,17400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
43040,2011,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c57bdu56178,nv,3.5,40622.0,black,black,financial services remarketing (lease),28100,33500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43041,2011,BMW,X6,xDrive50i,SUV,automatic,5uxfg8c58blz96448,fl,4.2,52630.0,white,tan,lauderdale imports ltd bmw pembrok pines,35900,36900,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
43042,2011,Cadillac,Escalade,Luxury,SUV,automatic,1gys4bef7br101597,tx,3.42451221808463,69662.0,black,tan,sewell cadillac-hummer,32400,30600,Fri Dec 19 2014 11:00:00 GMT-0800 (PST)
43043,2011,BMW,5 Series Gran Turismo,550i xDrive,Hatchback,automatic,wbasp4c52bc341661,nv,3.9,45062.0,green,black,financial services remarketing (lease),29100,28300,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
43044,2011,Buick,LaCrosse,CX,Sedan,automatic,1g4ga5ed4bf222671,pa,4.2,23230.0,white,beige,fiserv/usb dealer services northstar exchange,12650,13100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
