num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
43999,2010,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ab5f59a7237358,az,2.4,82818.0,red,beige,gm financial,3950,3500,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
44000,2010,Buick,Enclave,CXL1,SUV,automatic,5galrbed9aj149661,tx,4.1,78746.0,white,tan,urban motorcars lp,15050,16250,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
44001,2010,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcrkte3xag256455,oh,2.9,69859.0,gray,gray,chevrolet of dublin,23300,22500,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
44002,2010,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcskse35az100318,nv,3.7,27427.0,blue,black,unique autos,22300,21200,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
44003,2010,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ab5f51a7120731,in,3.7,93887.0,black,gray,santander consumer,3600,4700,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
44004,2010,Buick,LaCrosse,CXL,Sedan,automatic,1g4gc5egxaf127907,mo,3.5,32565.0,white,tan,ford-lincoln dealer program,14100,14400,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
44005,2010,Cadillac,CTS,Performance,Sedan,automatic,1g6dl5ev4a0111147,fl,3.2,95607.0,white,black,remarketing by ge/penair fcu,10150,9900,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
44006,2010,MINI,Cooper,S,Hatchback,automatic,wmwmf7c51atz73529,ca,3.4,62332.0,gray,beige,remarketing by ge/manheim california,10750,8900,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
44007,2010,BMW,5 Series,535i,Sedan,automatic,wbanw1c56ac166635,nv,2.9,70851.0,white,beige,"jpmorgan chase bank,n.a.",16350,16400,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
44008,2010,Buick,LaCrosse,CXL,Sedan,automatic,1g4gc5eg5af178506,ca,3.2,99495.0,white,beige,remarketing by ge/manheim southern california,9400,9200,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
44009,2010,Cadillac,SRX,Premium,SUV,automatic,3gyfncey3as590369,fl,4.3,62639.0,black,tan,woodall auto wholesale inc,19750,22000,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
44010,2010,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,1gcpcpex6az169876,tx,2.5,59078.0,gray,black,santander consumer,11250,12000,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
44011,2010,Cadillac,Escalade,Premium,SUV,automatic,1gyukcef7ar272062,co,3.6,67471.0,gray,black,the auto connection,30500,32300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
44012,2010,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcrcsea8ag209897,tn,3.8,136880.0,white,gray,lease plan usa,12300,11700,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
44013,2010,Chevrolet,Aveo,LS,Sedan,automatic,kl1td5de6ab087548,pa,2.7,68622.0,yellow,black,carl h and ruth auto sales inc,4950,4800,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
44014,2010,BMW,X3,xDrive30i,SUV,automatic,wbxpc9c44awj36013,fl,4.4,46474.0,white,brown,woodall auto wholesale inc,19400,22300,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
44015,2010,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcrkse35ag126111,nc,4.1,123027.0,blue,black,medlin buick gmc mazda,17000,19300,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
44016,2010,Chevrolet,Aveo,1LT,Sedan,automatic,kl1td5de5ab080218,tn,4.1,85899.0,silver,black,santander consumer,4375,4200,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
44017,2010,Chevrolet,Camaro,2LT,Coupe,automatic,2g1fc1ev4a9202643,ca,2.7,45514.0,red,black,sun community fcu,15550,15000,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
44018,2010,Chevrolet,Camaro,1LT,Coupe,automatic,2g1fb1ev0a9201959,tn,1.9,84032.0,silver,black,gm financial,13100,13000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
44019,2010,Chevrolet,Cobalt,LT,Sedan,automatic,1g1ad5f58a7169838,nc,3.8,62422.0,red,black,medlin buick gmc mazda,5850,6100,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
44020,2010,Chevrolet,Silverado 1500,LT,Regular Cab,automatic,1gcpkse07az169815,nc,4.9,49618.0,blue,blue,medlin buick gmc mazda,18400,19300,Tue Dec 30 2014 09:15:00 GMT-0800 (PST)
44021,2010,Chevrolet,Silverado 2500HD,Work Truck,Extended Cab,automatic,1gc5kvbg4az253262,fl,3.0,116229.0,white,gray,eide hyundai,11850,14700,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
44022,2010,Buick,Enclave,CXL1,SUV,automatic,5galvbed4aj116904,ne,3.7,74585.0,silver,black,acura of johnston,15800,17000,Wed Dec 31 2014 11:00:00 GMT-0800 (PST)
44023,2010,Chevrolet,Cobalt,LT,Sedan,automatic,1g1ad5f57a7159091,tx,3.6,71329.0,silver,gray,santander consumer,5525,2800,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
44024,2010,Chevrolet,Equinox,LS,SUV,automatic,2cnflcew9a6405455,va,2.9,73995.0,gray,gray,gm financial,9225,10500,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
44025,2010,chevrolet,g3500,cutaway,Sedan,automatic,1gb3g2ba7a1137317,co,3.0,57534.0,white,gray,automotive solutions inc,9800,14600,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
44026,2010,chrysler,town,& country lx,Sedan,automatic,2a4rr4dexar293594,oh,2.9,32911.0,silver,gray,us bank,9050,11000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
44027,2010,Chevrolet,HHR,LS,Wagon,automatic,3gnbaadb7as509768,md,1.9,101751.0,silver,black,exeter finance corp,4925,2300,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44028,2010,Chevrolet,Express Cargo,1500,Van,automatic,1gcugadx2a1177011,tx,3.7,80621.0,white,gray,leasing associates inc,9725,9100,Tue Dec 30 2014 10:30:00 GMT-0800 (PST)
44029,2010,Chrysler,Sebring,Limited,Sedan,automatic,1c3cc5fv6an148974,ga,2.6,135517.0,white,black,ge fleet services for itself/servicer,4025,3600,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
44030,2010,Chrysler,300,Touring,Sedan,automatic,2c3ca5cv3ah133884,mi,2.9,77980.0,red,black,chrysler capital,8800,7100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44031,2010,Chevrolet,Impala,LS,Sedan,automatic,2g1wa5ek4a1253075,tx,3.1,92548.0,silver,black,exeter finance corp,6500,7400,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
44032,2010,Chrysler,Town and Country,Limited Fleet,Minivan,automatic,2a4rr6dx0ar193338,sc,3.1,62715.0,white,gray,select auto sales,15850,15200,Wed Jan 01 2014 10:00:00 GMT-0800 (PST)
44033,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5en6a1128523,va,3.2,85576.0,red,black,gm financial,6550,7900,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
44034,2010,Chevrolet,Colorado,Work Truck,Regular Cab,automatic,1gccsbd93a8103864,va,1.9,125892.0,white,black,ari,3550,4600,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
44035,2010,Chevrolet,Equinox,LS,SUV,automatic,2cnalbew0a6316734,in,2.9,101469.0,gray,gray,santander consumer,9025,7000,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
44036,2010,Chevrolet,HHR,LS,Wagon,automatic,3gnbaadb1as595644,nc,2.3,65058.0,blue,gray,pleasant motors,5925,6500,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44037,2010,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e03af186662,fl,3.9,92730.0,silver,black,santander consumer,6950,7600,Tue Dec 23 2014 12:10:00 GMT-0800 (PST)
44038,2010,Chevrolet,HHR,LT,Wagon,automatic,3gnbabdb3as622767,ca,3.5,116505.0,silver,gray,buyers auto sales,4150,4600,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
44039,2010,Chevrolet,Traverse,LT2,SUV,automatic,1gnlvged5aj238626,tx,4.1,64245.0,red,gray,winter motor company inc,15300,16700,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
44040,2010,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zc5e03a4123900,tx,2.8,107606.0,white,gray,exeter finance corp,6350,4300,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
44041,2010,Chevrolet,Tahoe,LT,SUV,automatic,1gnukbe09ar210715,ma,2.0,120872.0,black,black,bmw gallery,16100,14500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
44042,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5ek8a1133910,nv,2.2,69783.0,gray,gray,remarketing by ge/flagship credit acceptance,7325,7000,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
44043,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5ek6a1238347,ga,3.5,75829.0,black,gray,ge fleet services for itself/servicer,6875,7900,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
44044,2010,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldew0a6209467,oh,3.8,87688.0,gray,gray,us bank,10250,10600,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
44045,2010,Chevrolet,Express Cargo,2500,Van,automatic,1gczgfbaxa1164394,ca,3.6,131252.0,white,gray,ge fleet services for itself/servicer,8475,8500,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
44046,2010,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnukce06ar284969,mo,4.9,82837.0,black,gray,green chev buick pont inc,27600,26500,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
44047,2010,Chevrolet,Impala,LS,Sedan,automatic,2g1wa5ek9a1114057,tx,1.0,89470.0,black,—,clay cooley motor co,6350,1000,Tue Dec 30 2014 11:00:00 GMT-0800 (PST)
44048,2010,Chevrolet,Equinox,LT1,SUV,automatic,2cnfleewxa6275021,fl,4.8,188184.0,black,black,westfall auto sales,5600,7900,Tue Jan 06 2015 16:00:00 GMT-0800 (PST)
44049,2010,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnukce03ar111720,pa,3.6,65246.0,black,black,royal coast auto inc,29100,29700,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
44050,2010,Chrysler,Town and Country,LX,Minivan,automatic,2a4rr2d14ar414685,fl,2.6,29540.0,red,gray,remktgedge/td bank,9200,6400,Tue Dec 30 2014 09:00:00 GMT-0800 (PST)
44051,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5en4a1180863,tn,3.7,89289.0,red,black,dt credit corporation,6175,7600,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
44052,2010,Chevrolet,Traverse,LT1,SUV,automatic,1gnlvfed2as105570,md,3.3,115268.0,blue,gray,wells fargo dealer services,10200,9100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44053,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5en3a1190459,nv,2.6,57478.0,black,gray,"jpmorgan chase bank,n.a.",7825,7300,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
44054,2010,Chevrolet,Equinox,LT2,SUV,automatic,2cnflnew6a6284623,fl,4.4,174728.0,gray,black,florida auto and truck exchange inc,5975,7940,Tue Jan 20 2015 08:00:00 GMT-0800 (PST)
44055,2010,Chevrolet,Malibu,Fleet,Sedan,automatic,1g1za5e02af184357,fl,2.8,98340.0,gray,—,ferco motors corp,7000,6500,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44056,2010,Chevrolet,Traverse,LT1,SUV,automatic,1gnlrfedxaj238233,mo,4.4,28818.0,burgundy,gray,gmt auto sales inc,14600,17200,Tue Jan 06 2015 03:00:00 GMT-0800 (PST)
44057,2010,Chrysler,300,Touring,Sedan,automatic,2c3ca5cv4ah195763,fl,3.1,119823.0,silver,black,remktgedge / cars / carfinance capital llc,5950,6600,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
44058,2010,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldew7a6392477,ca,3.6,94083.0,gray,black,tycon enterprises,9900,9400,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
44059,2010,Chevrolet,Equinox,LS,SUV,automatic,2cnalbew1a6390826,ca,3.1,97444.0,silver,beige,ge fleet services for itself/servicer,8150,8500,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
44060,2010,Chevrolet,HHR,LS,Wagon,automatic,3gnbaadb6as515447,co,2.9,72360.0,white,gray,ari,5725,4300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
44061,2010,Chrysler,300,Touring,Sedan,automatic,2c3ca5cv1ah307046,oh,3.7,78574.0,silver,black,bobb automotive inc,8800,8700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
44062,2010,chevrolet,malibu,4c ls w/1fl,Sedan,automatic,1g1za5eb9a4123889,ca,2.4,86579.0,gray,gray,sun community fcu,7275,6100,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
44063,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5ek9a1198796,wi,1.9,93132.0,gray,gray,gm financial,6200,5700,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
44064,2010,Chevrolet,malibu,ls,sedan,automatic,1g1zb5eb6af219478,mi,4.0,55772.0,brown,brown,remarketing by ge/michigan schools & govt cu,8625,8000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44065,2010,Chevrolet,Cobalt,LT,Sedan,automatic,1g1ad5f53a7158214,tn,3.6,82318.0,black,gray,exeter finance corp,5150,4500,Tue Dec 30 2014 10:30:00 GMT-0800 (PST)
44066,2010,Chrysler,Sebring,Touring,Convertible,automatic,1c3bc5ed2an159880,nc,4.4,84835.0,gold,black,medlin buick gmc mazda,5925,7300,Tue Jan 06 2015 01:15:00 GMT-0800 (PST)
44067,2010,Chrysler,Sebring,Limited,Sedan,automatic,1c3cc5fb7an138248,tx,2.7,65619.0,silver,black,hopper motorplex inc,6900,8000,Wed Dec 31 2014 10:15:00 GMT-0800 (PST)
44068,2010,chevrolet,impala,Base,Sedan,automatic,2g1wd5em7a1256996,ca,3.5,99045.0,white,gray,lease remarketing services inc,3450,5500,Tue Dec 30 2014 16:00:00 GMT-0800 (PST)
44069,2010,Chrysler,300,Touring,Sedan,automatic,2c3ca5cv0ah180466,tx,3.7,71483.0,black,black,exeter finance corp,9225,9500,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
44070,2010,Chevrolet,Equinox,LT1,SUV,automatic,2cnaldew8a6237629,oh,4.1,38847.0,gray,black,mentor mitsubishi,12800,13250,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
44071,2010,Chevrolet,Equinox,LT2,SUV,automatic,2cnalpew6a6277113,fl,3.9,150652.0,red,black,lendmark financial services/pensacola,6825,7100,Tue Dec 23 2014 11:35:00 GMT-0800 (PST)
44072,2010,Chevrolet,Malibu,LT2,Sedan,automatic,1g1zd5e75af136923,ca,3.4,134036.0,white,tan,corona auto wholesale inc,4975,5900,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
