num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
44999,2009,Mercury,Mariner,Premier ,SUV,automatic,4m2cu87g79kj02085,fl,3.7,26098.0,red,tan,capital one auto finance,12000,10600,Tue Dec 30 2014 12:10:00 GMT-0800 (PST)
45000,2009,Mercedes-Benz,CLS-Class,CLS550,Sedan,automatic,wdddj72x89a142532,ca,2.9,93676.0,black,black,myrddin fleet services,19200,18700,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
45001,2009,MINI,Cooper Clubman,S,Hatchback,automatic,wmwmm33549tp91172,tx,3.4,52891.0,blue,black,santander consumer,10500,11100,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
45002,2009,Nissan,Altima,3.5 SE,Coupe,automatic,1n4bl24ex9c138759,tn,3.3,136183.0,white,tan,nissan motor acceptance corporation,6200,7200,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
45003,2009,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb86e99a499663,pa,4.2,71828.0,gray,tan,alans autos,19050,17800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
45004,2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f49e011611,fl,3.9,107796.0,white,gray,santander consumer,4325,4700,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
45005,2009,Mercedes-Benz,M-Class,ML320 BlueTEC,SUV,automatic,4jgbb25e09a471958,fl,4.5,110247.0,white,beige,tdaf remarketing,15100,16600,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
45006,2009,Nissan,Altima,2.5 S,Coupe,automatic,1n4al24e99c188144,mo,3.7,52643.0,silver,black,plaza motor company,9725,9400,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
45007,2009,Mazda,Mazdaspeed Mazda3,Grand Touring,Hatchback,manual,jm1bk34m991194441,ma,1.9,75278.0,white,black,metro chrysler jeep dodge,10050,3500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
45008,2009,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf81x49f280853,on,3.6,37291.0,black,black,mercedes-benz,15950,16800,Tue Dec 30 2014 10:00:00 GMT-0800 (PST)
45009,2009,Nissan,Altima,2.5 S,Coupe,manual,1n4al24e89c151943,pa,3.0,93699.0,black,gray,faulkner nissan,7475,6000,Mon Jan 12 2015 12:00:00 GMT-0800 (PST)
