num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
47999,2004,Honda,Accord,EX,Sedan,automatic,1hgcm56664a008342,md,3.0,177762.0,white,tan,jim coleman honda,3675,3900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
48000,2004,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66534a069919,ga,1.9,159408.0,gray,gray,automobile acceptance corp,3975,3600,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
48001,2004,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35hx4a977120,nj,1.9,178138.0,silver,black,lester glenn buick,850,1000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
48002,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48s94c196316,tx,2.9,125634.0,red,gray,automotive leasing specialist,3550,2800,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
48003,2004,Kia,Sorento,EX,SUV,automatic,kndjc733845321819,co,2.1,120480.0,blue,gray,dt credit corporation,2825,3900,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
48004,2004,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc13dx4u586527,fl,1.9,158007.0,black,beige,courtesy kia of brandon,2225,2200,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
48005,2004,Kia,Amanti,Base,Sedan,automatic,knald124045015627,ab,2.0,190829.0,black,black,go auto outlet west,1275,800,Tue Dec 23 2014 15:30:00 GMT-0800 (PST)
48006,2004,Kia,Spectra,GS,Hatchback,automatic,knafb161145137707,tx,1.0,76067.0,black,—,tiger financial management llc,900,800,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
48007,2004,Kia,Spectra,EX,Sedan,automatic,knafe122845051705,ca,2.3,115419.0,black,gray,aaero sweet company,1750,1300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
48008,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gk48k54w224402,fl,2.4,123665.0,blue,beige,autonation chrysler dodge jeep ram pembroke pine,3675,1400,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
48009,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48n94c190514,co,2.7,139925.0,silver,beige,dt credit corporation,3250,1700,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
48010,2004,Kia,Sorento,LX,SUV,automatic,kndjc733345198639,wi,1.9,123684.0,silver,gray,blackhawk finance,2625,1000,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
48011,2004,Jaguar,X-Type,3.0,Sedan,automatic,sajea51c24wd84119,ga,1.9,121775.0,black,black,tdaf remarketing,2875,1500,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
48012,2004,Jeep,Grand Cherokee,Limited,SUV,automatic,1j8gw58n34c410203,wi,2.6,130354.0,silver,gray,braeger chevrolet,3775,3350,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
48013,2004,Kia,Amanti,Base,Sedan,automatic,knald124x45017983,oh,1.0,1.0,black,black,car now acceptance co/columbus,4150,550,Wed Dec 31 2014 09:00:00 GMT-0800 (PST)
48014,2004,Hyundai,XG350,L,Sedan,automatic,kmhfu45ex4a287742,wi,1.9,136164.0,black,black,par north america,1475,1400,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
48015,2004,Jeep,Grand Cherokee,Limited,SUV,automatic,1j4gx58n54c158405,ca,3.1,102747.0,silver,gray,bob baker jeep,4325,4900,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
