num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
48999,2000,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcek19txye267051,ca,2.7,109841.0,burgundy,tan,wholesale enterprise inc,4400,5650,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
49000,2001,Volvo,V70,XC,Wagon,automatic,yv1sz58d011023979,nj,1.9,121865.0,silver,beige,r l m b inc,2025,1800,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
49001,2000,Cadillac,Seville,STS,Sedan,automatic,1g6ky5494yu206937,fl,2.0,62315.0,gray,black,d&a fine cars,1775,2900,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
49002,2000,Chevrolet,Cavalier,Base,Coupe,automatic,1g1jc1240y7146153,ca,3.0,107282.0,white,gray,charitable auto resource,800,400,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
49003,2001,Volvo,S80,2.9,Sedan,automatic,yv1ts94d711192113,wi,1.9,174759.0,silver,gray,patrick cadillac,875,1950,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
49004,2001,Volvo,S60,2.4,Sedan,automatic,yv1rs61r012074505,nc,3.1,161831.0,silver,beige,crossroads nissan of wake forest,1225,1800,Mon Dec 29 2014 09:00:00 GMT-0800 (PST)
49005,2000,BMW,3 Series,328i,Sedan,manual,wbaam5344yej42030,pa,2.0,109428.0,silver,gray,bmw of manhattan inc,2725,1200,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
49006,2001,Volvo,S80,T6,Sedan,automatic,yv1ts90d611177317,fl,1.9,140274.0,silver,gray,autonation toyota pinellas park,1525,600,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
49007,2000,Cadillac,Escalade,Base,SUV,automatic,1gyek13r3yr150427,ga,2.7,192319.0,black,beige,automobile acceptance corp,1650,1500,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
49008,2000,BMW,3 Series,323i,Sedan,automatic,wbaam3346yca89897,ca,1.9,189887.0,white,tan,aaero sweet company,1350,1300,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
49009,2000,BMW,5 Series,528i,Sedan,automatic,wbadm6347ygu08003,oh,1.0,165973.0,gray,tan,integrity cycles llc,1375,400,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
49010,2000,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k8y4112942,ca,2.7,70880.0,blue,gray,jimmie johnson kearny mesa chevrolet,2375,1700,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
49011,2000,Cadillac,DeVille,DTS,Sedan,automatic,1g6kf5791yu356831,mi,2.1,148012.0,red,beige,credit acceptance corp/vrs/southfield,775,350,Tue Dec 23 2014 13:10:00 GMT-0800 (PST)
49012,2000,BMW,7 Series,740iL,Sedan,automatic,wbagh834xydp13381,md,1.9,104425.0,green,tan,greenwood remarketing,1900,1300,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
49013,2000,BMW,7 Series,740iL,Sedan,automatic,wbagh8347ydp14696,fl,3.2,201483.0,red,beige,lexus of palm beach,550,1500,Tue Dec 23 2014 12:15:00 GMT-0800 (PST)
49014,2000,Chevrolet,Blazer,LT,SUV,automatic,1gndt13w5y2237024,ga,1.9,153871.0,black,gray,rick hendrick buick gmc,1125,1600,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
49015,2000,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k7y4237611,nc,1.0,68323.19579679874,white,—,crossroads nissan of wake forest,1750,1250,Sun Jan 05 2014 08:32:00 GMT-0800 (PST)
49016,2000,BMW,3 Series,328Ci,Coupe,automatic,wbabm5344yjn93034,ca,2.5,257853.0,gray,black,lexus of stevens creek,1275,2000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
49017,2000,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k5y4124059,fl,3.1,22579.0,gold,beige,d&a fine cars,3050,3800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
