num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
49999,2014,Jeep,Compass,Limited,SUV,automatic,1c4njccb1ed683683,on,4.9,48050.0,white,tan,chrysler canada inc,15400,17750,Tue Dec 30 2014 10:00:00 GMT-0800 (PST)
50000,2014,Jeep,Compass,Limited,SUV,automatic,1c4njccb1ed617750,on,4.8,39045.0,black,tan,chrysler canada inc,16350,17000,Tue Dec 30 2014 10:00:00 GMT-0800 (PST)
50001,2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbbxed572718,ca,1.0,33208.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,15200,8900,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
50002,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njpba0ed589102,tn,4.2,22507.0,gray,black,chrysler capital,12650,12200,Tue Dec 30 2014 10:30:00 GMT-0800 (PST)
50003,2014,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4bjweg5el186462,tn,4.9,22676.0,—,gray,wyatt johnson automotive group inc,29100,29000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
50004,2014,Jeep,Cherokee,Trailhawk,SUV,automatic,1c4pjmbs8ew273404,co,4.8,14587.0,white,black,budget of omaha/ars,28800,28000,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
50005,2014,Jeep,Compass,Sport,SUV,automatic,1c4njcba1ed818198,tx,4.0,12564.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14750,10900,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
50006,2014,Jeep,Compass,Sport,SUV,automatic,1c4njcbaxed666244,tx,4.0,23837.0,white,black,exeter finance corp,13850,13100,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
50007,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg0ec131582,nj,3.8,26229.0,black,tan,chrysler capital,30700,31100,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
50008,2014,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjeag6ec150987,tx,4.5,24128.0,gray,black,music city autoplex llc,21600,24000,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
50009,2014,Ford,Altima,Base,Sedan,automatic,1c4njrab7ed615779,on,4.4,17729.0,red,black,fca canada inc,17100,15500,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
50010,2014,Jeep,Patriot,Latitude,SUV,automatic,1c4njpfa4ed864402,ga,4.2,27018.0,black,black,easy car leasing llc dba brac of birmingham,14350,14400,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
50011,2014,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjmcs0ew252612,co,4.2,21644.0,white,black,budget of omaha/ars,22700,22300,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
50012,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbgxec238185,nj,4.4,13030.0,gray,black,chrysler capital,33100,32500,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
50013,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njrbb1ed560714,co,4.0,36413.0,silver,black,automotive solutions inc,14250,14300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
50014,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njpba7ed772240,ca,2.0,17465.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,13100,7300,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
50015,2014,Jeep,Cherokee,Limited,SUV,automatic,1c4pjmds9ew210700,mi,4.9,4156.0,white,black,chrysler capital,28600,27900,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
50016,2014,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4bjweg5el160055,fl,5.0,14016.0,silver,black,american bank auto liquidators,30000,32200,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
50017,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njrbb7ed560720,co,4.7,34009.0,gray,black,automotive solutions inc,14450,14700,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
50018,2014,Jeep,Cherokee,Limited,SUV,automatic,1c4pjmds5ew284132,on,4.8,16765.0,silver,black,chrysler canada inc,30300,30000,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
50019,2014,Jeep,Patriot,Latitude,SUV,automatic,1c4njrfb9ed760086,co,4.7,15501.0,gray,beige,the auto connection,17200,17200,Wed Dec 31 2014 11:30:00 GMT-0800 (PST)
