num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
56999,2009,Kia,Sorento,LX,SUV,automatic,kndjc735895873149,nc,2.7,75114.0,white,gray,manheim new york,8100,6200,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
57000,2009,Honda,Pilot,EX-L,SUV,automatic,5fnyf38689b012696,nc,2.6,74238.0,gray,gray,gm financial,14950,15400,Tue Dec 30 2014 09:15:00 GMT-0800 (PST)
57001,2009,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf13419a305835,nv,3.2,125824.0,white,beige,las vegas motorcars llc,26800,20250,Fri Jan 09 2015 04:00:00 GMT-0800 (PST)
57002,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c19h506541,wi,1.9,154212.0,blue,beige,capital one auto finance,3575,1200,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
57003,2009,Ford,Altima,Base,Sedan,automatic,1j4gz39119l709737,il,1.9,163506.0,red,gray,wells fargo dealer services,12600,6300,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
57004,2009,Hyundai,Santa Fe,Limited,SUV,automatic,5nmsh73e09h294689,nj,3.5,68683.0,black,gray,all american ford/subaru,12850,11100,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
57005,2009,Kia,Rondo,LX,Wagon,automatic,knafg529097275870,ca,2.5,124020.0,silver,gray,gm financial,3975,3400,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
57006,2009,Honda,Civic,EX,Sedan,automatic,1hgfa16819l007613,md,2.9,163681.0,black,gray,wells fargo dealer services,5650,7400,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57007,2009,Honda,Accord,EX-L,Sedan,automatic,1hgcp26889a118596,ga,2.5,95766.0,black,black,prestige financial services,9750,10200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
57008,2009,Lexus,GS 350,Base,Sedan,automatic,jthbe96s090044762,ca,3.7,61411.0,gray,black,mckenna audi/mckenna bmw,20500,21500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
57009,2009,Kia,Rio,LX,Sedan,automatic,knade223096460997,fl,3.5,71686.0,red,gray,wells fargo dealer services,4475,3800,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57010,2009,Kia,Sedona,LX,Minivan,automatic,kndmb233296310514,fl,2.7,49376.0,white,beige,kia motors finance,6075,5500,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57011,2009,Kia,Rio,LX,Sedan,automatic,knade223596539081,ga,1.9,88091.0,orange,black,remarketing by ge/summit financial corp,3475,4000,Tue Jan 06 2015 05:10:00 GMT-0800 (PST)
57012,2009,Kia,Sedona,LX,Minivan,automatic,kndmb233596273698,nj,1.9,88606.0,blue,gray,wells fargo dealer services,4725,3900,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
57013,2009,Honda,CR-V,EX,SUV,automatic,5j6re38539l023840,fl,3.7,111505.0,blue,gray,firkins chrysler jeep dodge,11450,10400,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
57014,2009,Kia,Rio,SX,Sedan,manual,knade223396518620,fl,3.7,41287.0,black,black,remarketing by ge/manheim central florida,5575,5420,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
57015,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c19h536218,fl,1.9,98601.0,blue,gray,capital one auto finance,5325,5200,Tue Dec 30 2014 12:10:00 GMT-0800 (PST)
57016,2009,Kia,Spectra,LX,Sedan,automatic,knafe221095630921,mo,2.7,121517.0,white,gray,fifth third bank,2500,2700,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
57017,2009,Honda,CR-V,EX-L,SUV,automatic,5j6re38719l035681,fl,2.0,116215.0,black,black,autonation honda miami lakes,11850,11200,Tue Dec 30 2014 09:15:00 GMT-0800 (PST)
57018,2009,Hyundai,Sonata,SE V6,Sedan,automatic,5npeu46f09h525105,tx,2.0,120129.0,silver,gray,santander consumer,5900,5200,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
57019,2009,Hyundai,Sonata,Limited,Sedan,automatic,5npeu46cx9h474637,tx,1.0,101020.0,silver,gray,fiserv/crescent bank & trust,6825,2000,Tue Jan 06 2015 11:00:00 GMT-0800 (PST)
57020,2009,Kia,Optima,LX,Sedan,manual,knage228595365687,hi,2.6,40843.0,black,gray,remarketing by ge/flagship credit acceptance,7525,5900,Wed Jan 07 2015 06:30:00 GMT-0800 (PST)
57021,2009,Infiniti,G37,Base,Sedan,automatic,jnkcv61e79m308167,ga,2.9,71887.0,black,black,td auto finance,12700,12100,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
57022,2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c79h506611,fl,3.4,98829.0,silver,gray,mason avenue motors inc,4950,5900,Wed Jan 21 2015 07:00:00 GMT-0800 (PST)
57023,2009,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38779b409564,nv,3.4,82850.0,gold,beige,"ahfc/honda lease trust/hvt, inc.",12150,14100,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
57024,2009,Honda,Civic,LX,Sedan,automatic,19xfa16539e043767,nv,3.2,77085.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",6975,9000,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
57025,2009,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc46e39u027114,nc,4.2,71803.0,silver,black,medlin buick gmc mazda,11850,12300,Tue Dec 30 2014 09:15:00 GMT-0800 (PST)
57026,2009,Kia,Rio,LX,Sedan,automatic,knade223796524193,ca,2.3,115844.0,gold,beige,santander consumer,2750,1700,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
57027,2009,Hyundai,Accent,GS,Hatchback,manual,kmhcm36c09u137221,ma,2.0,126844.0,gray,black,"first chrysler dodge, jeep, ram",2000,1300,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
57028,2009,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d49u747996,fl,2.1,47821.0,gray,gray,wells fargo dealer services,5800,5600,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57029,2009,Honda,Fit,Sport,Hatchback,automatic,jhmge88489s015075,tx,2.5,142877.0,white,black,oklahoma employees credit union,5300,4700,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
57030,2009,Honda,Accord,LX-P,Sedan,automatic,1hgcp26419a036612,nc,3.5,97994.0,silver,gray,summs skip & collections,7975,7900,Mon Dec 29 2014 00:00:00 GMT-0800 (PST)
57031,2009,Honda,Accord,LX-P,Sedan,manual,1hgcp25489a022434,nv,4.3,22894.0,white,beige,towbin dodge,10850,12200,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
57032,2009,Honda,Civic,Si,Sedan,manual,2hgfa55559h705878,nc,4.1,57149.0,orange,black,performance chev subaru porsche,11850,11500,Mon Dec 29 2014 09:30:00 GMT-0800 (PST)
57033,2009,Kia,Sedona,EX,Minivan,automatic,kndmb233196307913,nv,1.9,57172.0,gold,beige,wells fargo dealer services,5075,5300,Fri Jan 09 2015 04:00:00 GMT-0800 (PST)
57034,2009,Jeep,Liberty,Limited,SUV,automatic,1j8gp58k39w523643,nc,3.4,74327.0,white,gray,santander consumer,10700,11800,Mon Dec 29 2014 09:30:00 GMT-0800 (PST)
57035,2009,Hyundai,Accent,GLS,Sedan,automatic,kmhcn46c29u322857,ca,2.5,121391.0,white,gray,gm financial,3300,3400,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
57036,2009,Lexus,IS 250,Base,Sedan,automatic,jthck262592029263,md,3.5,81908.0,silver,black,santander consumer,14700,13700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57037,2009,MINI,Cooper,S,Hatchback,manual,wmwmf73509tt96889,nc,4.4,78912.0,gray,black,national fleet leasing,7900,7800,Mon Jan 05 2015 01:30:00 GMT-0800 (PST)
57038,2009,Nissan,Altima,2.5 S,Coupe,automatic,1n4al24e09c148454,md,2.7,90526.0,white,black,wells fargo dealer services,8050,8800,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57039,2009,Lexus,IS 250,Base,Sedan,automatic,jthbk262095094175,ga,2.6,122927.0,black,beige,nalley lexus smyrna,10900,8900,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
57040,2009,Nissan,Frontier,LE,Crew Cab,automatic,1n6ad07u49c425800,fl,3.7,84404.0,blue,gray,wells fargo dealer services,12300,13700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57041,2009,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng86x79a251521,md,4.3,98787.0,black,brown,myrddin fleet services,23200,24250,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57042,2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f79e009643,tx,2.4,134942.0,white,tan,san antonio credit union,3400,2800,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
57043,2009,Mazda,Mazda5,Sport,Minivan,automatic,jm1cr293590347414,tx,2.8,92088.0,gray,black,nextgear capital,5500,5500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
57044,2009,Nissan,Armada,SE,SUV,automatic,5n1aa08d89n601824,hi,2.2,104531.0,black,—,remarketing by ge/alliant credit union,11200,9200,Wed Jan 07 2015 06:30:00 GMT-0800 (PST)
57045,2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f99e007795,tx,3.1,151965.0,black,—,pra receivables management llc,2975,3200,Wed Jan 14 2015 02:05:00 GMT-0800 (PST)
57046,2009,Lexus,LS 460,Base,Sedan,automatic,jthbl46f195090566,fl,2.7,88698.0,burgundy,beige,auto dealer solutions inc,21600,20500,Tue Dec 30 2014 09:00:00 GMT-0800 (PST)
57047,2009,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa51e89c849898,fl,1.9,80514.0,gray,black,"consolidated asset recovery systems, inc.",11100,8400,Wed Jan 07 2015 15:15:00 GMT-0800 (PST)
57048,2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f19e010013,wa,3.6,64706.0,silver,black,northwest motorsport,6475,8000,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
57049,2009,Mitsubishi,Lancer,ES-Sport,Sedan,automatic,ja3au26u99u034828,in,2.9,88068.0,black,black,santander consumer,5050,5700,Tue Dec 30 2014 10:10:00 GMT-0800 (PST)
57050,2009,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa51ex9c860529,wi,2.5,76680.0,gray,black,capital one auto finance,13150,10800,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
57051,2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f99e029277,fl,2.9,94938.0,gray,gray,autonation chevrolet doral,5200,5000,Tue Dec 30 2014 09:15:00 GMT-0800 (PST)
57052,2009,MINI,Cooper,S,Hatchback,manual,wmwmf73529tt98238,nc,3.2,93844.0,black,black,primeritus remarketing/cci,7075,7400,Mon Dec 29 2014 09:30:00 GMT-0800 (PST)
57053,2009,Nissan,Altima Hybrid,Base,Sedan,automatic,1n4cl21e69c192441,ga,3.0,1.0,silver,gray,santander consumer,7825,4200,Thu May 07 2015 05:30:00 GMT-0700 (PDT)
57054,2009,Nissan,Cube,1.8 SL,Wagon,automatic,jn8az28r49t127648,co,2.1,54128.0,gray,black,santander consumer,7075,7500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
57055,2009,Mazda,Mazda3,i Sport,Sedan,manual,jm1bk32g091213603,ca,2.5,117984.0,black,black,lobel financial corp,4375,3800,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
57056,2009,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa51e09c826499,tx,2.7,1.0,black,black,county & municipal employees credit union,12650,2100,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
57057,2009,Nissan,Armada,LE,SUV,automatic,5n1ba08d99n602937,hi,3.5,61336.0,silver,gray,chrysler capital,15850,15750,Tue Dec 30 2014 15:30:00 GMT-0800 (PST)
57058,2009,Mercedes-Benz,R-Class,R350 4MATIC,Wagon,automatic,4jgcb65e19a090292,md,2.7,95062.0,silver,gray,justice fcu,13550,10700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
57059,2009,Lincoln,Town Car,Signature Limited,Sedan,automatic,2lnhm82v39x617143,ca,1.9,169379.0,black,beige,us bank,5450,3000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
57060,2009,Mitsubishi,Lancer,GTS,Sedan,automatic,ja3au86w79u000276,wa,2.5,102972.0,red,black,robert larson's hyundai,6900,6000,Tue Dec 30 2014 12:40:00 GMT-0800 (PST)
57061,2009,MINI,Cooper,Base,Hatchback,automatic,wmwmf33589tz21321,wa,2.5,50111.0,blue,black,wells fargo dealer services,8675,5100,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
