num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
60999,2013,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek7ds582231,pa,3.8,45201.0,silver,gray,the hertz corporation,13550,13500,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
61000,2013,Chevrolet,Equinox,LT,SUV,automatic,2gnalpek9d6286787,ca,3.9,42731.0,black,black,avis rac/san leandro,15450,15800,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
61001,2013,Chevrolet,Equinox,LS,SUV,automatic,2gnflcek1d6198461,mn,3.5,92069.0,black,gray,ari,10850,11500,Tue Dec 30 2014 10:45:00 GMT-0800 (PST)
61002,2013,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek6d6356569,fl,3.7,64021.0,black,black,ge fleet services for itself/servicer,12700,12500,Tue Jan 13 2015 10:45:00 GMT-0800 (PST)
61003,2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb4d7296096,tx,3.8,40908.0,white,black,avis corporation,10650,11000,Wed Dec 31 2014 10:15:00 GMT-0800 (PST)
61004,2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e38d1227378,pa,4.1,35579.0,gray,gray,enterprise veh exchange/rental,19500,20000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
61005,2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb1d7115956,nv,4.3,39198.0,white,gray,wells fargo dealer services,10750,11300,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
61006,2013,Chevrolet,Equinox,LT,SUV,automatic,2gnflnek8d6392156,md,4.5,25670.0,white,gray,enterprise veh exchange/rental,18850,19900,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
61007,2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e38d1184015,pa,2.6,51509.0,silver,black,the hertz corporation,10200,9600,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
61008,2013,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e34d1152228,pa,3.0,69488.0,silver,black,the hertz corporation,8725,8300,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
61009,2013,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb5d7155127,pa,3.5,61103.0,gray,black,the hertz corporation,9750,10000,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
61010,2013,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,3gnal3ekxds628967,nj,2.9,33455.0,silver,black,enterprise veh exchange/rental,13450,12800,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
61011,2013,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,3gnal3ek7ds641322,pa,4.2,32355.0,white,black,enterprise veh exchange/rental,13500,13700,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
61012,2013,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e32d1214452,fl,4.0,62523.0,silver,black,the hertz corporation,9150,9500,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
61013,2013,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sb6d7197672,ca,4.2,40423.0,gray,black,avis rac/san leandro,12500,12800,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
61014,2013,Chevrolet,Impala,LS,Sedan,automatic,2g1wa5e30d1121914,fl,2.8,38248.0,—,gray,northwestern chrys/j/d/ge,10450,9600,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
61015,2013,Chevrolet,Corvette,Base,Convertible,automatic,1g1ye3dw7d5104569,nv,3.0,48445.0,red,black,the hertz corporation,27600,27250,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
61016,2013,Chevrolet,Equinox,LT,SUV,automatic,2gnaldek1d6145582,ca,2.8,65124.0,black,gray,ge fleet services for itself/servicer,13500,13600,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
61017,2013,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek8d6360428,fl,3.5,65993.0,black,black,ge fleet services for itself/servicer,12600,12500,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
61018,2013,Chevrolet,Equinox,LT,SUV,automatic,2gnaldek5d6145889,wa,4.8,35574.0,black,black,ge fleet services for itself/servicer,16200,15700,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
