num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
61999,2014,BMW,Altima,750Li xDrive,Sedan,automatic,wbayf8c50ed142661,oh,3.7,19926.0,white,tan,bmw na manheim new jersey,66000,60500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62000,2014,BMW,X5,xDrive50i,SUV,automatic,5uxkr6c53e0c03465,oh,4.9,594.0,black,black,bmw na manheim new jersey,66000,66000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62001,2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c5xed511302,oh,4.7,4084.0,beige,black,bmw north america greer,40200,38000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62002,2014,BMW,4 Series,428i,Coupe,automatic,wba3n3c51ek230551,oh,4.9,3966.0,blue,black,bmw north america raa,36800,40250,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
62003,2014,BMW,Altima,750Li xDrive,Sedan,automatic,wbayf8c50ed653318,oh,5.0,207.0,black,black,bmw na manheim new jersey,72000,71500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62004,2014,BMW,Altima,750Li xDrive,Sedan,automatic,wbayf8c58ed142357,oh,4.4,3622.0,white,tan,bmw north america greer,71000,69000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62005,2014,BMW,X1,xDrive35i,SUV,automatic,wbavm5c52evv92524,oh,5.0,8862.0,gray,black,bmw north america greer,31900,31500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62006,2014,BMW,7 Series,740i,Sedan,automatic,wbaya6c55ed826625,oh,4.2,8608.0,white,—,bmw north america greer,54600,51000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62007,2014,BMW,X1,sDrive28i,SUV,automatic,wbavm1c59evw56745,oh,4.9,3384.0,black,black,bmw north america raa,26900,27500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62008,2014,BMW,5 Series Gran Turismo,535i,Hatchback,automatic,wba5m2c58ed871996,oh,4.9,6006.0,gray,tan,bmw north america greer,44200,44250,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62009,2014,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c54e0d42030,oh,4.0,5607.0,black,black,bmw north america greer,39600,37500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62010,2014,BMW,4 Series,428i SULEV,Coupe,automatic,wba3n7c5xek220950,oh,4.9,2208.0,white,black,bmw north america raa,35300,34750,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62011,2014,BMW,X6,xDrive35i,SUV,automatic,5uxfg2c54e0k41610,oh,5.0,15495.0,gray,black,bmw north america greer,52200,49000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62012,2014,BMW,4 Series,435i,Coupe,automatic,wba3r1c53ek192393,oh,4.2,10789.0,white,black,bmw north america greer,36800,39500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62013,2014,BMW,7 Series,740i,Sedan,automatic,wbaya6c51ed826685,oh,5.0,3723.0,—,black,bmw na manheim new jersey,56200,54000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62014,2014,BMW,5 Series,535d xDrive,Sedan,automatic,wbafv3c55ed685985,oh,4.3,6944.0,black,—,bmw north america,49400,48000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62015,2014,BMW,X5,xDrive50i,SUV,automatic,5uxkr6c58e0c03977,oh,4.4,10834.0,black,black,bmw na manheim new jersey,67000,65500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62016,2014,BMW,5 Series Gran Turismo,535i,Hatchback,automatic,wba5m2c52ed871959,oh,4.8,6268.0,—,tan,bmw north america greer,44100,43500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62017,2014,BMW,Altima,750Li xDrive,Sedan,automatic,wbayf8c55ed653377,oh,4.9,260.0,black,black,bmw na manheim new jersey,72000,72000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62018,2014,BMW,4 Series,428i xDrive SULEV,Coupe,automatic,wba3n9c50ek245111,oh,4.8,5512.0,black,black,bmw north america greer,40100,39000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62019,2014,BMW,4 Series,435i,Convertible,automatic,wba3t3c50ep737630,oh,4.5,4866.0,gray,—,bmw north america,45000,54000,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
62020,2014,BMW,4 Series,435i,Coupe,automatic,wba3r1c54ek192869,oh,4.9,2392.0,gray,black,bmw north america greer,38500,37500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62021,2014,BMW,X5,xDrive50i,SUV,automatic,5uxkr6c57e0c02061,oh,4.1,7334.0,gray,black,bmw north america raa,66000,69000,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
62022,2014,BMW,5 Series Gran Turismo,535i,Hatchback,automatic,wba5m2c54ed871994,oh,4.9,7017.0,gray,tan,bmw north america greer,43900,43250,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62023,2014,BMW,5 Series Gran Turismo,535i xDrive,Hatchback,automatic,wba5m4c56ed183832,oh,4.7,3967.0,black,black,bmw north america,56600,55000,Tue Jan 27 2015 06:00:00 GMT-0800 (PST)
62024,2014,BMW,4 Series,435i,Coupe,automatic,wba3r1c59ek192222,oh,4.5,1147.0,gray,—,bmw north america raa,36300,39250,Tue Jun 16 2015 07:00:00 GMT-0700 (PDT)
62025,2014,BMW,X5,xDrive35d,SUV,automatic,5uxks4c59e0c07111,oh,4.9,1018.0,brown,—,bmw north america greer,57800,64500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62026,2014,BMW,Altima,750Li xDrive,Sedan,automatic,wbayf8c57ed653333,oh,4.8,602.0,black,black,bmw na manheim new jersey,72000,72500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62027,2014,BMW,5 Series Gran Turismo,535i,Hatchback,automatic,wba5m2c54ed085807,oh,4.1,11729.0,black,black,bmw north america greer,42600,42500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62028,2014,BMW,Altima,750Li xDrive,Sedan,automatic,wbayf8c50ed142532,oh,3.6,10681.0,—,beige,bmw na manheim new jersey,68000,67500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
62029,2014,BMW,5 Series,535i,Sedan,automatic,wba5b1c51ed917023,oh,4.9,10616.0,gray,tan,bmw north america greer,39900,40500,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
