num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
62999,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f5xce364912,nj,2.8,38167.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",10950,10300,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
63000,2012,Honda,Insight,EX,Hatchback,automatic,jhmze2h71cs000831,nv,3.6,40698.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",11650,12100,Fri Jan 16 2015 04:00:00 GMT-0800 (PST)
63001,2012,Honda,Crosstour,EX,Hatchback,automatic,5j6tf3h35cl005008,nv,3.7,34812.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",14750,16200,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
63002,2012,Honda,Civic,LX,Sedan,automatic,jhmfb2f52cs004819,ca,4.1,33649.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",11150,12500,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
63003,2012,Honda,Pilot,EX,SUV,automatic,5fnyf4h43cb009653,ga,3.4,26861.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",21500,20700,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
63004,2012,Hyundai,Accent,SE,Hatchback,automatic,kmhcu5ae1cu019853,nj,2.5,57542.0,gray,black,wells fargo dealer services,8300,7600,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
63005,2012,Honda,Pilot,EX,SUV,automatic,5fnyf3h48cb007892,nv,3.5,31765.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",20100,21000,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
63006,2012,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae8cu232893,nc,3.9,63308.0,blue,gray,chrysler capital,7450,7700,Mon Dec 29 2014 09:30:00 GMT-0800 (PST)
63007,2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h20cb011877,nv,4.0,34039.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",16250,18700,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
63008,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexcu195724,fl,2.9,24791.0,blue,beige,myrddin fleet services,11100,10200,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
63009,2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h20cb005979,ca,3.1,36732.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",15400,16200,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
63010,2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae1cu319234,fl,4.7,36200.0,red,beige,hyundai motor finance,12100,13000,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
63011,2012,Honda,Pilot,EX,SUV,automatic,5fnyf4h44cb015512,ga,2.9,34101.0,gray,beige,"ahfc/honda lease trust/hvt, inc. eot",20800,20100,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
63012,2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h24cb001319,ga,3.4,66538.0,brown,beige,"ahfc/honda lease trust/hvt, inc. eot",13000,15400,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
63013,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h65cb112786,ga,3.3,52941.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",20400,23100,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
