num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
63999,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7bm301439,ga,4.4,25316.0,black,beige,nissan infiniti lt,20800,21400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64000,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0bm509145,fl,4.5,25374.0,—,black,nissan infiniti lt,20800,19000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
64001,2011,Hyundai,Sonata,SE,Sedan,automatic,5npec4acxbh075081,fl,3.1,94145.0,red,black,gm financial,9050,10700,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
64002,2011,Infiniti,EX,EX35,SUV,automatic,jn1aj0hr2bm854474,fl,3.6,37091.0,black,brown,nissan infiniti lt,22300,21200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64003,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek0bm215338,fl,2.5,31086.0,white,black,nissan infiniti lt,20900,18400,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
64004,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2bh169703,fl,2.5,88336.0,beige,—,hyundai motor finance,8125,7900,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
64005,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe3bm954101,ca,3.9,27770.0,—,gray,nissan infiniti lt,25000,27500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64006,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2bm510068,ca,3.6,50208.0,—,beige,nissan infiniti lt,17900,19250,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64007,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6bm302890,ga,4.8,28898.0,black,black,nissan infiniti lt,20500,22400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64008,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0bh155010,nv,1.9,36443.0,red,beige,wells fargo dealer services,10050,10800,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
64009,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4bm303424,ga,4.5,45090.0,black,black,nissan infiniti lt,19000,19200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64010,2011,Hyundai,Sonata,Limited,Sedan,automatic,5npec4acxbh279251,md,4.0,44709.0,gold,tan,wells fargo dealer services,13100,13000,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
64011,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4bm355038,ga,2.7,20297.0,gray,black,nissan infiniti lt,20600,17600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64012,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe5bm952088,hi,4.5,29382.0,gray,gray,nissan infiniti lt,25400,22250,Wed Jan 07 2015 14:35:00 GMT-0800 (PST)
64013,2011,Infiniti,FX,FX35,SUV,automatic,jn8as1mw0bm734219,mo,3.9,28562.0,blue,tan,nissan infiniti lt,29800,29400,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
64014,2011,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el7bm263377,mo,4.1,28623.0,black,black,nissan infiniti lt,21500,22000,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
64015,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2bm304555,fl,3.2,16389.0,white,gray,nissan infiniti lt,20600,17800,Thu Feb 12 2015 01:15:00 GMT-0800 (PST)
64016,2011,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar9bm650916,ga,4.1,31626.0,blue,black,nissan infiniti lt,17200,17000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64017,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap1bm604012,ga,4.4,31812.0,blue,black,nissan infiniti lt,17300,16800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64018,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2bm501998,fl,3.5,46835.0,gray,black,nissan infiniti lt,18900,18600,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
64019,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5bm508637,fl,2.3,28753.0,white,black,nissan infiniti lt,20100,18800,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
64020,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8bh226860,nv,4.1,51464.0,silver,gray,wells fargo dealer services,9500,10800,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
64021,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9bm506678,ga,4.5,29802.0,gray,gray,nissan infiniti lt,20400,19800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64022,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek3bm211199,hi,3.8,20787.0,blue,black,nissan infiniti lt,21000,20500,Wed Jan 28 2015 08:15:00 GMT-0800 (PST)
64023,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar0bm356929,oh,3.7,21711.0,blue,black,infiniti financial services,20500,19300,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
64024,2011,Infiniti,G Coupe,IPL,G Coupe,automatic,jn1cv6ek9bm212759,ga,4.7,48757.0,gray,black,nissan infiniti lt,24700,25600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64025,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe2bm951156,mo,3.6,23754.0,white,tan,nissan infiniti lt,25600,25500,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
64026,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8bm402586,mo,4.5,23695.0,gray,black,nissan infiniti lt,20400,21200,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
64027,2011,Infiniti,FX,FX35,SUV,automatic,jn8as1mu4bm711461,hi,4.4,22601.0,gray,black,nissan infiniti lt,29500,28000,Wed Jan 07 2015 14:35:00 GMT-0800 (PST)
64028,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4bh272931,md,4.3,43552.0,white,gold,remarketing by ge/nextgear capital,9800,10700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
64029,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm508778,ga,4.8,39989.0,gray,gray,nissan infiniti lt,19500,20000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64030,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8bm510771,ca,4.4,41364.0,gray,black,nissan infiniti lt,18650,20500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64031,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4bm304847,ga,4.1,42501.0,blue,tan,nissan infiniti lt,18950,19200,Tue Jan 13 2015 00:00:00 GMT-0800 (PST)
64032,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek7bm215224,ga,3.3,52684.0,black,beige,nissan infiniti lt,19150,19000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64033,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm305258,ca,3.5,35298.0,black,tan,infiniti financial services,19200,19500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64034,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3bm503971,fl,4.3,48193.0,gray,black,nissan infiniti lt,18750,20400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64035,2011,Hyundai,Tucson,Limited,SUV,automatic,km8ju3ac3bu273704,nv,2.9,42229.0,silver,black,wells fargo dealer services,13650,13000,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
64036,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2bm213137,fl,4.2,25239.0,gray,black,nissan infiniti lt,21300,21800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64037,2011,Infiniti,EX,EX35,SUV,automatic,jn1aj0hp9bm802399,ga,4.2,35254.0,—,beige,nissan infiniti lt,20800,20800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64038,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap1bm603135,fl,4.0,35596.0,blue,black,nissan infiniti lt,17200,16000,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
64039,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm302232,ga,4.8,28022.0,white,gray,nissan infiniti lt,20600,23000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64040,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8bm508549,fl,2.0,13733.0,blue,gray,nissan infiniti lt,21400,17600,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
64041,2011,Infiniti,FX,FX35,SUV,automatic,jn8as1mw7bm140100,ca,3.5,46371.0,blue,black,nissan infiniti lt,27300,27500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64042,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0bm509582,ca,4.7,40857.0,blue,black,nissan infiniti lt,18700,20000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64043,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2bh062053,mo,2.7,71780.0,gray,gray,fifth third bank,8750,8000,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
64044,2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe6bm953749,ca,3.8,61056.0,black,black,nissan infiniti lt,20900,22500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64045,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9bm503344,ca,2.9,44938.0,blue,black,nissan infiniti lt,18350,16500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64046,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0bm510554,ga,4.8,37003.0,gray,gray,nissan infiniti lt,19750,21000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64047,2011,Infiniti,FX,FX35,SUV,automatic,jn8as1mw5bm734541,ca,4.7,29177.0,gray,black,nissan infiniti lt,30100,30750,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64048,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek9bm212244,fl,4.1,29821.0,gray,gray,nissan infiniti lt,21000,19800,Thu Feb 05 2015 01:15:00 GMT-0800 (PST)
64049,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7bm509854,ca,4.0,37461.0,gray,black,nissan infiniti lt,19000,21500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64050,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8bm509605,ca,4.4,48160.0,gray,gray,nissan infiniti lt,18100,19500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64051,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek0bm215548,ca,4.3,32320.0,gray,black,nissan infiniti lt,20600,21500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64052,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm505119,fl,3.8,42946.0,white,black,nissan infiniti lt,19200,20400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64053,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2bm509843,ca,3.5,61358.0,black,black,nissan infiniti lt,17000,17500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64054,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7bh180454,mn,3.9,64134.0,gold,tan,exeter finance corp,9050,9100,Tue Dec 30 2014 10:45:00 GMT-0800 (PST)
64055,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxbm304853,ca,4.2,30081.0,blue,black,nissan infiniti lt,19600,20000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64056,2011,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek7bm214641,ca,3.6,57425.0,blue,black,nissan infiniti lt,18350,20000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
64057,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9bm508544,hi,4.4,21011.0,gray,gray,nissan infiniti lt,20800,20000,Wed Jan 07 2015 14:35:00 GMT-0800 (PST)
64058,2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar5bm350527,oh,4.2,29366.0,black,gray,infiniti financial services,19850,18900,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
64059,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8bm304236,ga,3.7,61341.0,white,beige,nissan infiniti lt,17550,16900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64060,2011,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac6bu158126,fl,4.2,50807.0,black,black,wells fargo dealer services,12650,12900,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
64061,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7bh301371,nj,4.1,68807.0,white,beige,wells fargo dealer services,8875,9500,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
64062,2011,Infiniti,G Convertible,G37,G Convertible,manual,jn1cv6fe9bm953793,fl,2.2,30822.0,black,black,nissan infiniti lt,24800,24000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64063,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0bh215562,wi,1.8,52181.0,blue,gray,capital one auto finance,9475,9400,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
64064,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap5bm831560,ga,4.5,32425.0,blue,gray,nissan infiniti lt,17250,17600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
64065,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap3bm604075,ga,2.5,25780.0,gray,black,nissan infiniti lt,16400,15000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
64066,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap7bm831527,fl,2.8,25790.0,white,beige,nissan infiniti lt,17900,16800,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
64067,2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1bm508800,ga,4.5,31417.0,blue,gray,nissan infiniti lt,19900,19000,Tue Jan 13 2015 00:00:00 GMT-0800 (PST)
