num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
64999,2012,Toyota,Prius Plug-in,Base,Hatchback,automatic,jtdkn3dp4c3003652,nj,2.5,17146.0,gray,gray,toyota financial services,19150,16700,Wed Jan 07 2015 01:30:00 GMT-0800 (PST)
65000,2012,Volkswagen,GLI,Autobahn,Sedan,automatic,3vw487aj9cm009126,oh,2.8,26098.0,gray,black,vw credit,14950,14500,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
65001,2012,Volkswagen,GTI,Base,Hatchback,automatic,wvwhv7aj9cw211168,oh,4.3,39858.0,—,gray,vw credit,15200,15800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
65002,2012,Toyota,Venza,XLE,Wagon,automatic,4t3ba3bb5cu029726,ny,3.9,30686.0,gray,gray,adk auto brokers inc,19550,18500,Thu Jan 15 2015 01:45:00 GMT-0800 (PST)
65003,2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwjp7at7cm611725,oh,2.0,23606.0,gray,black,vw credit,11850,11800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
65004,2012,Toyota,RAV4,Limited,SUV,automatic,2t3dk4dvxcw082005,mn,3.6,40550.0,—,gray,toyota financial services,19850,19800,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
65005,2012,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj4cm469349,pa,3.8,41851.0,white,black,primeritus remarketing/crescent bank & trust,8150,8600,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
65006,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv2cw212645,mo,3.7,13726.0,—,gray,toyota financial services,17950,17500,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
65007,2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwjp7at2cm611793,oh,2.4,35362.0,white,black,vw credit,11150,7500,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
65008,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv3cw198058,nj,3.1,19003.0,—,beige,toyota financial services,17150,15900,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
