num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
66999,2006,Ford,Fusion,SE,Sedan,automatic,3fafp07116r128525,ca,2.8,138712.0,green,tan,american auto finance,3550,2700,Thu Jan 08 2015 12:30:00 GMT-0800 (PST)
67000,2006,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66526a035232,ne,3.6,65917.0,gray,black,dm northwest inc,8100,10000,Wed Dec 31 2014 11:00:00 GMT-0800 (PST)
67001,2006,Ford,Fusion,S,Sedan,automatic,3fafp06z56r189366,ca,3.4,113125.0,white,beige,tdaf remarketing,2600,4100,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
67002,2006,GMC,Sierra 2500HD,SLE1,Regular Cab,automatic,1gthc24u96e109281,ca,3.9,132294.0,yellow,beige,jimmie johnson kearny mesa chevrolet,3300,4000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
67003,2006,Hyundai,Azera,Limited,Sedan,automatic,kmhfc46f86a061664,az,3.0,146911.0,black,black,quick cash funding llc,3025,2400,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
67004,2006,Hyundai,Azera,SE,Sedan,automatic,kmhfc46f26a137010,sc,2.7,130948.0,white,beige,automobile acceptance corp,4575,4100,Wed Jan 01 2014 09:15:00 GMT-0800 (PST)
67005,2006,Honda,Civic,EX,Sedan,automatic,jhmfa16806s008475,ca,3.6,141568.0,gray,gray,arrowhead auto group inc,4950,6700,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
67006,2006,Honda,Civic,EX,Coupe,automatic,2hgfg128x6h542016,ca,2.1,144039.0,black,tan,high bid trading co inc,4125,4100,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
67007,2006,HUMMER,H3,Base,SUV,automatic,5gtdn136668201333,ne,3.7,109455.0,gray,black,american national bank,10250,10500,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
67008,2006,HUMMER,H3,Base,SUV,automatic,5gtdn136668227186,ga,4.3,54931.0,blue,beige,carl black chevrolet buick gmc,13300,13800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
