num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
69999,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu7cf204222,mo,3.8,68572.0,gray,brown,lease plan usa,8825,8200,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
70000,2012,Chevrolet,Traverse,LT,SUV,automatic,1gnkvged0cj172453,ne,2.5,53152.0,burgundy,black,wells fargo dealer services,16150,16400,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
70001,2012,Chevrolet,Tahoe,LT,SUV,automatic,1gnskbe05cr209359,pa,3.7,33179.0,red,black,tdaf remarketing,29900,30200,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
70002,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e08cf243263,va,2.8,35936.0,white,gray,gm financial,10850,10100,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
70003,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e05cf385897,pa,2.5,42468.0,white,gray,primeritus remarketing/crescent bank & trust,9775,8100,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
70004,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfed3cj319802,ut,3.9,27412.0,gray,gray,lease plan usa,16200,15200,Wed Jan 07 2015 11:30:00 GMT-0800 (PST)
70005,2012,Chrysler,300,Base,Sedan,automatic,2c3ccaag7ch182208,pa,3.5,101142.0,black,gray,ge fleet services for itself/servicer,10900,10200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
70006,2012,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg0ch297067,ga,4.1,65770.0,black,black,remarketing by ge/summit financial corp,13350,13400,Tue Dec 30 2014 13:10:00 GMT-0800 (PST)
70007,2012,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb0cn129673,nc,4.2,35172.0,silver,black,medlin buick gmc mazda,10000,10900,Tue Jan 06 2015 01:15:00 GMT-0800 (PST)
70008,2012,Dodge,Charger,SE,Sedan,automatic,2c3cdxbgxch296086,mo,1.9,49064.0,white,black,chrysler capital,14200,11900,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
