num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
73999,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hrxdr222663,mo,2.6,38135.0,gray,tan,avis budget group,14050,11500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
74000,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h77dr148469,mo,4.2,22041.0,blue,black,"ford motor credit company,llc",14300,14500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
74001,2013,Honda,CR-V,EX,SUV,automatic,5j6rm4h56dl052248,pa,4.2,23031.0,brown,black,mwm motors inc,20100,18000,Fri Jan 02 2015 09:15:00 GMT-0800 (PST)
74002,2013,Hyundai,Accent,SE,Hatchback,automatic,kmhcu5ae5du121626,ga,3.5,21321.0,white,gray,chrysler capital,10200,11200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
74003,2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae3du584605,pr,3.6,14063.0,white,beige,oriental bank,10600,11000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
74004,2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae0du397385,ga,3.4,34747.0,silver,gray,capital one auto finance,9800,8200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
74005,2013,Ford,Taurus,Limited,Sedan,automatic,1fahp2j86dg121746,va,3.5,79747.0,—,tan,wheels exchange llc,12950,17400,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
74006,2013,Ford,Taurus,SEL,Sedan,automatic,1fahp2e8xdg130864,va,2.9,79114.0,black,black,wheels exchange llc,12100,13400,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
74007,2013,Honda,CR-V,EX,SUV,automatic,3czrm3h54dg706462,nc,4.4,26991.0,blue,gray,santander consumer,18600,19100,Mon Jan 05 2015 01:30:00 GMT-0800 (PST)
74008,2013,Ford,Taurus,SEL,Sedan,automatic,1fahp2e81dg130851,nc,3.7,89050.0,gray,black,wheels exchange llc,11600,12300,Tue Jan 06 2015 01:15:00 GMT-0800 (PST)
74009,2013,GMC,Acadia,SLE-1,SUV,automatic,1gkkrned1dj169357,pa,4.4,51785.0,black,black,gm financial,19300,20000,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
