num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
74999,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc132518,pa,4.4,36808.0,white,black,nissan-infiniti lt,12150,13700,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75000,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn406737,pa,3.5,29789.0,black,brown,nissan-infiniti lt,12600,13200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75001,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc187700,pa,2.7,26630.0,gray,black,nissan-infiniti lt,12800,10500,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75002,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cc173558,pa,2.9,28517.0,—,black,nissan-infiniti lt,12650,12600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75003,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn411715,ca,4.0,39679.0,white,tan,nissan-infiniti lt,11950,12000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
75004,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn480922,ca,2.0,35714.0,blue,black,nissan-infiniti lt,12150,11000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
75005,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn477949,pa,4.1,27000.0,red,black,nissan-infiniti lt,12750,12100,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75006,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn416111,pa,3.9,31180.0,blue,gray,nissan-infiniti lt,12500,11000,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75007,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn451156,ca,1.9,33677.0,white,gray,nissan-infiniti lt,12050,10750,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
75008,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn463151,pa,3.8,20481.0,beige,tan,nissan-infiniti lt,13150,14200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75009,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc155239,pa,3.5,36008.0,gray,black,nissan-infiniti lt,12000,12700,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
75010,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cc145904,pa,4.3,30349.0,black,black,nissan-infiniti lt,12200,13200,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
75011,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc134833,pa,2.9,36975.0,blue,gray,nissan-infiniti lt,11950,10500,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
75012,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cc135485,pa,4.0,38025.0,gray,black,nissan-infiniti lt,12100,12600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75013,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cc141688,pa,4.7,37866.0,silver,black,nissan-infiniti lt,12100,13600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75014,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cc143934,ca,4.3,29614.0,black,black,nissan-infiniti lt,12400,11750,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
75015,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cn402045,pa,4.2,39060.0,black,black,nissan-infiniti lt,11700,13000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
75016,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn534336,pa,3.7,39353.0,blue,black,nissan-infiniti lt,11700,12700,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
75017,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cc123755,ca,2.5,28342.0,black,black,nissan-infiniti lt,12650,12750,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
75018,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn423470,pa,3.8,22953.0,silver,black,nissan north america inc.,13000,11200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75019,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn454630,pa,3.2,32584.0,gold,beige,nissan-infiniti lt,12450,12300,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75020,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn456508,pa,3.4,37126.0,white,black,nissan-infiniti lt,12150,11400,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75021,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn439378,pa,3.5,35266.0,silver,black,nissan-infiniti lt,12250,12000,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75022,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcc133523,pa,3.3,35996.0,white,beige,nissan-infiniti lt,12200,12700,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75023,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn437550,ca,4.1,37059.0,white,gray,nissan-infiniti lt,12100,11750,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
75024,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cn457178,pa,4.2,33879.0,black,black,nissan-infiniti lt,12350,11100,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75025,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cc174106,pa,3.1,28299.0,blue,black,nissan-infiniti lt,12700,10900,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75026,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn515605,ca,4.5,21513.0,burgundy,black,nissan-infiniti lt,12900,12000,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
75027,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn474872,ca,2.9,22076.0,white,gray,nissan-infiniti lt,13000,12250,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
75028,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn492631,pa,3.7,36396.0,gray,black,nissan-infiniti lt,12200,11200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75029,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cc132660,pa,4.1,37267.0,white,beige,nissan-infiniti lt,12150,10800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75030,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cn507674,ca,3.9,35161.0,gray,black,nissan-infiniti lt,12200,12500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
75031,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc176396,ca,2.0,24683.0,silver,black,nissan-infiniti lt,12700,10750,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
75032,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cc187022,pa,3.6,33870.0,gray,black,nissan-infiniti lt,12350,11100,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75033,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn493340,ca,3.9,31048.0,gray,black,nissan motor acceptance corporation,12350,14250,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
75034,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cc160225,ca,3.6,34093.0,white,black,nissan-infiniti lt,12150,14250,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
75035,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn422593,ca,4.8,24224.0,white,beige,nissan-infiniti lt,12900,13000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
75036,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn433011,ca,2.4,34728.0,black,black,nissan-infiniti lt,12250,12500,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
75037,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cc174747,pa,4.1,23650.0,gray,black,nissan-infiniti lt,12950,12000,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75038,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn486594,pa,4.1,29671.0,burgundy,beige,nissan-infiniti lt,12600,12600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75039,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn426591,pa,2.9,37613.0,blue,black,nissan-infiniti lt,12100,10000,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75040,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn534214,pa,3.4,32496.0,blue,black,nissan-infiniti lt,12450,11600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75041,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn463450,pa,3.6,22614.0,blue,black,nissan-infiniti lt,12800,14000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
75042,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn466388,ca,3.8,30867.0,—,black,nissan-infiniti lt,12500,13750,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
75043,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn433046,ca,3.5,26345.0,white,black,nissan-infiniti lt,12750,12000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
75044,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn434358,pa,3.6,25938.0,gray,black,nissan-infiniti lt,12850,11900,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75045,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn493071,pa,3.7,37045.0,black,black,nissan-infiniti lt,12150,10800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75046,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn448840,ca,4.0,23095.0,blue,gray,nissan-infiniti lt,12950,13000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
75047,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn402103,pa,3.4,35832.0,black,black,nissan-infiniti lt,12250,12400,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
75048,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn435351,pa,4.0,35405.0,blue,black,nissan-infiniti lt,12250,11200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
