num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
76999,2008,Jeep,Wrangler,Unlimited X,SUV,manual,1j4ga39148l558432,nc,4.4,89221.0,silver,gray,neuwirth motors inc,14650,14400,Fri Jan 02 2015 09:30:00 GMT-0800 (PST)
77000,2008,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf81x98f079514,nj,3.6,63775.0,white,beige,myrddin fleet services,13650,14100,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
77001,2008,Jeep,Liberty,Limited Edition,SUV,automatic,1j8gp58k18w156742,nc,4.1,126551.0,gold,brown,triangle auto sales inc,6650,8200,Fri Jan 02 2015 09:30:00 GMT-0800 (PST)
77002,2008,Kia,Rio,Base,Sedan,automatic,knade123386299554,nj,1.9,144010.0,black,tan,holman ford lincoln turnersville,1375,1150,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
77003,2008,Kia,Optima,LX,Sedan,automatic,knage123685244356,mo,2.5,130493.0,black,gray,plaza motor company,3275,3000,Tue Jan 06 2015 11:00:00 GMT-0800 (PST)
77004,2008,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bk12g681799761,hi,2.1,119994.0,silver,black,first hawaiian bank,3850,2800,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
77005,2008,Land Rover,LR2,HSE,SUV,automatic,salfr24n18h084742,fl,3.3,80758.0,silver,tan,audi pembroke pines,9725,10300,Fri Jan 02 2015 09:35:00 GMT-0800 (PST)
77006,2008,Kia,Optima,LX,Sedan,manual,knage123985235120,ga,1.9,119864.0,gold,tan,"jpmorgan chase bank,n.a.",3525,2300,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
77007,2008,Jeep,Patriot,Sport,SUV,automatic,1j8ff28w68d759567,md,2.5,99067.0,gold,beige,nico buys cars,5950,4800,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
77008,2008,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf54x38r016644,wa,3.3,90642.0,gray,black,"jpmorgan chase bank,n.a.",12400,13800,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
77009,2008,Land Rover,LR3,V8 HSE ,SUV,automatic,salag25498a472655,nc,4.6,87868.0,white,tan,hendrick toyota scion wilmington,15500,16300,Fri Jan 02 2015 09:30:00 GMT-0800 (PST)
77010,2008,Mercedes-Benz,CLS-Class,CLS550,Sedan,automatic,wdddj72x78a133321,nj,2.5,116146.0,black,black,"jpmorgan chase bank,n.a.",14400,12000,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
77011,2008,Jeep,Wrangler,Unlimited X,SUV,manual,1j8ga39158l521825,wa,3.6,82694.0,red,beige,"jpmorgan chase bank,n.a.",15450,15000,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
