num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
78999,2013,Ford,Edge,SE,SUV,automatic,2fmdk4gc0dbb34008,nj,4.2,25309.0,blue,black,"ford motor credit company,llc",18200,18500,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79000,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc3dba72080,nj,3.4,21223.0,white,gray,"ford motor credit company,llc",23800,24000,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79001,2013,Dodge,Journey,SXT,SUV,automatic,3c4pdcbg9dt614035,mn,4.5,45579.0,gray,black,avis corporation,13400,14400,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
79002,2013,Ford,C-Max Hybrid,SE,Wagon,automatic,1fadp5au4dl508655,nj,4.5,31166.0,gray,gray,"ford motor credit company,llc",12650,13200,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79003,2013,Ford,Edge,SE,SUV,automatic,2fmdk4gc8dbc68622,nj,3.8,15721.0,black,black,"ford motor credit company,llc",19100,19400,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79004,2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg7dr719237,il,4.1,63565.0,white,gray,dtg operations inc,11950,13500,Thu Jan 08 2015 02:30:00 GMT-0800 (PST)
79005,2013,FIAT,500,Pop,Hatchback,manual,3c3cffar8dt748424,tx,4.0,44.0,silver,black,wells fargo dealer services,10300,9800,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
79006,2013,Ford,Edge,Limited,SUV,automatic,2fmdk4kc8dbb34197,nj,4.2,43806.0,white,black,"ford motor credit company,llc",21100,23100,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
79007,2013,Ford,Escape,SE,SUV,automatic,1fmcu9g98dub56890,wi,3.5,85497.0,gray,gray,sutton ford/ge,11650,12500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
79008,2013,Ford,Escape,SEL,SUV,automatic,1fmcu9hx1dua32800,nj,3.9,25728.0,white,gray,"ford motor credit company,llc",20300,20500,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79009,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc8dbb41931,fl,4.6,20970.0,—,beige,"ford motor credit company,llc pd",17350,17900,Thu Jan 08 2015 01:00:00 GMT-0800 (PST)
79010,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc5dba51135,nj,4.6,8015.0,gray,gray,"ford motor credit company,llc",18300,18200,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79011,2013,Ford,Edge,Limited,SUV,automatic,2fmdk3kc2dbb09502,fl,3.6,22452.0,—,black,"ford motor credit company,llc pd",22600,22600,Thu Jan 08 2015 01:00:00 GMT-0800 (PST)
79012,2013,Ford,Escape,SEL,SUV,automatic,1fmcu9hx0dud03765,nj,3.3,20524.0,—,black,wheels exchange llc,20900,18800,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
79013,2013,Ford,Escape,SEL,SUV,automatic,1fmcu9hx7duc30197,nj,4.6,32251.0,gray,black,"ford motor credit company,llc",19450,19200,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79014,2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx6dua82965,nj,4.4,14113.0,brown,black,"ford motor credit company,llc",18300,18400,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79015,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc5dbb04232,nj,3.7,12709.0,silver,black,"ford motor credit company,llc",23800,20800,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
79016,2013,Ford,Escape,SE,SUV,automatic,1fmcu9g92dud06587,nj,3.1,21651.0,gray,gray,"ford motor credit company,llc",17700,16800,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79017,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc0dbb41060,nj,4.3,32061.0,black,black,"ford motor credit company,llc",21600,21800,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
79018,2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx1duc30133,nj,4.7,20762.0,gray,black,"ford motor credit company,llc",17700,18900,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79019,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc6dbb40713,nj,2.9,28024.0,gray,black,"ford motor credit company,llc",23200,20700,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79020,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc5dbb40802,nj,4.5,24947.0,white,black,"ford motor credit company,llc",23500,24600,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79021,2013,Ford,Escape,SEL,SUV,automatic,1fmcu9hx1dua90177,nj,4.4,11745.0,black,beige,"ford motor credit company,llc",22000,21500,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79022,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jcxdbb23624,nj,3.7,25590.0,red,black,"ford motor credit company,llc",23400,24100,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79023,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc0dba98369,nj,4.2,55968.0,silver,black,emkay inc,18650,16700,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
79024,2013,Ford,Edge,SE,SUV,automatic,2fmdk3g9xdbb55995,nj,4.4,20425.0,black,black,"ford motor credit company,llc",16400,16600,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79025,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3j91dbb16365,fl,4.3,19992.0,—,black,"ford motor credit company,llc pd",21300,21700,Thu Jan 08 2015 09:00:00 GMT-0800 (PST)
79026,2013,Ford,Escape,SE,SUV,automatic,1fmcu9g93dub97914,il,2.9,61546.0,silver,gray,the hertz corporation,14350,13700,Thu Jan 22 2015 02:30:00 GMT-0800 (PST)
79027,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc7dbb15790,nj,4.4,18995.0,black,black,"ford motor credit company,llc",17550,18100,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79028,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc2dbb40841,nj,2.8,6056.0,blue,black,"ford motor credit company,llc",18450,16000,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79029,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc5dbb40574,nj,4.2,26191.0,white,beige,"ford motor credit company,llc",17100,16900,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79030,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc1dba62258,fl,4.1,30159.0,—,black,"ford motor credit company,llc pd",23100,24800,Thu Jan 08 2015 09:00:00 GMT-0800 (PST)
79031,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc4dbb75557,nj,1.9,56315.0,silver,black,wheels exchange llc,15200,10800,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
79032,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jcxdbb40519,nj,4.5,24354.0,brown,black,"ford motor credit company,llc",23500,24400,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79033,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7dbb27799,nj,3.9,48686.0,black,black,"ford motor credit company,llc",18700,18900,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
79034,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jcxdba85022,nj,4.7,39871.0,black,black,"ford motor credit company,llc",22100,21200,Wed Jan 07 2015 01:00:00 GMT-0800 (PST)
79035,2013,Ford,Edge,SE,SUV,automatic,2fmdk3gcxdbb56799,fl,3.5,9492.0,black,black,"ford motor credit company,llc pd",18500,15800,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
