num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
79999,2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba2cc068304,fl,2.9,42571.0,white,black,lexus financial services,27600,26800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80000,2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba7cc080433,fl,4.2,27660.0,black,beige,lexus financial services,28900,27400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80001,2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg9c2497569,fl,4.1,37443.0,gray,black,lexus financial services,21400,21000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
80002,2012,Lexus,IS 250,Base,Sedan,automatic,jthcf5c22c5053293,oh,4.7,24005.0,blue,tan,lexus financial services,22600,22900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80003,2012,Lexus,IS 250,Base,Sedan,automatic,jthbf5c24c5165444,fl,3.7,32191.0,blue,gray,lexus financial services,21900,21600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80004,2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg3c2483229,fl,4.3,27118.0,off-white,beige,lexus financial services,22800,25300,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80005,2012,Lexus,IS 250,Base,Sedan,automatic,jthbf5c20c5171466,fl,4.4,13851.0,black,beige,lexus financial services,23000,22200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80006,2012,Lexus,CT 200h,Premium,Hatchback,automatic,jthkd5bh3c2080253,fl,4.7,23182.0,white,brown,lexus financial services,21100,21600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80007,2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba7cc077077,fl,4.5,32903.0,beige,beige,lexus financial services,28400,29700,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80008,2012,Lexus,CT 200h,Premium,Hatchback,automatic,jthkd5bh6c2065018,fl,2.1,18958.0,gray,beige,lexus financial services,21500,19400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
80009,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc1cr839931,nj,2.6,25460.0,blue,beige,"ford motor credit company,llc",16600,15500,Wed Jan 07 2015 01:00:00 GMT-0800 (PST)
80010,2012,Lexus,RX 350,Base,SUV,automatic,jtjzk1ba2c2414173,fl,3.5,21066.0,black,beige,lexus financial services,29400,28400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
