num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
81999,2012,Toyota,Corolla,S,Sedan,automatic,5yfbu4eexcp010649,ga,3.9,67609.0,black,black,world omni financial corporation,9925,11200,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
82000,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu521421,ga,4.8,38810.0,white,black,world omni financial corporation,14250,15000,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
82001,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk6cu581518,ga,2.8,86141.0,green,gray,world omni financial corporation,10500,10600,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
82002,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8cu081683,nv,1.0,56771.0,black,—,hertz damaged liquidation,11600,8100,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
82003,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk9cu081918,ga,4.1,66178.0,black,gray,world omni financial corporation,12700,14200,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
82004,2012,Toyota,Camry,L,Sedan,automatic,4t1bf1fk1cu632942,ga,2.0,18292.0,green,beige,world omni financial corporation,13450,11700,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
82005,2012,Toyota,Camry,L,Sedan,automatic,4t4bf1fkxcr184481,fl,3.9,36380.0,blue,gray,world omni financial corporation,13200,12800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
82006,2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk4cr224277,ca,3.2,19784.0,silver,gray,buyers auto sales,13950,13400,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
82007,2012,Toyota,Highlander,Base,SUV,automatic,5tdza3eh5cs021349,fl,4.2,22580.0,white,tan,world omni financial corporation,21400,21800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
82008,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk9cu532507,ga,3.8,38320.0,gray,gray,world omni financial corporation,12750,13600,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
82009,2012,Volkswagen,Beetle,2.5L,Hatchback,automatic,3vwjx7at5cm609956,tx,2.4,22443.0,yellow,black,vw credit,11450,12000,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
82010,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv2cw213147,md,4.6,21570.0,black,tan,toyota financial services,16800,16800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
82011,2012,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj3cm396877,tx,2.8,56772.0,—,black,vw credit,8200,6400,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
82012,2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwjp7atxcm616854,pa,2.5,30149.0,black,black,vw credit,11000,9700,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
82013,2012,Volkswagen,GTI,Autobahn PZEV,Hatchback,manual,wvwed7aj5cw093819,pa,1.9,50687.0,black,black,vw credit,14700,12300,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
82014,2012,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj0cm336555,pa,2.3,19448.0,—,gray,vw credit,9500,9700,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
82015,2012,Volkswagen,Jetta,Base,Sedan,automatic,3vw2k7aj7cm320904,pa,2.5,28520.0,white,black,vw credit,9150,7900,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
82016,2012,Volkswagen,GLI,Autobahn PZEV,Sedan,automatic,3vw4a7aj4cm342886,pa,2.2,42003.0,gray,black,vw credit,13150,11600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
