num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
84999,2014,Hyundai,Santa Fe Sport,Sport,SUV,automatic,5xyzt3lb2eg144633,fl,2.0,23907.0,gray,—,enterprise vehicle exchange / tra / rental / tulsa,17900,15000,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
85000,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1eh832988,fl,2.0,29767.0,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,13350,12300,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
85001,2014,Infiniti,Q50,Sport,Sedan,automatic,jn1bv7ap3em672927,tx,4.1,33188.0,white,black,nissan north america inc.,27000,33000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
85002,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3eh839165,az,5.0,7414.0,white,tan,first technology credit union,15150,16100,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
85003,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3eh821328,tn,4.0,27520.0,red,gray,enterprise veh exchange/rental,13550,13800,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
85004,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap8em676956,tx,4.4,15334.0,gray,black,nissan infiniti lt,27200,27000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
85005,2014,Infiniti,QX60,Base,SUV,automatic,5n1al0mm3ec520977,fl,2.9,26634.0,black,black,florida auto financial group,34200,30800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
85006,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9eh811354,mo,3.7,24762.0,blue,gray,enterprise veh exchange/rental,13750,13400,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
85007,2014,Infiniti,QX70,Base,SUV,automatic,jn8cs1mw8em413395,ut,1.0,12756.0,white,black,hertz/tra,36900,27500,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
85008,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6eh814373,mo,4.3,28652.0,white,gray,enterprise veh exchange/rental,13400,13100,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
85009,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2fn327106,nj,2.9,6629.0,silver,black,enterprise veh exchange/rental,15700,13500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
85010,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap8fn331564,fl,2.1,9503.0,red,black,florida auto financial group,14950,14300,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
85011,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3fn301551,ga,4.3,18603.0,red,tan,enterprise veh exchange/rental,13450,17000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
85012,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy4f0432467,tx,4.5,20870.0,red,black,enterprise vehicle exchange/dfw airport,19200,19400,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
