num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
85999,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sbxe7106500,nc,4.1,35857.0,silver,black,enterprise veh exchange/rental,11800,11900,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
86000,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb7e7112092,fl,3.6,39109.0,silver,black,tdaf remarketing,11500,11900,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
86001,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb5e7103732,mi,3.8,30465.0,gray,black,enterprise veh exchange/rental,12050,12000,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
86002,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb3e7149981,ma,3.6,17746.0,beige,black,capital one auto finance,12700,11200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
86003,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb5e7127965,nj,3.4,26676.0,red,black,enterprise veh exchange/rental,12200,10100,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
86004,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb7e7138028,il,3.8,12646.0,green,gray,wells fargo dealer services,12850,12300,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
86005,2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc8c7312069,pa,2.0,61130.0,white,black,the hertz corporation,8825,7500,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
86006,2012,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcrkse74cz155685,fl,4.4,30119.0,blue,black,tdaf remarketing,23300,24400,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
86007,2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5scxc7299922,la,3.6,60307.0,blue,black,the hertz corporation,9125,9400,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
86008,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek8c6178114,la,3.5,61942.0,black,black,lease plan usa,11850,11200,Wed Jan 07 2015 11:00:00 GMT-0800 (PST)
86009,2012,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1ph5scxc7152030,fl,2.5,70961.0,white,black,santander consumer,9525,9700,Wed Jan 21 2015 01:05:00 GMT-0800 (PST)
86010,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbekxc6316980,mo,3.8,76227.0,black,black,sutton ford/ge,10950,11900,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
86011,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnflcek0c6165644,mn,3.1,59756.0,black,gray,lease plan usa,13200,13600,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
86012,2012,Chevrolet,Silverado 3500HD,Work Truck,Crew Cab,automatic,1gc4kzcg8cf132966,ut,3.3,23802.0,blue,black,primeritus remarketing/americu credit uni,26600,24200,Wed Jan 07 2015 11:30:00 GMT-0800 (PST)
86013,2012,Chevrolet,Captiva Sport,2LS Fleet,SUV,automatic,3gnal2ek5cs581341,fl,2.0,60929.0,white,gray,the hertz corporation,9150,9200,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
86014,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnaldek3c1311208,nj,3.2,40021.0,black,black,marano & sons auto sales inc,15050,13500,Wed Jan 07 2015 01:30:00 GMT-0800 (PST)
86015,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnflcek8c6113291,pa,3.1,37901.0,black,black,fiserv/usb dealer services northstar exchange,14800,14300,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
86016,2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc2c7113146,mi,2.2,91034.0,silver,gray,santander consumer,7075,4900,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
86017,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek5c6121997,pa,3.5,46240.0,silver,black,fiserv/usb dealer services northstar exchange,12800,12600,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
86018,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek3c6213349,ny,4.1,97361.0,white,black,ge fleet services for itself/servicer,9500,9200,Thu Jan 08 2015 09:15:00 GMT-0800 (PST)
86019,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek4c6332978,il,2.9,96340.0,silver,gray,advantage chevrolet/ge,9475,8800,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
86020,2012,Chevrolet,Camaro,SS,Convertible,manual,2g1ft3dw7c9211278,fl,2.0,20980.0,black,black,"pnc bank, national association",25100,20600,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
86021,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbekxc1276848,wi,3.2,36010.0,gray,black,gm financial leasing,13250,12100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
86022,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek1c6199913,pa,4.3,38653.0,silver,black,fiserv/usb dealer services northstar exchange,16300,15800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
86023,2012,Chevrolet,Captiva Sport,2LS Fleet,SUV,automatic,3gnal2ek4cs545611,ca,4.7,52076.0,white,gray,tycon enterprises,9800,11000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
86024,2012,Chevrolet,Avalanche,LS,Crew Cab,automatic,3gntkee7xcg115544,nc,4.3,42691.0,black,black,suntrust bank,25000,27400,Tue Jan 06 2015 01:15:00 GMT-0800 (PST)
86025,2012,Chevrolet,Colorado,2LT,Crew Cab,automatic,1gchtdfe1c8149639,az,4.1,72279.0,white,gray,larry h. miller fleet lease,18800,18200,Wed Jan 07 2015 04:00:00 GMT-0800 (PST)
