num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
86999,2013,Ford,Escape,SEL,SUV,automatic,1fmcu0h91dud93084,fl,4.8,30570.0,gray,gray,enterprise veh exchange/rental,17250,16400,Tue Jan 06 2015 09:30:00 GMT-0800 (PST)
87000,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e36e9242553,fl,4.3,20113.0,gray,black,enterprise veh exchange/rental,20600,20800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87001,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae7du792296,fl,3.7,35757.0,blue,beige,enterprise veh exchange/rental,11300,11800,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
87002,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5dh312710,fl,3.4,37213.0,gray,beige,enterprise veh exchange/rental,11350,11600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87003,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd3du245007,fl,3.5,45898.0,white,beige,enterprise veh exchange/rental,15550,16500,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87004,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm712346,ca,3.1,47497.0,black,black,cerritos infiniti inc,19900,16000,Wed Jan 07 2015 04:30:00 GMT-0800 (PST)
87005,2013,Kia,Optima,EX,Sedan,automatic,5xxgn4a70dg120324,nc,4.5,21137.0,gray,gray,hendrick kia of cary,16300,15900,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
87006,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc298501,fl,3.2,36375.0,gray,black,enterprise veh exchange/rental,13200,13700,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87007,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dc261967,fl,3.8,34321.0,black,black,enterprise veh exchange/rental,13300,13800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87008,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dc900809,fl,3.9,33713.0,gray,beige,enterprise veh exchange/rental,13350,13800,Tue Jan 06 2015 09:30:00 GMT-0800 (PST)
87009,2013,Toyota,RAV4,LE,SUV,automatic,jtmzfrev4d5009601,fl,4.4,32705.0,white,beige,enterprise veh exchange/rental,17100,17500,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87010,2013,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwap7a39dc135349,fl,3.4,32370.0,red,black,enterprise veh exchange/rental,11350,11800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87011,2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj5dm435190,fl,4.4,35153.0,gray,gray,enterprise veh exchange/rental,11500,12000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87012,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1ze5e04cf376757,ca,2.9,54428.0,silver,black,tdaf remarketing,10750,11500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
87013,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e01cf383011,ca,3.0,52722.0,gray,black,tdaf remarketing,9900,10200,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
87014,2012,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg7cr301274,mi,5.0,71727.0,white,beige,kevins marysville auto sales inc,15200,15200,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
87015,2012,Dodge,Charger,R/T,Sedan,automatic,2c3cdxct4ch134840,mo,4.6,45331.0,white,red,green toyota,19300,19200,Tue Jan 06 2015 03:00:00 GMT-0800 (PST)
87016,2012,Ford,F-250 Super Duty,King Ranch,Crew Cab,automatic,1ft7w2bt7cea38185,fl,2.8,119376.0,white,brown,tdaf remarketing,33100,34200,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
87017,2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k2xcl106737,ga,3.9,97302.0,gray,black,innovative auto llc,6950,7400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
87018,2012,Ford,Flex,Limited,Wagon,automatic,2fmgk5dc8cbd03942,nc,3.5,67282.0,white,beige,boykin motors of johnston co inc,17700,16600,Mon Jan 05 2015 01:30:00 GMT-0800 (PST)
87019,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfat3cc157041,ca,3.8,58426.0,black,black,nvp remarketing,22300,22000,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
87020,2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be6ca788446,ga,4.3,50101.0,white,tan,mercedes benz of buckhead,30500,33000,Tue Jan 06 2015 05:00:00 GMT-0800 (PST)
87021,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn511371,nv,3.7,28961.0,blue,beige,wells fargo dealer services,12000,12400,Fri Jan 09 2015 12:00:00 GMT-0800 (PST)
