num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
88999,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4cu025725,wa,1.9,44906.0,gray,black,toyota financial services,13950,13000,Wed Jan 07 2015 13:30:00 GMT-0800 (PST)
89000,2012,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk4cu020465,nj,2.7,16894.0,white,gray,manheim new jersey,20500,16700,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
89001,2012,Toyota,Highlander,Base,SUV,automatic,5tdbk3eh5cs114533,pa,3.8,30453.0,purple,beige,toyota of york,22800,21500,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
89002,2012,Toyota,Camry,XLE,Sedan,automatic,4t4bf1fk9cr205451,ga,2.8,30575.0,black,gray,toyota financial services,15800,14100,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
89003,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4cu186186,pa,3.4,17000.0,silver,black,world omni financial corporation,15400,15200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
89004,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu035788,nj,2.6,23013.0,black,gray,toyota financial services,15100,14200,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
89005,2012,Toyota,Corolla,L,Sedan,automatic,2t1bu4ee8cc912149,fl,3.6,30220.0,gray,beige,gm financial,10100,10200,Wed Jan 14 2015 09:10:00 GMT-0800 (PST)
89006,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu092684,ga,4.1,26079.0,silver,black,capital one auto finance,15050,14900,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
89007,2012,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk2cu018682,ca,3.3,69737.0,red,beige,ge fleet services for itself/servicer,15800,15300,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
89008,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0cu190607,az,3.6,51438.0,gray,black,toyota financial services/tmct,13500,13700,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
89009,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk3cu507831,mo,3.0,34284.0,white,gray,toyota financial services,14500,13900,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
89010,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu014908,fl,4.1,28265.0,black,black,the collection,14850,16000,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
89011,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5cu026110,wi,3.8,73318.0,blue,black,toyota financial services,12350,11900,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
89012,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk2cu626969,pa,4.2,40627.0,white,black,world omni financial corporation,14200,15200,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
89013,2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk9cr203358,ca,3.7,67191.0,silver,gray,sama california auto export inc,10900,12500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
89014,2012,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk3cu064385,ga,3.6,23453.0,—,gray,toyota financial services,16050,15800,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
89015,2012,Toyota,Highlander,Limited,SUV,automatic,5tdyk3eh5cs087456,fl,2.4,27793.0,gray,gray,onesource/deluca toyota inc,25600,25500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
89016,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4cu552812,mn,4.2,75146.0,red,black,toyota financial services,12250,12000,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
89017,2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh4cs116220,pa,4.7,37805.0,green,beige,toyota of york,27600,27500,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
89018,2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh2cs117494,pa,3.5,59143.0,white,beige,toyota of york,25400,24500,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
89019,2012,Toyota,Highlander,Base,SUV,automatic,5tdza3eh5cs029502,ca,4.1,33281.0,black,beige,wholesale motor sales inc,20600,21000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
89020,2012,Toyota,Highlander,SE,SUV,automatic,5tdbk3eh9cs141556,nj,4.2,27623.0,gray,gray,hamilton honda,23700,24100,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
89021,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4cu127476,ga,3.5,63704.0,gray,black,world omni financial corporation,12850,14000,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
89022,2012,Toyota,Highlander,Base,SUV,automatic,5tdza3eh0cs024885,pa,4.5,17903.0,silver,gray,ford-lincoln dealer program,22100,23000,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
89023,2012,Toyota,Highlander,Base,SUV,automatic,5tdbk3eh0cs120062,wi,2.8,27668.0,black,gray,toyota financial services,22900,23600,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
89024,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk4cu141183,fl,3.7,89833.0,gray,gray,"enterprise fleet management exchange, inc.",10650,10000,Tue Jan 06 2015 10:45:00 GMT-0800 (PST)
89025,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu522761,mn,4.0,35007.0,white,black,toyota financial services,14500,13900,Wed Jan 07 2015 02:30:00 GMT-0800 (PST)
89026,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu025583,wa,3.7,17403.0,black,black,toyota financial services,15450,15700,Wed Jan 07 2015 13:30:00 GMT-0800 (PST)
89027,2012,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fk7cu506323,pa,4.2,30839.0,gray,gray,world omni financial corporation,17600,17200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
89028,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk3cu539341,tx,3.4,51746.0,red,gray,hopper motorplex inc,13550,13800,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
89029,2012,Toyota,Highlander,Base,SUV,automatic,5tdbk3eh1cs132074,ca,4.2,40905.0,gray,beige,fmgj inc,22000,26400,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
