num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
89999,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e34e1150120,pa,4.0,17336.0,black,black,gm remarketing,14900,14800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90000,2014,Chevrolet,Impala,LT,Sedan,automatic,1g1125s32eu141020,pa,2.0,14453.0,blue,black,gm remarketing,19600,18700,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
90001,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e30e1140541,pa,3.0,16292.0,white,black,gm remarketing,14950,14600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90002,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e36e1136249,pa,5.0,16577.0,white,black,gm remarketing,14900,15000,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90003,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e30e1146727,pa,4.0,15547.0,silver,black,gm remarketing,14950,14600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90004,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e34e1144897,pa,4.0,14513.0,silver,black,gm remarketing,15000,15200,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
90005,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e38e1122112,pa,4.0,18376.0,silver,gray,gm remarketing,14800,14800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90006,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e37e1123526,fl,4.4,36792.0,white,black,avis corporation,14150,14700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
90007,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e37e1149916,pa,4.0,17034.0,white,black,gm remarketing,15250,14700,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
90008,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e36e1116535,pa,3.0,20783.0,gray,black,gm remarketing,14700,14600,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90009,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e33e1135611,pa,4.0,19896.0,white,gray,gm remarketing,14750,14800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
90010,2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s34e9191284,wi,2.2,13344.0,white,black,remarketing by ge/nextgear capital,19950,17100,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
90011,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e30e1149420,pa,3.0,18111.0,black,black,gm remarketing,15200,14300,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
90012,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e3xe1121754,pa,2.0,22118.0,red,gray,gm remarketing,14650,14600,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
90013,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e39e1167057,pa,4.0,16073.0,gray,black,gm remarketing,15300,15400,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
90014,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e37e1132615,fl,4.7,20534.0,white,black,lee dodge,14900,15700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
90015,2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s35e9107652,fl,4.3,10217.0,red,brown,us bank,19800,21400,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
