num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
90999,2009,Toyota,Yaris,Base,Sedan,automatic,jtdbt923191308751,ab,4.1,181250.0,gray,gray,go auto outlet west,3900,3600,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
91000,2009,Toyota,Matrix,S,Hatchback,automatic,2t1le40e69c011296,mn,4.2,122869.0,silver,gray,executive leasing,6825,7200,Thu Jan 15 2015 02:45:00 GMT-0800 (PST)
91001,2009,Volkswagen,Jetta,TDI,Sedan,automatic,3vwal71k89m029550,tx,2.9,128555.0,black,black,remarketing by ge/five star chysler & dodge inc,6600,4800,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
91002,2009,Toyota,Highlander,Base,SUV,automatic,jteda41a692003883,sc,3.7,102500.0,gray,gray,dab auto world & leasing,12900,11500,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
91003,2009,Toyota,Venza,Base,Wagon,automatic,4t3bk11a09u004896,nc,3.6,132656.0,red,beige,hendrick toyota scion concord,13450,14200,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
91004,2009,Toyota,Corolla,XLE,Sedan,automatic,1nxbu40ex9z009337,fl,2.8,98513.0,gray,gray,santander consumer,7100,8000,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
91005,2009,Toyota,Matrix,S,Hatchback,automatic,2t1ke40e29c007810,nc,2.1,125151.0,—,gray,hendrick lexus northlake,5825,5500,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
91006,2009,Toyota,RAV4,Base,SUV,automatic,jtmbf33vx95012964,ga,3.5,67826.0,silver,gray,germain toyota of sarasota,10000,10600,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
91007,2009,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c69s287387,sc,2.9,182645.0,silver,gray,lease plan usa/tra,5325,6600,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
91008,2009,Toyota,Venza,Base,Wagon,automatic,4t3zk11a69u006604,fl,3.7,29606.0,gray,beige,the collection,16700,16900,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
