num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
91999,2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl7eg302191,mo,5.0,6718.0,white,black,barco rent a truck,43800,45750,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
92000,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer357858,va,3.0,28494.0,black,black,pv holding inc/gdp,18300,18200,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
92001,2014,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg9er215208,tn,4.3,46730.0,silver,black,avis corporation,20600,20100,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
92002,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er399859,va,4.0,21525.0,burgundy,black,enterprise veh exchange/rental,19100,19500,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
92003,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7en218456,tx,4.1,18772.0,red,black,chrysler capital,11850,11800,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
92004,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er208185,ca,3.9,42074.0,gray,black,enterprise veh exchange/rental,16950,17000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
92005,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer215350,oh,4.3,41924.0,black,brown,avis corporation,17200,17200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
92006,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er157648,il,4.5,41869.0,red,beige,"ec sales,llc",17050,16900,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
92007,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab6en113438,az,4.4,26537.0,silver,beige,onesource/southwest remarketing,11500,11500,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
92008,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0en160528,sc,2.0,24400.0,red,black,dab auto world & leasing,11600,8900,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
92009,2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr7gt8es194124,mo,4.9,2985.0,red,gray,chrysler capital,27500,27900,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
92010,2014,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg1er215218,tx,4.5,41127.0,white,beige,avis corporation,22000,22100,Wed Jan 07 2015 10:15:00 GMT-0800 (PST)
92011,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab5en130408,tx,3.3,43584.0,red,black,chrysler capital,10300,10500,Wed Jan 07 2015 10:30:00 GMT-0800 (PST)
92012,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyagxeh221267,tx,3.6,10052.0,black,black,"consolidated asset recovery systems, inc.",19600,16700,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
92013,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0en149125,tx,4.7,13609.0,black,black,chrysler capital,12250,12600,Wed Jan 07 2015 00:00:00 GMT-0800 (PST)
92014,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzabxen155532,pa,4.0,7431.0,blue,beige,"chrysler group,llc",12600,11300,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
92015,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7en182784,mn,3.6,17840.0,blue,black,chrysler capital,12000,11600,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
92016,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0en160416,sc,4.5,26067.0,black,beige,regional acceptance corporation / greenville,11550,11400,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
92017,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyagxeh289651,ca,1.0,14528.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,18550,2900,Thu Jan 08 2015 12:30:00 GMT-0800 (PST)
92018,2014,Dodge,Challenger,R/T,Coupe,automatic,2c3cdybt5eh112212,fl,5.0,5031.0,red,black,tdaf remarketing,25500,30000,Tue Feb 03 2015 01:00:00 GMT-0800 (PST)
92019,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er399937,va,5.0,19389.0,blue,black,enterprise veh exchange/rental,19600,19700,Thu Jan 15 2015 00:45:00 GMT-0800 (PST)
92020,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er449305,va,5.0,19425.0,burgundy,black,enterprise veh exchange/rental,19600,19600,Thu Jan 15 2015 00:45:00 GMT-0800 (PST)
92021,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab9en155389,mn,4.2,17021.0,blue,black,chrysler capital,12050,11900,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
92022,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg3eh145710,il,4.9,2137.0,red,tan,tyson motor corporation,17650,17500,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
92023,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg5er184427,tx,4.2,45212.0,silver,black,avis corporation,16700,17500,Wed Jan 28 2015 02:15:00 GMT-0800 (PST)
92024,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg4eh258968,tx,4.9,10977.0,white,tan,texas auto brokers,16800,17600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
92025,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab6en187801,fl,4.8,8701.0,blue,—,chrysler capital,12400,12500,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
92026,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzabxen219309,tx,4.6,10466.0,blue,black,santander consumer,12300,12300,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
92027,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7en110631,tx,3.8,30511.0,blue,gray,chrysler capital,11200,9000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
92028,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7en200247,mn,3.0,30395.0,white,black,chrysler capital,11250,10800,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
92029,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab2en160112,tx,3.4,17119.0,gray,black,westlake financial services,12000,11000,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
92030,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer398457,va,5.0,15602.0,gold,black,enterprise veh exchange/rental,20000,20200,Thu Jan 15 2015 00:45:00 GMT-0800 (PST)
92031,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab2en235391,mn,3.5,11416.0,silver,black,chrysler capital,12350,12400,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
92032,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab4en116063,pa,4.9,35370.0,blue,black,enterprise veh exchange/rental,10850,11900,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
92033,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg3eh284493,pa,4.3,4894.0,white,beige,manheim philadelphia,17400,16000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
92034,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag2eh223224,fl,3.6,15827.0,black,black,chrysler capital,18700,18400,Thu Jan 08 2015 01:30:00 GMT-0800 (PST)
92035,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab2en169926,pa,3.9,28231.0,white,black,enterprise veh exchange/rental,11400,11500,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
92036,2007,Chrysler,300,C,Sedan,automatic,2c3la63h17h888668,ny,3.9,56138.0,white,gray,new deal used cars,10500,10900,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
92037,2007,Chevrolet,Uplander,LS,Minivan,automatic,1gndv23147d162291,nc,2.9,118735.0,blue,gray,hendrick honda,2725,3500,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
92038,2007,Chevrolet,TrailBlazer,SS,SUV,automatic,1gnes13h172186757,ga,4.8,77529.0,silver,black,nalley lexus smyrna,12800,15100,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
92039,2007,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13037j342897,fl,2.6,93471.0,brown,black,gm financial,16350,14100,Wed Jan 14 2015 09:10:00 GMT-0800 (PST)
92040,2007,Chrysler,300,Touring,Sedan,automatic,2c3ka53g77h715315,wi,2.1,106897.0,silver,gray,dt credit corporation,6075,5200,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
