num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
93999,2004,Ford,Taurus,SE,Sedan,automatic,1fafp53234a215992,mn,3.0,79867.0,white,gray,savage police department,1850,2800,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
94000,2004,Ford,Freestar,SES,Minivan,automatic,2fmza57694bb23145,oh,2.7,113833.0,white,tan,dt inventory,1450,1800,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
94001,2004,Ford,Ranger,XLT,SuperCab,automatic,1ftzr15e14pb19230,mn,2.8,105126.0,beige,black,fbi,6325,5600,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
94002,2004,Ford,Mustang,Deluxe,Coupe,automatic,1fafp40674f174318,az,1.9,56994.0,orange,black,wells fargo dealer services,4700,3400,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
94003,2004,Ford,Mustang,GT Premium,Coupe,automatic,1fafp42x04f119800,tx,2.3,169529.0,silver,gray,westlake financial services,3450,2600,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
94004,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc1eba71607,il,4.9,15330.0,black,black,enterprise/ars,27000,26300,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
94005,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl9eda32191,pa,3.0,21034.0,silver,gray,avis budget group,19600,18200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
94006,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl4eda04377,pa,3.7,32940.0,silver,gray,avis budget group,18200,17800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
94007,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc4eba51125,mi,4.8,19293.0,red,tan,avis budget group,26300,26600,Wed Jan 14 2015 10:00:00 GMT-0800 (PST)
94008,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl2eda08282,fl,4.3,33518.0,—,gray,avis budget group,18050,18500,Thu Jan 08 2015 01:00:00 GMT-0800 (PST)
