num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
97999,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2cm421374,ca,4.1,20520.0,white,black,nissan infiniti lt,23300,24500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98000,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4cm625479,ca,4.1,41783.0,black,beige,nissan infiniti lt,20200,21500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98001,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap2cm810277,ca,4.1,33934.0,white,gray,nissan infiniti lt,17900,18500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98002,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm935147,ca,4.2,29727.0,black,black,nissan infiniti lt,21000,22250,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
98003,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2cm420645,ca,4.3,16943.0,white,black,nissan infiniti lt,23600,24000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98004,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm625347,ca,5.0,45476.0,silver,black,nissan infiniti lt,19900,22000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98005,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm625861,ca,4.5,18552.0,black,black,nissan infiniti lt,22000,21500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
98006,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm936749,ca,4.3,20413.0,white,beige,nissan infiniti lt,22100,23750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98007,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm624208,ca,4.0,12797.0,gray,black,nissan infiniti lt,22700,22250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98008,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm620141,ca,3.7,28021.0,black,black,nissan infiniti lt,21400,19500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98009,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5cm935124,ca,3.9,33613.0,black,black,nissan infiniti lt,20600,18500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
98010,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm932429,ca,3.7,39752.0,blue,beige,nissan infiniti lt,20400,20000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
98011,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek0cm424385,ca,3.2,14882.0,white,black,nissan infiniti lt,23900,22250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
