num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
98999,2011,Mazda,Mazda3,s Sport,Hatchback,automatic,jm1bl1k58b1392382,ga,3.2,64048.0,black,black,santander consumer,9925,11000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
99000,2011,Mazda,CX-7,i SV,SUV,automatic,jm3er2am8b0379638,ca,2.6,34453.0,gray,black,"jpmorgan chase bank,n.a.",12150,12500,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
99001,2011,Mazda,CX-9,Touring,SUV,automatic,jm3tb2cvxb0309186,ca,3.1,46365.0,gray,black,"jpmorgan chase bank,n.a.",15600,17750,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
99002,2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug7b1479625,ca,3.0,44698.0,blue,black,"jpmorgan chase bank,n.a.",9150,10250,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
99003,2011,Mazda,Mazda3,s Sport,Hatchback,automatic,jm1bl1k64b1408389,ca,2.8,34593.0,white,black,"jpmorgan chase bank,n.a.",11550,10750,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
99004,2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1uf3b1468614,tn,4.1,67498.0,—,black,chrysler capital,7925,8600,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
99005,2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb0ba437537,wa,3.5,50469.0,blue,black,horizon ford,24200,24700,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
99006,2011,mitsubishi,endeavor,awd ls,Sedan,automatic,4a4jn2as7be026207,nc,4.6,69527.0,silver,gray,meridian remarketing,9475,9900,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
99007,2011,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff0be023197,tx,3.7,70465.0,silver,black,westlake financial services,7325,8900,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
99008,2011,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu6bu004924,fl,1.9,102869.0,black,black,regional acceptance corporation / greenville,5550,5100,Thu Jan 08 2015 01:30:00 GMT-0800 (PST)
99009,2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb6ba423562,az,4.4,32559.0,black,black,right toyota,26200,26500,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
99010,2011,Mitsubishi,Outlander,SE,SUV,automatic,ja4as3aw8bu036494,fl,3.4,71537.0,white,black,bright star credit union,9100,8500,Fri Jan 09 2015 10:45:00 GMT-0800 (PST)
99011,2011,Mitsubishi,Outlander Sport,SE,SUV,automatic,ja4ar4au1bz000617,pa,2.2,74310.0,blue,black,buick gmc of mahwah,10250,8400,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
99012,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb8ba665776,ga,4.4,53212.0,gray,tan,s m z auto import inc,24400,23500,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
99013,2011,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be1ba752114,tx,3.4,53681.0,black,tan,frank kent cadillac ltd,29600,31600,Wed Jan 07 2015 10:20:00 GMT-0800 (PST)
99014,2011,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7bb3ba412361,fl,4.0,53058.0,black,brown,the collection,38200,37800,Thu Jan 08 2015 10:31:00 GMT-0800 (PST)
99015,2011,Mercedes-Benz,E-Class,E350,Coupe,automatic,wddkj5gb9bf069575,tx,4.8,23335.0,white,black,bank of america,27900,28900,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
99016,2011,Mitsubishi,Outlander Sport,ES,SUV,automatic,ja4ap3au2bz015837,fl,4.1,32517.0,silver,black,zimmerman auto brokers inc,9800,11500,Fri Jan 09 2015 09:30:00 GMT-0800 (PST)
99017,2011,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb5ba369946,fl,3.7,48988.0,gray,tan,mercedes benz of tampa,24000,24000,Thu Jan 15 2015 01:50:00 GMT-0800 (PST)
99018,2011,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,wdcgg5gbxbf558320,fl,4.8,16758.0,white,tan,mercedes benz of tampa,25400,25000,Thu Jan 08 2015 09:45:00 GMT-0800 (PST)
99019,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4bc144449,tn,4.3,69079.0,white,black,wholesale inc # 2,9325,10500,Wed Jan 14 2015 10:30:00 GMT-0800 (PST)
99020,2011,Nissan,Altima,3.5 SR,Sedan,automatic,1n4bl2ap4bn480806,tx,2.6,78282.0,black,black,gunn buick gmc ltd,10550,11100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
99021,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxbn450219,ga,2.0,96822.0,black,gray,remarketing by ge/nextgear capital,8150,7900,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
99022,2011,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cpxbt009117,ca,3.8,41537.0,white,beige,nissan-infiniti lt,9500,10400,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
99023,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3bn497026,la,2.4,140434.0,white,gray,"jpmorgan chase bank,n.a.",6600,6600,Wed Jan 28 2015 03:00:00 GMT-0800 (PST)
99024,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9bc142504,nc,4.0,57414.0,white,black,hendrick lexus northlake,9600,10000,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
99025,2011,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0bc837431,ga,3.2,91234.0,—,tan,santander consumer,10900,11100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
99026,2011,Nissan,Frontier,SV,Crew Cab,automatic,1n6ad0er0bc444378,la,2.9,83772.0,black,tan,eddie tourelles northpark nissan inc,12450,11400,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
99027,2014,Chevrolet,Malibu,LS,Sedan,automatic,1g11b5sl2ef248248,ga,3.7,8757.0,silver,gray,gm financial,14400,14400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
99028,2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sl8ef286256,ca,4.9,13580.0,white,black,infiniti of montclair,15650,16000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
99029,2014,Chevrolet,Malibu,LS,Sedan,automatic,1g11b5sl5ef120232,fl,4.1,7927.0,gray,gray,d&a fine cars,14350,14600,Fri Jan 09 2015 09:25:00 GMT-0800 (PST)
99030,2014,Chevrolet,Malibu,LS,Sedan,automatic,1g11b5sl2ef211300,ga,4.9,13500.0,blue,gray,gm financial,14100,14500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
99031,2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl5ef295233,fl,4.0,9737.0,black,black,gm remarketing,15500,16200,Mon Jan 26 2015 05:00:00 GMT-0800 (PST)
99032,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6bc856372,ga,4.4,26844.0,black,black,nissan-infiniti lt,17600,19400,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
