num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
99999,2008,Honda,Element,EX,SUV,automatic,5j6yh18728l013677,tx,3.8,106383.0,blue,black,ge fleet services for itself/servicer,9225,8200,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
100000,2008,Honda,Odyssey,EX,Minivan,automatic,5fnrl38428b003678,fl,2.5,112155.0,gray,gray,courtesy palm harbor honda,7350,6400,Thu Jan 08 2015 16:30:00 GMT-0800 (PST)
100001,2008,Honda,CR-V,EX-L,SUV,automatic,jhlre38768c033139,ca,4.5,80205.0,blue,gray,south coast toyota,11050,12500,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
100002,2008,Hyundai,Sonata,GLS,Sedan,automatic,5npet46cx8h374880,nc,2.0,56239.0,silver,gray,primeritus remarketing / chesterfield impor,5325,6700,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
100003,2008,Kia,Sorento,LX,SUV,automatic,kndjd735185852154,tx,2.7,92128.0,silver,gray,shamaley ford,5325,4500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
100004,2008,Jeep,Patriot,Sport,SUV,automatic,1j8ft28w68d640748,ca,2.2,103578.0,silver,black,us bank,5425,5250,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
100005,2008,Jeep,Wrangler,X,SUV,manual,1j4fa24198l594906,ga,3.6,66980.0,green,gray,onesource/lagrange toyota inc,14500,15000,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
100006,2008,Jeep,Commander,Sport,SUV,automatic,1j8hh48kx8c202985,la,2.8,138498.0,silver,black,"jpmorgan chase bank,n.a.",5975,5800,Wed Jan 28 2015 03:00:00 GMT-0800 (PST)
100007,2008,Kia,Sorento,EX,SUV,automatic,kndjd736785774651,tx,2.4,83247.0,blue,gray,don davis nissan inc,8075,8900,Wed Jan 07 2015 10:20:00 GMT-0800 (PST)
100008,2008,Kia,Rondo,LX,Wagon,automatic,knafg526087149111,nc,1.9,141639.0,white,gray,dt credit corporation,2800,2100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
100009,2008,Jeep,Wrangler,Unlimited X,SUV,manual,1j8gb39188l513635,fl,4.2,68222.0,yellow,gray,gm financial,14200,14500,Wed Jan 14 2015 09:10:00 GMT-0800 (PST)
100010,2008,Kia,Sedona,LX,Minivan,automatic,kndmb233186262695,ga,2.4,147949.0,blue,gray,capital one auto finance,1625,2700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
