num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
100999,2005,Chevrolet,Tahoe,LS,SUV,automatic,1gnec13t05r130170,fl,3.4,140641.0,red,beige,dyer chevrolet,6625,7000,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
101000,2005,Chevrolet,Express Cargo,3500,Van,automatic,1gchg39u351162017,az,1.9,220832.0,white,gray,blazer motors i35,3125,2950,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
101001,2005,chrysler,pacifica,awd v6 touring,Sedan,manual,2c4gf68485r364378,ca,2.8,57890.0,black,black,felix chevrolet & cadillac,4550,1200,Wed Jan 07 2015 04:30:00 GMT-0800 (PST)
101002,2005,Chrysler,300,Base,Sedan,automatic,2c3ja43r15h589344,nc,2.8,162054.0,blue,black,dt credit corporation,2950,2000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
101003,2005,Chrysler,300,C,Sedan,automatic,2c3aa63h35h132537,nc,2.0,160115.0,blue,gray,santander consumer,4550,3200,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
101004,2005,chrysler,300,4x2 v8 300c srt8,Sedan,automatic,2c3aa73w75h675782,pa,3.8,81029.0,silver,black,jack pfister autos,8225,10300,Fri Jan 09 2015 09:30:00 GMT-0800 (PST)
101005,2005,Chrysler,300,C,Sedan,automatic,2c3aa63h85h668206,ca,3.2,110674.0,green,beige,redline remarketing,6200,6700,Wed Jan 07 2015 12:05:00 GMT-0800 (PST)
101006,2005,Chrysler,300,C,Sedan,automatic,2c3aa63h95h697102,pa,3.8,57325.0,silver,gray,koons tysons toyota,7750,8500,Fri Jan 09 2015 09:30:00 GMT-0800 (PST)
101007,2005,Ford,Altima,Base,Sedan,automatic,2c8gf68495r276020,il,1.9,155088.0,blue,gray,nationwide acceptance,2425,1800,Thu Jan 15 2015 06:00:00 GMT-0800 (PST)
101008,2005,Chrysler,300,C,Sedan,automatic,2c3aa63h55h170139,va,2.7,116643.0,purple,brown,"jpmorgan chase bank,n.a.",5750,5600,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
