num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
101999,1999,Volkswagen,Passat,GLX V6,Sedan,automatic,wvwpd63b4xe413247,ca,1.9,139640.0,black,tan,capistrano volkswagen,925,850,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
102000,1999,Ford,Altima,Base,Sedan,automatic,4t3zf13c9xu114988,fl,1.9,202235.0,white,tan,branford motor 1,1700,1100,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
102001,1999,Toyota,Camry,LE,Sedan,automatic,4t1bg22k2xu865226,fl,1.9,117344.0,beige,beige,margate volvo,1900,1400,Fri Jan 16 2015 01:35:00 GMT-0800 (PST)
102002,1998,Buick,Century,Custom,Sedan,automatic,2g4ws52m9w1589611,nc,2.7,158396.0,silver,gray,crossroads ford of wake forest inc,900,700,Mon Jan 12 2015 08:31:00 GMT-0800 (PST)
102003,1999,Toyota,Camry,LE,Sedan,automatic,4t1bg22k5xu597451,ma,1.9,168040.0,gray,gray,boch honda west,1400,1600,Thu Jan 08 2015 18:30:00 GMT-0800 (PST)
102004,1999,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e6xz147614,ma,1.9,136291.0,beige,tan,boch new to you superstore,1175,1100,Thu Jan 08 2015 18:30:00 GMT-0800 (PST)
102005,1998,BMW,3 Series,328i,Sedan,automatic,wbacd4323wav65784,ga,2.0,152726.0,silver,black,charitable adult rides services/car donating is,2075,800,Thu Jan 08 2015 12:30:00 GMT-0800 (PST)
102006,1999,Volkswagen,New Beetle,GLS,Hatchback,automatic,3vwca21cxxm471933,ga,2.0,106753.0,black,black,titlemax/jonesboro ga2,1625,650,Thu Jan 22 2015 04:30:00 GMT-0800 (PST)
102007,1998,Ford,Mustang,Base,Convertible,automatic,1fafp4443wf215863,tn,3.2,236955.0,blue,gray,lance cunningham ford,375,800,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
102008,1998,dodge,grand,carav fwd se,Sedan,automatic,2b4gp4431wr701020,wi,1.9,104722.0,blue,gray,braeger chevrolet,775,400,Wed Jan 14 2015 10:00:00 GMT-0800 (PST)
102009,1998,ford,expedition,4x4 xlt,Sedan,automatic,1fmpu18l8wla40501,nc,2.2,350096.0,silver,gray,crossroads ford of kernersville inc,25,500,Mon Jan 12 2015 00:31:00 GMT-0800 (PST)
102010,1998,dodge,ram,1500 lramie slt,Sedan,automatic,1b7hc13z3wj206460,nc,2.4,185767.0,silver,—,crossroads ford inc,1075,1200,Mon Jan 12 2015 09:00:00 GMT-0800 (PST)
102011,1998,dodge,stratus,Base,Sedan,automatic,1b3ej46x1wn267059,nc,1.9,175594.0,purple,gray,crossroads ford lincoln of shelby,450,400,Mon Jan 12 2015 08:31:00 GMT-0800 (PST)
102012,1998,Ford,Mustang,Base,Coupe,automatic,1fafp4046wf129775,nc,2.0,227847.0,black,gray,dt inventory,1050,300,Tue Jan 13 2015 08:30:00 GMT-0800 (PST)
102013,1998,Honda,Accord,EX V6,Sedan,automatic,1hgcg1656wa045465,nc,2.5,311339.0,green,beige,crossroads ford inc,500,200,Mon Jan 12 2015 08:31:00 GMT-0800 (PST)
102014,1998,Lexus,ES 300,Base,Sedan,automatic,jt8bf28g2w5019003,ma,1.9,1.0,gray,gray,boch new to you superstore,2825,400,Thu Jan 15 2015 10:30:00 GMT-0800 (PST)
102015,1998,Honda,Accord,EX V6,Sedan,automatic,1hgcg1655wa009346,ma,2.1,235203.0,silver,tan,boch new to you superstore,925,700,Thu Jan 22 2015 10:30:00 GMT-0800 (PST)
102016,1998,Lincoln,Continental,Base,Sedan,automatic,1lnfm97v1wy671851,va,2.2,127238.0,blue,gray,brown honda,1300,500,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
102017,1998,Honda,Accord,LX,Sedan,manual,1hgcg554xwa216086,nc,2.1,212176.0,green,beige,rick hendrick city chevrolet,1075,1000,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
