num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
104999,2011,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c51bl715878,wi,3.8,19389.0,gray,—,financial services remarketing (lease),27800,28000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
105000,2011,Cadillac,SRX,Luxury,SUV,automatic,3gyfndey2bs668745,pa,4.7,39950.0,gray,beige,924 auto corp,21500,23200,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
105001,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkseaxbg129979,ne,3.6,99791.0,gray,black,dm northwest inc,17050,16500,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
105002,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkse3xbg138778,tx,2.3,103562.0,black,gray,mid city mcandrew motors,19450,20400,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
105003,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse08bg133646,ca,4.1,34546.0,black,black,aaero sweet company,23600,24750,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
105004,2011,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcpkte36bg251214,sc,3.5,41952.0,red,black,faulkner auto sales,28500,29000,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
105005,2011,Cadillac,Escalade ESV,Luxury,SUV,automatic,1gys4hef6br128003,ga,3.5,95088.0,black,black,jim ellis,27500,26500,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
105006,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse09bg402401,sc,4.7,36290.0,black,gray,pee dee auto buyers,23500,22500,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
105007,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkse39bg255221,fl,4.4,62954.0,silver,gray,maher chevrolet inc,23500,26100,Thu Jan 08 2015 01:50:00 GMT-0800 (PST)
105008,2011,Chevrolet,Camaro,2SS,Coupe,automatic,2g1fk1ej1b9208708,mo,2.9,29849.0,red,gray,first community credit union,22300,20700,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
105009,2011,Chevrolet,Suburban,LT 1500,SUV,automatic,1gnskje33br399956,pa,3.7,45075.0,black,black,rjk auto brokers llc,27600,31300,Fri Jan 09 2015 09:15:00 GMT-0800 (PST)
105010,2011,Chevrolet,Suburban,LT 1500,SUV,automatic,1gnskje36br210555,nj,2.3,69692.0,white,black,auto liquidations inc,25400,17400,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
105011,2011,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5s93b7251958,nv,2.7,60580.0,gray,black,findlay north volkswagen,8675,8100,Thu Jan 08 2015 11:45:00 GMT-0800 (PST)
105012,2011,Chevrolet,Camaro,2SS,Coupe,manual,2g1ft1ew9b9123981,fl,4.5,11032.0,white,black,vroom,23500,22000,Wed Jan 21 2015 08:15:00 GMT-0800 (PST)
