num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
108999,2011,Infiniti,M56,Base,Sedan,automatic,jn1ay1ap7bm520595,ga,2.4,73165.0,white,beige,ford-lincoln dealer program,22000,21700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
109000,2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb8bls19046,ca,2.1,21126.0,black,black,"jpmorgan chase bank,n.a.",28200,24750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
109001,2011,Jaguar,XF,Supercharged,Sedan,automatic,sajwa0he8bmr99875,ca,3.3,45534.0,purple,brown,"jpmorgan chase bank,n.a.",28800,27750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
109002,2011,Jaguar,XK,Base,Coupe,automatic,sajwa4fb4blb43319,ca,4.3,48877.0,gray,black,"jpmorgan chase bank,n.a.",31600,33000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
109003,2011,Jaguar,XJ,XJL,Sedan,automatic,sajwa2gbxblv06531,ca,2.3,65437.0,black,black,"jpmorgan chase bank,n.a.",30700,26250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
109004,2011,Jaguar,XK,Base,Convertible,automatic,sajwa4gbxblb41248,ca,3.4,22879.0,gray,black,"jpmorgan chase bank,n.a.",39300,38000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
109005,2011,Jaguar,XJ,XJL,Sedan,automatic,sajwa2gb7blv17938,ca,3.9,30799.0,blue,blue,jaguar north america llc,37600,29500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
109006,2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb3blr95178,ca,3.4,28716.0,silver,beige,"jpmorgan chase bank,n.a.",27100,26250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
109007,2011,Jaguar,XJ,XJL,Sedan,automatic,sajwa2gb4blv01308,ca,4.8,31932.0,black,black,jaguar north america llc,37400,31500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
109008,2011,Jeep,Wrangler,Sport,SUV,automatic,1j4aa2d18bl623488,oh,4.2,36552.0,black,black,fiserv/usb dealer services northstar exchange,18550,18000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
109009,2011,Jaguar,XK,XKR,Coupe,automatic,sajwa4dc9bmb43290,ca,4.4,27877.0,red,black,"jpmorgan chase bank,n.a.",42700,46500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
109010,2011,Jaguar,XF,Base,Sedan,automatic,sajwa0fbxbls02833,ca,2.6,17841.0,blue,tan,"jpmorgan chase bank,n.a.",26700,22250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
