num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
109999,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew2eda20167,mo,4.4,4200.0,white,gray,u-haul technical center,23500,22800,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110000,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew5eda31504,mo,4.6,2515.0,white,gray,u-haul technical center,23800,22800,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110001,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew5eda31499,mo,3.9,9599.0,blue,gray,u-haul technical center,22700,22800,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110002,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew4eda10188,co,4.9,2744.0,white,gray,u-haul,23700,23200,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
110003,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew6eda10189,co,3.8,7390.0,white,gray,u-haul,23200,22600,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
110004,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl1eda97844,tn,4.4,17169.0,white,gray,avis budget group,19350,19400,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110005,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew6eda77259,tn,4.9,17511.0,white,gray,ars/enterprise,21600,21200,Wed Jan 14 2015 10:00:00 GMT-0800 (PST)
110006,2014,Ford,E-Series Van,E-150,E-Series Van,automatic,1ftne1ew3eda35318,fl,4.9,3911.0,white,gray,apex fleet as agent or assignee of gecfs,21200,21000,Fri Jan 09 2015 09:35:00 GMT-0800 (PST)
110007,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g99euc09341,il,4.3,10779.0,silver,gray,lease plan usa,21300,20400,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
110008,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbss3bl1edb00298,ga,4.1,20061.0,beige,tan,ford motor credit company,24100,25600,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
110009,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl2eda25986,ga,3.6,33928.0,silver,gray,avis budget group,18050,17700,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
110010,2014,Ford,Edge,Sport,SUV,automatic,2fmdk3ak9eba84706,ga,4.8,21932.0,silver,black,budget rac of atlanta,29500,28500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110011,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl2eda25812,ga,4.3,34253.0,white,gray,avis budget group,17950,17800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110012,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc0eba38727,tn,4.4,48440.0,—,gray,avis corporation,23800,23100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
110013,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl5eda65608,ga,3.8,33295.0,silver,gray,avis budget group,18150,17500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
110014,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j95eua79160,tn,4.3,41838.0,—,tan,ars/avis budget group,19350,20100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
110015,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx3euc16814,fl,4.6,10643.0,white,gray,"ford motor credit company,llc",18200,18600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
110016,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j97eud17574,ca,4.9,8001.0,gray,black,"ford motor credit company,llc",22500,21600,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
110017,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g91eua78986,tn,4.3,34304.0,—,black,avis corporation,18700,17700,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
110018,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g92euc53925,ga,4.3,33275.0,blue,gray,avis budget group,18700,17900,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
110019,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx7euc00647,il,4.6,15103.0,silver,gray,lease plan usa,17750,17200,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
110020,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j9xeud38967,ga,4.4,28413.0,white,gray,easy car leasing llc dba brac of birmingham,21000,21600,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
110021,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl1eda14851,ga,3.6,40108.0,white,gray,ars/avis budget group,17450,18200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110022,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j92eua79486,tn,3.9,41660.0,—,black,ars/avis budget group,19350,19400,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
110023,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j93euc24216,ga,4.1,34374.0,blue,gray,avis budget group,21600,20200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110024,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j95euc03223,tn,3.8,24928.0,—,black,budget rent a car/atlanta,22400,23600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110025,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx5euc46929,tn,3.9,29154.0,—,gray,avis budget group,17000,16700,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
110026,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g93eua24010,tn,4.6,42574.0,—,gray,avis budget group,17100,16100,Wed Jan 14 2015 00:00:00 GMT-0800 (PST)
110027,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g94eua86953,tn,3.5,44475.0,—,gray,ars/avis budget group,16850,16800,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110028,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j97eub34417,tn,4.2,28050.0,—,black,budget rent a car/atlanta,20600,20100,Wed Jan 14 2015 10:00:00 GMT-0800 (PST)
110029,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f83egc01827,tn,4.3,31427.0,—,black,ars/enterprise,28400,28900,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
110030,2014,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt4egc60751,ga,4.8,22913.0,silver,black,budget rac of atlanta,35200,34500,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110031,2014,Ford,Explorer,Base,SUV,automatic,1fm5k7b83ega05425,tn,4.0,13185.0,black,gray,"ford motor credit company,llc",21200,21500,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110032,2014,Ford,F-150,STX,SuperCrew,automatic,1ftew1cm2eke39690,ca,4.9,5961.0,silver,gray,"ford motor credit company,llc",24500,25400,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
110033,2014,Ford,F-150,FX2,SuperCrew,automatic,1ftfw1cf8efb76961,ca,4.4,2179.0,gray,black,"ford motor credit company,llc",26100,32000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
110034,2014,Ford,Expedition,XLT,SUV,automatic,1fmju1j56eef31458,tn,3.6,16129.0,red,beige,ford motor credit company,32700,34000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110035,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f83ega23790,tn,4.3,42258.0,—,black,ars/avis budget group,26800,26700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110036,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f81ega92516,ga,3.7,40927.0,red,black,avis corporation,27500,27200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
110037,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f80egb11850,tn,3.7,42058.0,—,black,avis corporation,28300,26800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
110038,2014,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt5egb75093,ne,4.1,22632.0,white,black,auto outlet,35200,34100,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
110039,2014,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt5egc60743,ga,4.8,26980.0,black,black,budget rac of atlanta,34900,34000,Mon Jan 12 2015 10:00:00 GMT-0800 (PST)
110040,2014,Ford,Expedition,EL Limited,SUV,automatic,1fmjk1k50eef35185,tn,5.0,22873.0,—,black,budget rent a car/atlanta,35200,34300,Wed Jan 14 2015 00:00:00 GMT-0800 (PST)
110041,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ct2efa15883,ca,4.9,9476.0,white,black,"ford motor credit company,llc pd",33200,35900,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
110042,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf3ekd18541,mo,4.1,11174.0,white,gray,u-haul technical center,18500,17800,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110043,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf3ekd18538,mo,4.9,12623.0,white,gray,u-haul technical center,18500,18400,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110044,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef5efc51791,ga,4.9,18563.0,white,black,ars/thrifty car rental/greer,35200,34500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
110045,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf2ekd17817,mo,4.3,7655.0,white,gray,u-haul technical center,18500,18200,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110046,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf6ekd18663,mo,4.8,7365.0,white,gray,u-haul technical center,18500,18600,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110047,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef6efb77913,ga,4.8,14475.0,silver,black,ars/thrifty car rental/greer,35500,34700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110048,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf1ekd18537,mo,4.1,11945.0,blue,gray,u-haul technical center,18500,17800,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
110049,2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef3efb77903,ga,4.6,13067.0,red,black,ars/thrifty car rental/greer,34300,34800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110050,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef8efa85380,ga,4.6,17670.0,white,gray,ars/thrifty car rental/greer,35100,34700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110051,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm1efa17984,tn,4.9,19515.0,red,gray,ford-lincoln dealer program,23600,23400,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
110052,2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef0efb11129,ga,3.8,17364.0,black,black,ars/thrifty car rental/greer,34200,34000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
110053,2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef6efb48685,ga,4.9,17109.0,white,gray,ars/thrifty car rental/greer,33700,34700,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110054,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf3ekd16644,or,4.1,8195.0,white,gray,u-haul,18500,18600,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
110055,2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj0em102273,ca,2.8,10730.0,gray,black,"ford motor credit company,llc pd",11050,9000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
110056,2014,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ejxem121909,ga,3.7,38409.0,silver,gray,avis corporation,10050,9700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
110057,2014,Ford,Fiesta,Titanium,Sedan,automatic,3fadp4cj0em201111,ga,3.9,31937.0,white,gray,easy car leasing llc dba brac of birmingham,12150,12800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
110058,2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k21el307556,ga,4.4,13646.0,silver,black,avis budget group,12850,12200,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
110059,2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k28el131802,ca,4.5,38527.0,gray,black,"ford motor credit company,llc",11900,11000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
110060,2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k29el151492,ga,4.5,34036.0,silver,black,ars/avis budget group,12150,13100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
110061,2014,Ford,Focus,SE,Sedan,automatic,1fadp3f27el273195,tn,3.1,19765.0,red,black,avis budget group,12500,11700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110062,2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k22el296437,tn,4.5,21365.0,—,black,avis budget group,12600,12600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
110063,2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k26el214337,fl,4.6,40277.0,white,black,ars/avis budget group,11800,12000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
110064,2014,Ford,Focus ST,Base,Hatchback,manual,1fadp3l91el149764,ca,4.6,7085.0,blue,black,"ford motor credit company,llc",19150,20500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
110065,2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k27el158246,tn,4.3,42465.0,silver,black,avis corporation,11700,11400,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
110066,2014,Ford,Focus,SE,Sedan,automatic,1fadp3f23el273193,tn,3.6,14477.0,red,black,avis budget group,12600,12000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
110067,2014,Ford,Focus,SE,Sedan,automatic,1fadp3f23el296649,tn,4.3,16386.0,red,gray,avis budget group,12600,12300,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
