num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
110999,2012,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e38c1281466,ca,2.5,65687.0,gold,black,the hertz corporation,9650,9500,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
111000,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1rh6e4xcu115578,ca,3.4,19129.0,black,gray,fiserv/usb dealer services northstar exchange,15650,18500,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
111001,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e01cf257554,oh,4.7,25086.0,silver,gray,toyota financial services,11400,11400,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
111002,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e01cf191528,nj,4.6,38536.0,black,tan,lease plan usa,10100,10200,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
111003,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e08cf117873,wi,4.4,23991.0,white,brown,fiserv/usb dealer services northstar exchange,11500,12600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
111004,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e02cf398915,mo,3.8,39495.0,white,gray,sutton ford/ge,10050,10300,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
111005,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e07cf386639,ut,3.7,51699.0,white,black,the hertz corporation,9925,10000,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
111006,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu1cf192827,tn,4.1,112139.0,silver,gray,ge fleet services for itself/servicer,6975,7200,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
111007,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkrfed7cj194318,nv,4.0,42301.0,silver,gray,unique autos,15050,14700,Fri Jan 09 2015 12:00:00 GMT-0800 (PST)
111008,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e01cf206025,mi,4.1,19541.0,gold,brown,gm financial leasing,11400,11800,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
111009,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zd5e00cf386737,ca,2.5,59355.0,silver,black,the hertz corporation,10250,10500,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
111010,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1rd6e42cu104831,wi,4.2,31274.0,black,black,fiserv/usb dealer services northstar exchange,14450,16100,Wed Jan 14 2015 10:00:00 GMT-0800 (PST)
111011,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu8cf218307,wi,4.7,83442.0,white,gray,wheels exchange llc,8275,9500,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
111012,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e03cf383561,or,3.6,28683.0,white,black,the hertz corporation,11150,11600,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
111013,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e00cf324261,mi,4.0,27055.0,gray,gray,gm financial leasing,10950,10100,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
111014,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e03cf154607,mi,3.1,42134.0,silver,gray,gm financial leasing,10000,8200,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
111015,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e00cf181408,mi,3.6,39154.0,black,gray,gm financial leasing,10200,9100,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
111016,2012,Chevrolet,Traverse,LT,SUV,automatic,1gnkvged6cj130904,va,3.5,112141.0,white,black,wheels exchange llc,12850,11400,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
111017,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e09cf231772,mi,4.7,38552.0,silver,gray,gm financial leasing,10250,10500,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
111018,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5eu4cf386746,ut,3.7,49315.0,white,black,the hertz corporation,10200,10300,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
111019,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e09cf148310,tx,1.9,99016.0,brown,black,td auto finance,7400,6700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
111020,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e06cf398934,va,4.4,46298.0,white,gray,donlen corporation,9825,9500,Thu Jan 15 2015 01:20:00 GMT-0800 (PST)
111021,2012,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sh6c4179632,wi,4.4,24643.0,white,black,capital one auto finance,8400,8700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
111022,2012,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e32c1286582,tx,3.6,56222.0,white,gray,the hertz corporation,10800,10200,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
111023,2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1ze5e03cf376815,md,2.4,56751.0,silver,black,dtg operations inc,10550,9300,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
111024,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e00cf103940,mi,4.3,32492.0,beige,tan,gm financial leasing,10600,10700,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
111025,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkvfedxcj273140,wi,4.2,87834.0,blue,gray,wheels exchange llc,13900,14500,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
111026,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e45cu112320,in,3.4,52205.0,gray,gray,ge fleet services for itself/servicer,12550,12000,Wed Jan 14 2015 05:30:00 GMT-0800 (PST)
