num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
113999,2011,Jeep,Grand Cherokee,Limited,SUV,automatic,1j4rr5gg5bc612722,pa,4.5,75730.0,black,black,reedman toll auto world,21300,19600,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
114000,2011,Kia,Forte,EX,Sedan,automatic,knafu4a29b5387706,pa,3.2,36210.0,gray,gray,"jpmorgan chase bank,n.a.",8700,7400,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
114001,2011,Jeep,Patriot,Sport,SUV,automatic,1j4nf1gb3bd111777,pa,4.2,54926.0,black,black,credit acceptance corp/vrs/southfield,11600,8500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
114002,2011,Jeep,Liberty,Limited,SUV,automatic,1j4pp5gk0bw548394,tx,4.5,110161.0,gray,black,"jpmorgan chase bank,n.a.",8850,8400,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
114003,2011,Kia,Forte,EX,Sedan,automatic,knafu4a28b5890661,fl,1.9,98494.0,gray,gray,nicholas financial inc/clearwater,5800,4900,Thu Jan 29 2015 07:01:00 GMT-0800 (PST)
114004,2011,Jeep,Liberty,Sport,SUV,automatic,1j4pp2gk8bw515741,wi,3.2,92360.0,black,gray,"jpmorgan chase bank,n.a.",8850,9200,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
114005,2011,Jeep,Liberty,Limited,SUV,automatic,1j4pp5gk7bw544584,tx,4.2,76597.0,beige,black,santander consumer,12000,12600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
114006,2011,Kia,Forte,EX,Sedan,automatic,knafu4a27b5391639,ga,3.6,76820.0,beige,gray,gm financial,6525,6500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
114007,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg3bc717527,wi,4.1,18959.0,gray,gray,wheels exchange llc,24500,24700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
114008,2011,Kia,Sorento,EX,SUV,automatic,5xykuda2xbg094065,fl,3.8,102416.0,black,beige,capital one auto finance,12400,11000,Wed Jan 21 2015 01:10:00 GMT-0800 (PST)
114009,2011,Jeep,Liberty,Sport,SUV,automatic,1j4pn2gk7bw577718,tn,4.2,30082.0,burgundy,beige,"fusion auto finance,llc",13600,14100,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
114010,2011,Jeep,Wrangler,Sport,SUV,manual,1j4aa2d16bl501082,ga,4.2,24174.0,green,black,chrysler capital,20100,19600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
114011,2011,Kia,Rio,LX,Sedan,automatic,knadh4a39b6731209,ga,2.6,92779.0,gray,gray,wells fargo dealer services,4000,4100,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
114012,2011,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1j4ba3h10bl602512,il,4.7,55169.0,blue,black,tdaf remarketing,21300,21700,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
114013,2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rs4gg1bc515760,wa,3.9,71384.0,black,beige,wells fargo dealer services,17050,16200,Wed Jan 14 2015 05:30:00 GMT-0800 (PST)
114014,2011,Jeep,Liberty,Sport,SUV,automatic,1j4pp2gk3bw506641,tn,4.4,68311.0,silver,gray,chrysler capital,10350,10800,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
