num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
116999,2014,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg9er406192,tx,4.9,8258.0,white,black,chrysler capital,15250,16000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
117000,2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg0er178806,il,4.1,45201.0,silver,black,avis corporation,18900,18700,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
117001,2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg2er337714,mo,4.3,30659.0,black,black,budget rent a car/wichita,18800,19000,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
117002,2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg8er264431,tn,4.6,42222.0,black,black,ge fleet services for itself/servicer,18800,17300,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
117003,2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg6er181239,wa,4.4,40540.0,silver,black,avis corporation,19000,19300,Wed Jan 14 2015 12:30:00 GMT-0800 (PST)
117004,2006,chrysler,pacifica,fwd v6,Sedan,automatic,2a4gm48486r891584,ut,2.3,62460.0,white,tan,capital one auto finance,4175,4800,Wed Jan 14 2015 03:30:00 GMT-0800 (PST)
117005,2006,Chevrolet,TrailBlazer,LT,SUV,automatic,1gndt13s762132365,md,1.0,136609.0,green,black,nationwide remarketing,3800,900,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
117006,2006,Chrysler,300,Touring,Sedan,automatic,2c3ka53g86h330537,nc,2.0,124446.0,white,gray,united auto credit/irvine,5675,2100,Tue Jan 20 2015 00:30:00 GMT-0800 (PST)
117007,2006,Chevrolet,TrailBlazer EXT,LS,SUV,automatic,1gnet16s466155322,il,3.7,124898.0,burgundy,black,wells fargo dealer services,4025,4800,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
117008,2006,Chrysler,PT Cruiser,Touring,Convertible,automatic,3c3jy55e46t281654,fl,2.3,95862.0,—,gray,autonation ford jacksonville,3025,1500,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
117009,2006,Chevrolet,Uplander,LS,Minivan,automatic,1gndv23l86d103048,mi,1.9,125293.0,burgundy,gray,santander consumer,1950,2000,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
117010,2006,Chrysler,300,Touring,Sedan,automatic,2c3ka53gx6h171505,il,2.2,41590.0,silver,beige,first merit bank,9550,4800,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
117011,2006,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s362319702,tx,2.6,136370.0,black,gray,dt credit corporation,3775,2800,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
