num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
118999,2014,Ford,Escape,S,SUV,automatic,1fmcu0f78eub75078,nj,3.1,22635.0,silver,black,"ford motor credit company,llc",14250,14300,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
119000,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g93eud10486,tx,3.7,13263.0,white,gray,avis budget group,21500,20200,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
119001,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g99eua79206,mo,4.1,41313.0,red,gray,ars/avis budget group,17300,17600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
119002,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j90euc54080,mo,4.8,35098.0,red,gray,avis budget group,21200,21900,Tue Jan 13 2015 13:30:00 GMT-0800 (PST)
119003,2014,Ford,Escape,SE,SUV,automatic,1fmcu9gx6euc02846,wi,4.5,29955.0,—,gray,ari,18550,18700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
119004,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j96eua30151,ca,4.4,16615.0,burgundy,black,"ford motor credit company,llc pd",23500,24700,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
119005,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j92eua79427,il,4.2,54247.0,black,black,ars/avis budget group,19950,19000,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
119006,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g92eua79502,mo,4.2,39516.0,black,gray,ars/avis budget group,17550,17300,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
119007,2001,Volkswagen,Passat,GLX V6,Wagon,automatic,wvwjh63b01e003675,ma,2.0,165256.0,silver,gray,norfolk county d a's office,950,650,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
119008,2001,Volkswagen,Passat,GLS 1.8T,Sedan,manual,wvwpd63b81p293481,fl,1.9,94619.0,white,beige,autonation toyota scion weston,1525,900,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
119009,2001,Toyota,Tundra,SR5,Access Cab,automatic,5tbrt34171s177767,ca,1.9,185278.0,blue,brown,first credit finance,3150,2000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
119010,2001,Saturn,S-Series,SC1,Coupe,automatic,1g8zp12881z106151,pa,2.0,147368.0,blue,gray,purple heart,775,350,Tue Jan 13 2015 13:01:00 GMT-0800 (PST)
119011,2001,Toyota,Corolla,CE,Sedan,automatic,1nxbr12ex1z417354,fl,1.9,198972.0,gray,gray,autonation nissan pembroke pines,975,700,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
119012,2001,Toyota,Tundra,Limited,Access Cab,automatic,5tbbt48101s152310,pa,1.9,142825.0,green,beige,credit acceptance corp/vrs/southfield,6500,4100,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
119013,2001,Volvo,V70,2.4M,Wagon,automatic,yv1sw61r512097073,tx,1.9,278142.0,silver,gray,dt inventory,450,500,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
119014,2001,Subaru,Forester,S,Wagon,manual,jf1sf65681g722791,va,2.5,143932.0,silver,gray,brown's chantilly mazda,1975,2300,Thu Jan 15 2015 01:05:00 GMT-0800 (PST)
119015,2001,Toyota,Highlander,V6,SUV,automatic,jtegf21a710024793,hi,2.3,115859.0,white,—,wells fargo dealer services,4425,900,Tue Jan 13 2015 16:00:00 GMT-0800 (PST)
119016,2001,Toyota,Highlander,V6,SUV,automatic,jtehf21ax10020418,ma,2.7,187058.0,red,gray,lexus of watertown,4450,3700,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
119017,2001,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwpd63b91p137983,va,2.3,75211.0,gold,beige,browns fairfax mazda,1650,2300,Thu Jan 15 2015 01:05:00 GMT-0800 (PST)
119018,2001,Volkswagen,New Beetle,GLS,Hatchback,automatic,3vwct21cx1m405691,md,2.0,135543.0,yellow,gray,gateway subaru,1575,1000,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
119019,2001,Toyota,Corolla,LE,Sedan,automatic,2t1br12e11c510751,ma,2.7,81521.0,silver,gray,lexus of watertown,2075,2100,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
119020,2001,Volvo,S80,T6,Sedan,automatic,yv1ts90d511182363,pa,2.9,124984.0,white,beige,credit acceptance corp/vrs/southfield,1350,1800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
119021,2001,Pontiac,Grand Prix,GTP,Sedan,automatic,1g2wr52191f193576,ga,1.9,180767.0,green,gray,lexus of greenville,1225,1100,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
119022,2001,Volvo,S40,Base,Sedan,automatic,yv1vs29511f657425,ca,2.0,129196.0,blue,black,walters auto sales/service inc,1000,650,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
