num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
119999,2014,Kia,Soul,+,Wagon,automatic,kndjp3a59e7078898,wi,4.6,8962.0,black,black,"kia motors america, inc",14050,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120000,2014,Kia,Soul,Base,Wagon,manual,kndjn2a25e7710379,mo,4.9,17130.0,green,black,santander consumer,12100,11300,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
120001,2014,Kia,Soul,+,Wagon,automatic,kndjp3a59e7078299,wi,4.7,12293.0,white,black,"kia motors america, inc",13900,13900,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120002,2014,Kia,Soul,+,Wagon,automatic,kndjp3a57e7729414,wi,4.8,11159.0,red,black,"kia motors america, inc",13950,14200,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120003,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a62eg488518,ca,4.6,32793.0,red,gray,avis corporation,16350,16400,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
120004,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a6xeg542406,ca,3.6,26546.0,silver,gray,enterprise vehicle exchange/orange,16850,16900,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
120005,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7078899,wi,3.7,13269.0,black,black,"kia motors america, inc",13900,13300,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120006,2014,Kia,Sorento,LX,SUV,automatic,5xyktca64eg523799,mn,4.7,37431.0,silver,black,avis corporation,17550,17900,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
120007,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a60eg539689,ca,4.4,25920.0,silver,gray,g & a investments inc/avis systems,16900,16900,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
120008,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7729867,wi,4.9,11388.0,red,black,"kia motors america, inc",13950,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120009,2014,Kia,Sorento,LX,SUV,automatic,5xyktca60eg450141,pa,4.5,36726.0,gray,gray,avis corporation,17500,17100,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
120010,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7729979,wi,4.5,8084.0,green,gray,"kia motors america, inc",14100,13900,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120011,2014,Kia,Soul,+,Wagon,automatic,kndjp3a58e7078231,wi,4.9,10533.0,blue,black,"kia motors america, inc",14000,13700,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120012,2014,Kia,Soul,+,Wagon,automatic,kndjp3a51e7729344,wi,4.7,11886.0,green,black,"kia motors america, inc",13950,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120013,2014,Kia,Sorento,SX,SUV,automatic,5xykwda74eg495542,il,5.0,12479.0,gray,gray,kia motors america/isg,27500,22000,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
120014,2014,Kia,Soul,+,Wagon,automatic,kndjp3a59e7074737,wi,5.0,11941.0,white,black,"kia motors america, inc",13950,14100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120015,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7725477,wi,4.4,9864.0,silver,black,"kia motors america, inc",14000,13600,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120016,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a60eg540065,ca,4.2,24532.0,burgundy,beige,g & a investments inc/avis systems,16750,17100,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
120017,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7730789,wi,4.9,5798.0,silver,black,"kia motors america, inc",14200,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120018,2014,Kia,Soul,+,Wagon,automatic,kndjp3a54e7078968,wi,4.5,9330.0,white,black,"kia motors america, inc",14050,13800,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120019,2014,Kia,Soul,+,Wagon,automatic,kndjp3a52e7079455,wi,4.8,10397.0,yellow,black,"kia motors america, inc",14000,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120020,2014,Kia,Soul,+,Wagon,automatic,kndjp3a57e7729431,wi,4.2,10475.0,green,gray,"kia motors america, inc",14000,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120021,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a62eg541573,ca,4.2,27402.0,black,gray,g & a investments inc/avis systems,16600,17100,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
120022,2014,Kia,Soul,Base,Wagon,automatic,kndjn2a24e7708686,ca,3.6,27649.0,green,black,kia motors finance,11100,12100,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
120023,2014,Kia,Sorento,LX,SUV,automatic,5xyktca62eg449993,tn,4.4,37890.0,white,black,avis corporation,17550,17500,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
120024,2014,Kia,Soul,+,Wagon,automatic,kndjp3a53e7078976,wi,4.9,6172.0,black,black,"kia motors america, inc",14200,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120025,2014,Kia,Soul,+,Wagon,automatic,kndjp3a5xe7074973,wi,5.0,8308.0,gray,black,"kia motors america, inc",14100,14100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120026,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a68eg484103,mo,3.8,39807.0,gray,gray,avis corporation,15850,15900,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
120027,2014,Kia,Soul,+,Wagon,automatic,kndjp3a52e7078497,wi,4.7,9615.0,brown,black,"kia motors america, inc",14050,14100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120028,2014,Kia,Sorento,LX,SUV,automatic,5xykt3a64eg541736,ca,4.3,29980.0,white,black,g & a investments inc/avis systems,16550,16900,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
120029,2014,Kia,Soul,+,Wagon,automatic,kndjp3a55e7077893,wi,4.9,11681.0,brown,black,"kia motors america, inc",13950,13800,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120030,2014,Kia,Soul,+,Wagon,automatic,kndjp3a56e7078096,wi,4.8,9419.0,yellow,black,"kia motors america, inc",14050,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120031,2014,Kia,Soul,Base,Wagon,manual,kndjn2a23e7013826,mn,3.5,12891.0,white,black,kia motors finance,12450,11300,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
120032,2014,Kia,Sportage,LX,SUV,automatic,kndpbcac8e7559958,co,3.9,18078.0,black,gray,"kia motors america, inc",17750,17800,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
120033,2014,Kia,Soul,+,Wagon,automatic,kndjp3a56e7078485,wi,4.9,8226.0,beige,black,"kia motors america, inc",14100,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
120034,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7730002,wi,4.0,7684.0,silver,—,"kia motors america, inc",14100,14100,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
