num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
121999,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g9xdr804583,mo,1.9,14886.0,white,brown,avis budget group,21800,17000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122000,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4dbl22237,nj,3.7,31130.0,black,black,"ford motor credit company,llc",28100,28300,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
122001,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g99dr810245,mo,4.7,21038.0,white,brown,avis budget group,21000,22200,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
122002,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba0dc093851,fl,2.9,33114.0,white,black,lexus financial services,31000,29600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
122003,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jkxdbl33260,mo,4.0,42159.0,black,gray,avis corporation,26100,26400,Wed Feb 25 2015 02:45:00 GMT-0800 (PST)
122004,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba6dc093241,fl,4.2,21523.0,black,gray,lexus financial services,32700,31400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
122005,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g90dr804642,mo,3.3,13279.0,white,brown,avis budget group,21700,21500,Wed Jan 14 2015 10:00:00 GMT-0800 (PST)
122006,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g90dr808559,mo,3.9,41113.0,—,tan,avis budget group,18750,18900,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
122007,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek9dg602543,ny,3.3,14975.0,black,brown,"ford motor credit company,llc",23700,23800,Wed Jan 14 2015 01:20:00 GMT-0800 (PST)
122008,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk0dg607356,il,3.8,44596.0,white,beige,"ford motor credit company,llc",19600,19300,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
122009,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ft7dg612589,mi,3.3,19388.0,black,black,"ford motor credit company,llc",26800,23300,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
122010,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk9dbl22153,nj,1.9,23337.0,gray,black,"ford motor credit company,llc",28600,24600,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
122011,2013,Lincoln,MKT,Base,Wagon,automatic,2lmhj5at9dbl55825,mo,4.4,29007.0,white,black,ford-lincoln dealer program,28100,28800,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122012,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk1dbl13919,fl,4.4,30700.0,green,beige,enterprise veh exchange/rental,27100,24200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
122013,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba4dc097823,fl,4.2,26744.0,black,black,zimmerman auto brokers inc,31900,32200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
122014,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba2dc112593,fl,3.9,14153.0,black,beige,lexus financial services,33700,29600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
122015,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g9xdr810271,mo,4.3,18867.0,black,tan,avis budget group,21200,22400,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
122016,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk7dbl12222,nj,3.6,17353.0,black,beige,"ford motor credit company,llc",29700,29400,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
122017,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba8dc109472,fl,2.6,23095.0,burgundy,beige,onesource/kendall toyota,32300,27400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
122018,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba9dc094285,fl,3.5,35120.0,black,tan,onesource/kendall toyota,30600,29800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
122019,2013,Lexus,RX 350,Base,SUV,automatic,2t2bk1ba0dc169439,oh,5.0,13915.0,brown,beige,lexus financial services,35600,35500,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
122020,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba8dc105213,fl,4.8,26164.0,silver,gray,onesource/kendall toyota,32000,30200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
122021,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g94dr810251,mo,4.7,18560.0,black,tan,avis budget group,21300,22000,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
122022,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk6dbl22207,nj,3.7,20420.0,white,black,"ford motor credit company,llc",29300,29000,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
122023,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba5dc115147,fl,4.1,20135.0,burgundy,beige,lexus financial services,32700,30700,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
122024,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ft7dg610308,nj,2.8,29454.0,white,beige,"ford motor credit company,llc",25500,24400,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
122025,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g91dr804584,mo,4.9,14952.0,white,brown,avis budget group,21700,22700,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
122026,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk2dbl18610,mi,4.9,12397.0,white,beige,"ford motor credit company,llc",30400,28600,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
122027,2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g98dr804582,mo,5.0,12009.0,white,brown,avis budget group,22200,23000,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
122028,2013,Mazda,6,i Touring Plus,Sedan,automatic,1yvhz8eh4d5m12740,wi,3.5,25144.0,black,black,"jpmorgan chase bank,n.a.",13700,13000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122029,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u77d1722045,tx,3.7,13520.0,white,black,"jpmorgan chase bank,n.a.",12400,11400,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
122030,2013,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb3dg004667,tn,2.0,16669.0,red,black,mercedes-benz financial services,24700,22500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
122031,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u77d1722613,tx,4.1,49376.0,white,black,avis corporation,10300,10500,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122032,2013,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl6d0147640,tx,3.6,44557.0,gray,black,the hertz corporation,11850,12100,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122033,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u78d1750680,tx,3.7,46982.0,gray,gray,avis corporation,10450,11100,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122034,2013,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1lyxd0158314,tx,2.9,62785.0,green,black,the hertz corporation,8375,8500,Wed Jan 14 2015 02:05:00 GMT-0800 (PST)
122035,2013,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl6d0148299,tn,4.4,63996.0,—,black,the hertz corporation,10450,11000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
122036,2013,Mazda,CX-5,Sport,SUV,automatic,jm3ke4be4d0159773,oh,4.4,19447.0,gray,black,pauley motor car co preowned vehicles llc,18150,19100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
122037,2013,Mazda,CX-9,Touring,SUV,automatic,jm3tb2ca6d0411567,ga,2.8,41132.0,black,black,avis corporation,19500,19800,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
122038,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb3dg016769,ca,3.9,25391.0,silver,black,mercedes-benz financial services,22800,23250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
122039,2013,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb9df980412,tn,2.8,14487.0,—,black,mercedes-benz financial services,25700,24500,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
122040,2013,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1ly6d0155300,tx,3.7,44968.0,gray,black,avis corporation,8850,9200,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
122041,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb9dr260964,ca,2.6,19977.0,black,black,mercedes-benz financial services,23000,21500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
122042,2013,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hbxdg022163,ca,4.4,23370.0,black,black,mercedes-benz financial services,24400,23250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
122043,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1up5d1779098,ca,3.8,43819.0,gray,black,avis rac/san leandro,10500,11400,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
122044,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb4da806570,ca,4.3,20714.0,gray,black,mercedes-benz financial services,23300,22500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
122045,2013,Lincoln,Navigator,Base,SUV,automatic,5lmjj2h50del04489,tn,4.8,33855.0,—,black,ars/avis budget group,32900,33300,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
122046,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb7da781874,ca,4.4,11811.0,white,black,mercedes-benz financial services,24400,24750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
122047,2013,Mazda,Mazda3,i Touring,Hatchback,automatic,jm1bl1lp8d1808109,pa,5.0,7098.0,white,black,"jpmorgan chase bank,n.a.",13300,14900,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
122048,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb5da783929,ca,3.5,17675.0,black,gray,mercedes-benz financial services,23700,23000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
122049,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8da793967,ca,4.0,24151.0,white,black,mercedes-benz financial services,22900,24500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
122050,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb2da798601,ga,3.8,30108.0,black,black,gm financial,22200,20800,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
122051,2013,Mazda,Mazda2,Sport,Hatchback,automatic,jm1de1ky8d0157261,ny,4.2,31299.0,green,black,santander consumer,9375,9100,Wed Jan 14 2015 01:50:00 GMT-0800 (PST)
