num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
122999,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba3dc093973,az,2.8,41873.0,blue,tan,lexus financial services,29700,29200,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
123000,2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl6d5000728,ga,4.2,19326.0,black,black,lexus financial services,34500,33000,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
123001,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4dbl14980,tx,4.1,25950.0,black,brown,music city autoplex llc,28200,28000,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
123002,2013,Lexus,RX 450h,Base,SUV,automatic,jtjbc1ba0d2058631,oh,3.6,24876.0,silver,black,wholesale inc # 2,38700,38600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
123003,2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c27d5185477,fl,4.4,24311.0,off-white,gray,lexus of pembroke pines,23600,23200,Wed Jan 21 2015 01:35:00 GMT-0800 (PST)
123004,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek0dg606092,tn,3.7,27237.0,—,tan,"ford motor credit company,llc",23500,23100,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
123005,2013,Lexus,RX 450h,Base,SUV,automatic,jtjbc1ba9d2053993,ca,4.4,17782.0,white,beige,richard j bartlett jr enterprises,40000,42000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
123006,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba9dc107682,mo,4.6,19133.0,silver,—,lexus financial services,33100,32900,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
123007,2013,Lexus,GS 350,Base,Sedan,automatic,jthce1bl6d5012866,wi,2.5,14023.0,black,beige,lexus financial services,34300,33400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
123008,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba3dc110027,fl,4.3,24344.0,gray,black,onesource/kendall toyota,31800,30800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
