num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
123999,2012,Ford,Escape,XLS,SUV,automatic,1fmcu9c79ckb83207,ne,3.5,75475.0,gray,gray,ari,9775,10400,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
124000,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk7d82cgb01120,tx,3.9,62140.0,black,black,"ford motor credit company,llc",19650,18000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
124001,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk7d84cga54348,ga,4.3,48388.0,gray,black,wells fargo dealer services,21300,21100,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
124002,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk8d89cga19066,fl,4.5,119151.0,silver,black,firkins chrysler jeep dodge,18250,17300,Tue Jan 20 2015 08:00:00 GMT-0800 (PST)
124003,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0dg1ckb62524,fl,4.2,38243.0,black,—,"ford motor credit company,llc pd",14350,14600,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
124004,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0dg1ckb74897,pa,4.2,15067.0,black,black,"ford motor credit company,llc",16450,15800,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
124005,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk8d87cgb02012,mn,4.5,55739.0,silver,black,ari,21700,22000,Thu Jan 15 2015 02:45:00 GMT-0800 (PST)
124006,2012,Ford,Expedition,EL Limited,SUV,automatic,1fmjk1k57cef41952,fl,4.1,31990.0,—,black,"ford motor credit company,llc",29800,30600,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
124007,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk7d86cga11727,fl,4.5,29668.0,blue,black,"ford motor credit company,llc pd",23600,24700,Wed Jan 21 2015 10:00:00 GMT-0800 (PST)
124008,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk7d86cga29919,ga,4.8,19718.0,gray,black,ford-lincoln dealer program,24800,24400,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
124009,2012,Ford,Escape,XLT,SUV,automatic,1fmcu9d79cka87396,pa,3.8,48298.0,gray,black,"ford motor credit company,llc",14600,14600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
124010,2012,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef6cfb47114,mi,4.3,8304.0,black,black,automobiles paille inc,32600,32400,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
124011,2012,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ft7x2b6xcea83371,mi,3.8,97606.0,white,gray,u-haul,17300,18200,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
124012,2012,Ford,F-150,Platinum,SuperCrew,automatic,1ftfw1et1cfb59239,mi,4.4,80180.0,black,brown,automobiles paille inc,26800,25100,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
124013,2012,Ford,F-150,XLT,SuperCab,automatic,1ftfx1ef3cfb16576,on,3.3,88425.0,blue,gray,jim pattison lease,19600,18600,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
124014,2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef7cfc65365,tn,3.8,50817.0,—,gray,midtown motors,23400,23000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
124015,2012,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ft7x2b63cea89092,tx,2.7,98418.0,—,gray,ford-lincoln dealer program,18000,16500,Thu Jan 22 2015 02:30:00 GMT-0800 (PST)
124016,2012,Ford,F-150,XLT,SuperCab,automatic,1ftex1em8cfa03636,tn,4.7,28168.0,—,gray,"ford motor credit company,llc",23200,24700,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
124017,2012,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ft7x2b67cea56581,la,4.1,98794.0,white,gray,"enterprise fleet management exchange, inc.",19100,16800,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
124018,2012,Ford,F-150,XLT,SuperCab,automatic,1ftfx1cf6cfa41424,tx,4.2,36749.0,silver,gray,"ford motor credit company,llc",19800,19700,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
124019,2012,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et3cfc47984,ga,3.4,95300.0,black,black,ford-lincoln dealer program,21200,25400,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
124020,2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ctxckd13649,tx,3.6,47697.0,—,gray,ford-lincoln dealer program,22400,22200,Thu Jan 15 2015 02:30:00 GMT-0800 (PST)
124021,2012,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1et7cfa09846,mo,4.3,104244.0,black,black,o'fallon motorsports,23500,21900,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
