num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
125999,2011,Mazda,Mazda6,s Grand Touring,Sedan,automatic,1yvhz8cb1b5m02792,nc,2.9,13007.0,gray,black,meridian remarketing,13750,13100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
126000,2011,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh0b5m11344,ca,2.9,74648.0,gray,black,tdaf remarketing,8000,7600,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
126001,2011,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c52bt094287,wi,3.8,19615.0,orange,beige,bmw mini financial services,12300,13500,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
126002,2011,Mazda,Mazda2,Sport,Hatchback,automatic,jm1de1hy5b0130524,az,2.7,194582.0,black,black,"jpmorgan chase bank,n.a.",3325,3300,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
126003,2011,Mercedes-Benz,SLK-Class,SLK300,Convertible,automatic,wdbwk5ea2bf242130,ca,2.4,34094.0,gray,black,onemain rem/emperor motors llc,25100,21750,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
126004,2011,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff2be031138,ga,3.7,66823.0,white,beige,wells fargo dealer services,7850,7400,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
126005,2011,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7bb8ba363898,tx,3.9,45382.0,—,brown,mercedes-benz financial services,39300,40500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
126006,2011,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be6ba679113,nc,2.7,64746.0,gray,tan,land rover charlotte,28600,25100,Wed Jan 21 2015 06:30:00 GMT-0800 (PST)
126007,2011,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb4br174761,tx,3.7,58651.0,white,—,mercedes-benz financial services,16800,17500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
126008,2011,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wddgf8bb8br147973,tx,3.7,39710.0,white,—,mercedes-benz financial services,18500,19500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
