num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
127999,2008,Toyota,Highlander,Sport,SUV,automatic,jtees43a382107924,fl,4.0,133223.0,black,beige,firkins chrysler jeep dodge,12600,14300,Tue Jan 20 2015 08:00:00 GMT-0800 (PST)
128000,2008,Toyota,RAV4,Sport,SUV,automatic,jtmbd32v086089116,mo,4.3,69149.0,red,black,tdaf remarketing,9650,12000,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
128001,2008,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c88s163734,fl,2.3,134516.0,white,gray,d&a fine cars,6100,4500,Fri Feb 13 2015 01:25:00 GMT-0800 (PST)
128002,2008,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u587720673,mo,4.7,59938.0,silver,tan,green toyota,8725,9600,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
128003,2008,Toyota,RAV4,Limited,SUV,automatic,jtmbk31v685063343,wi,3.4,86070.0,gray,gray,bergstrom victory lane imports,10500,11600,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
128004,2008,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u783352892,ma,4.3,68284.0,gray,gray,durfee street auto sales inc,8425,8800,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
128005,2008,Toyota,Tundra,Tundra Grade,Double Cab,automatic,5tfrt54178x024717,ga,2.5,117361.0,gray,gray,bmw alphera/alphera financial services,10600,12200,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
128006,2008,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdzk22c08s186023,tn,3.3,106905.0,gray,gray,dt inventory,9500,7500,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
128007,2008,Volkswagen,GTI,Base,Hatchback,automatic,wvwfv71k18w046465,ca,3.9,94556.0,gray,black,santander consumer,6825,8200,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
128008,2008,Volkswagen,GTI,Base,Hatchback,automatic,wvwhv71k88w252701,ca,3.4,82709.0,white,black,onemain rem/fmt enterprises inc,8075,10100,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
128009,2007,Acura,MDX,Base,SUV,automatic,2hnyd28857h525939,tx,4.1,162247.0,gray,gray,supreme fcu,10000,10900,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
128010,2007,Acura,TL,Base,Sedan,automatic,19uua66277a010041,tn,1.9,118590.0,blue,black,bb&t,8900,6500,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
128011,2007,Acura,TL,Base,Sedan,automatic,19uua66297a029318,fl,3.6,101502.0,white,beige,dab auto world & leasing,9650,8200,Tue Jan 20 2015 08:00:00 GMT-0800 (PST)
128012,2008,Volkswagen,Jetta,Wolfsburg Edition PZEV,Sedan,automatic,3vwra71k58m179431,nj,3.6,80972.0,black,gray,holman automotive grp inc,6075,6200,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
128013,2008,Volvo,XC90,3.2 Special Edition,SUV,automatic,yv4cz982481428167,tn,3.5,129256.0,white,tan,woodlake auto sales inc,7950,7400,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
128014,2008,Volkswagen,R32,Base,Hatchback,automatic,wvwkc71kx8w179651,mi,4.3,90802.0,blue,gray,hertz remarketing,11850,12900,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
128015,2008,Volkswagen,GTI,Base,Hatchback,automatic,wvwfv71k48w272791,ca,3.0,67076.0,white,gray,cardinaleway volkswagen,8250,9800,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
128016,2008,Toyota,Yaris,Base,Sedan,automatic,jtdbt923481250021,ma,2.5,105140.0,white,black,ideal financial services,4400,1900,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
128017,2007,Acura,MDX,Base,SUV,automatic,2hnyd28497h538187,fl,4.4,149904.0,black,beige,dab auto world & leasing,9575,10200,Tue Jan 13 2015 08:00:00 GMT-0800 (PST)
128018,2008,Toyota,Yaris,S,Sedan,automatic,jtdbt923881278971,oh,2.9,116135.0,gray,black,dt credit corporation,3850,3400,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
128019,2008,Toyota,Tundra,Limited,Double Cab,automatic,5tfbv581x8x043462,ca,3.6,63932.0,silver,brown,smith volvo inc,22900,25750,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
128020,2008,Volkswagen,Rabbit,S PZEV,Hatchback,automatic,wvwdb71k38w318188,ca,1.0,58177.0,white,gray,vw credit,5175,5500,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
128021,2008,Volkswagen,Eos,Lux,Convertible,automatic,wvwfa71f28v023247,az,2.7,64508.0,blue,black,"jpmorgan chase bank,n.a.",9350,9800,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
128022,2008,Toyota,Sequoia,Platinum,SUV,automatic,5tdby67ax8s007341,tx,2.2,1.0,gray,gray,steve landers toyota,20000,600,Wed Mar 18 2015 03:30:00 GMT-0700 (PDT)
128023,2007,Acura,MDX,Base,SUV,automatic,2hnyd283x7h521678,ga,2.7,85992.0,silver,black,young motors llc,15000,15800,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
128024,2008,Volkswagen,Jetta,S PZEV,Sedan,automatic,3vwjz71k58m080288,mo,2.5,162414.0,white,black,regional acceptance corporation / winterville,2050,2000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
128025,2008,Volkswagen,Jetta,Wolfsburg Edition,Sedan,automatic,3vwrj71k98m153723,ca,3.4,116672.0,silver,gray,wells fargo dealer services,4525,4500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
128026,2008,Volkswagen,Jetta,SE,Sedan,automatic,3vwrm71k98m193520,ca,1.0,115378.0,—,black,vw credit,4875,4800,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
128027,2007,BMW,3 Series,335i,Sedan,automatic,wbavb73577vf54360,mo,3.2,114227.0,black,black,fenton auto sales,8275,9200,Tue Jan 13 2015 11:00:00 GMT-0800 (PST)
