num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
133999,2012,BMW,X5,xDrive50i,SUV,automatic,5uxzv8c56cl425299,tx,3.9,55013.0,gray,tan,hopper motorplex inc,34100,31900,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
134000,2012,Buick,LaCrosse,Premium II Group,Sedan,automatic,1g4gf5e38cf211215,pa,4.5,26409.0,—,gray,r hollenshead auto sales inc,19350,19600,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
134001,2012,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,1gcpkse77cf218965,fl,3.9,17067.0,blue,black,hyundai of new port richey,28300,27200,Thu Jan 15 2015 01:50:00 GMT-0800 (PST)
134002,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae32cs613944,tx,3.7,17185.0,red,gray,lawler motor sports inc,24400,24700,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
134003,2012,Cadillac,SRX,Base,SUV,automatic,3gyfnge34cs627010,tx,4.7,26256.0,silver,gray,lawler motor sports inc,21100,22000,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
134004,2012,Cadillac,CTS,Luxury,Sedan,automatic,1g6dh5e56c0100333,oh,4.9,48382.0,red,tan,wholesale inc # 2,18250,19400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
134005,2012,Buick,Verano,Base,Sedan,automatic,1g4pp5sk6c4159698,fl,4.4,25428.0,white,black,gm financial leasing,11900,13200,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134006,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae3xcs551628,fl,4.6,56291.0,black,black,gm financial leasing,20000,21600,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134007,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae39cs633902,mi,2.9,46307.0,gray,black,gm financial leasing,21300,14000,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
134008,2012,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcrcse0xcz182437,tn,3.6,72519.0,silver,black,nissan of albertville,16700,18000,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
134009,2012,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse08cg205432,tx,2.8,72367.0,silver,gray,all american chevrolet of midland,19500,18600,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
134010,2012,Buick,LaCrosse,Premium II Group,Sedan,automatic,1g4gg5g30cf102435,mo,3.6,73506.0,white,black,hendrick buick gmc cadillac,13300,12800,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
134011,2012,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse08cg111972,tn,4.2,37099.0,black,black,midtown motors,22900,21600,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
134012,2012,Cadillac,SRX,Base,SUV,automatic,3gyfnge31cs630995,fl,4.7,49008.0,black,black,bert smith euro collection,17750,19400,Thu Jan 15 2015 01:50:00 GMT-0800 (PST)
134013,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnde35cs510924,pa,4.2,99187.0,silver,gray,r hollenshead auto sales inc,16800,14800,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
134014,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae32cs508241,fl,2.4,12433.0,beige,beige,gm financial leasing,24400,19700,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134015,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae3xcs516846,fl,3.9,28317.0,red,gray,gm financial leasing,22800,21800,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134016,2012,Cadillac,SRX,Base,SUV,automatic,3gyfnge38cs519943,fl,4.2,33043.0,gray,black,gm financial leasing,20100,20100,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134017,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae34cs544772,mi,4.7,27936.0,brown,beige,gm financial leasing,22900,23800,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
134018,2012,Buick,Regal,GS,Sedan,automatic,2g4gv5gv5c9164803,mi,4.6,36375.0,white,black,gm financial leasing,17850,19100,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
134019,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae38cs503738,fl,3.2,30005.0,silver,gray,gm financial leasing,22700,22800,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134020,2012,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcpcte07cg110382,tx,3.6,100152.0,off-white,tan,hopper motorplex inc,23500,19100,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
134021,2012,Buick,Verano,Base,Sedan,automatic,1g4pp5skxc4163186,fl,3.0,21629.0,white,tan,gm financial leasing,12150,11500,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
134022,2012,Bentley,Continental GT,Base,Coupe,automatic,scbfr7zaxcc070647,ca,4.1,18386.0,black,beige,fratelli investment group,115000,125000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
