num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
134999,2011,Mazda,Mazda6,i Grand Touring,Sedan,automatic,1yvhz8ch6b5m09449,tn,4.2,32567.0,silver,black,wholesale inc # 2,11450,13000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
135000,2011,Mazda,MX-5 Miata,Special Edition,Convertible,automatic,jm1nc2pf3b0214566,fl,1.9,42381.0,red,tan,"jpmorgan chase bank,n.a.",13750,11000,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
135001,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb2ba677311,tx,4.1,39438.0,—,brown,mercedes-benz financial services,26700,26000,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
135002,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb7ba667938,ca,4.2,48928.0,white,gray,mercedes-benz financial services,25700,23250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
135003,2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb8gb9ba761059,pa,5.0,53878.0,silver,black,smail acura,24900,23900,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
135004,2011,Mitsubishi,Outlander,SE,SUV,automatic,ja4as3aw6bu010847,fl,2.5,57413.0,white,beige,wells fargo dealer services,9975,9500,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
135005,2011,Mercury,Mariner,Premier,SUV,automatic,4m2cn8hg4bkj04457,ca,3.4,58968.0,red,beige,reliance motors llc,11350,13500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
135006,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb1ba676313,ca,4.1,22657.0,gray,gray,mercedes-benz financial services,28300,29750,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
135007,2011,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,wdcgg5gb0bf700819,tx,4.5,42645.0,—,black,mercedes-benz financial services,22500,24000,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
135008,2011,Mercury,Mariner,Premier,SUV,automatic,4m2cn8hg6bkj05660,fl,4.5,62906.0,white,beige,bert smith euro collection,10950,12000,Thu Jan 15 2015 01:50:00 GMT-0800 (PST)
135009,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb7ba673822,ca,4.1,66924.0,white,gray,mercedes-benz financial services,23400,23000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
135010,2011,Mitsubishi,Outlander,GT,SUV,automatic,ja4jt5ax5bu014535,ny,1.9,76010.0,blue,gray,five star bank,11400,11000,Thu Jan 15 2015 01:15:00 GMT-0800 (PST)
135011,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb3ba643572,tx,3.5,49996.0,—,gray,mercedes-benz financial services,25600,26000,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
135012,2011,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb5gb8ba721943,tx,3.8,50450.0,—,brown,mercedes-benz financial services,25600,26500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
